T,n_seg,qubits,cos,rel_L2,Jacc,P(anc=1),effC_cc,effQ_cc,t_q[s]
2,16,4+1,0.8247982484856512,0.5919388029635574,0.75,0.1463623046875,1.0,1.0,0.15661172850013827
3,36,6+1,0.7255484209938958,0.740870728139144,0.75,0.0506591796875,1.0,1.0,0.2247325379976246
5,100,7+1,0.6067299727582638,0.8868675889230513,0.75,0.04571533203125,1.0,1.0,0.35181629649923707
7,196,8+1,0.5312458726316465,0.968250046564904,0.8928571428571428,0.03076171875,1.0,1.0,0.5337339534999046
10,400,9+1,0.4404980742078627,1.0577700725723513,0.8625,0.0230712890625,1.0,1.0,0.8575197469999694
13,676,10+1,0.3675743714536902,1.1246480455463843,0.7788461538461539,0.01422119140625,1.0,0.9615384615384616,1.48445850600001
17,1156,11+1,0.2937262977215166,1.1884979954546258,0.5955882352941176,0.01019287109375,1.0,0.7941176470588235,2.8090769209993596
20,1600,11+1,0.281095831492173,1.1990862754405223,0.63125,0.01171875,1.0,0.85,3.168012734000513
