n_trk,rep,who,n_true_all,n_false_all,n_active,n_true_active,n_false_active,eff_pct,fr_pct
2,0,C,8,8,8,8,0,100.0,0.0
2,0,Q,8,8,6,6,0,75.0,0.0
2,1,C,8,8,8,8,0,100.0,0.0
2,1,Q,8,8,6,6,0,75.0,0.0
3,0,C,12,24,12,12,0,100.0,0.0
3,0,Q,12,24,9,9,0,75.0,0.0
3,1,C,12,24,12,12,0,100.0,0.0
3,1,Q,12,24,9,9,0,75.0,0.0
5,0,C,20,80,20,20,0,100.0,0.0
5,0,Q,20,80,15,15,0,75.0,0.0
5,1,C,20,80,20,20,0,100.0,0.0
5,1,Q,20,80,15,15,0,75.0,0.0
7,0,C,28,168,28,28,0,100.0,0.0
7,0,Q,28,168,26,26,0,92.85714285714286,0.0
7,1,C,28,168,28,28,0,100.0,0.0
7,1,Q,28,168,24,24,0,85.71428571428571,0.0
10,0,C,40,360,40,40,0,100.0,0.0
10,0,Q,40,360,37,37,0,92.5,0.0
10,1,C,40,360,40,40,0,100.0,0.0
10,1,Q,40,360,32,32,0,80.0,0.0
13,0,C,52,624,52,52,0,100.0,0.0
13,0,Q,52,624,41,41,0,78.84615384615384,0.0
13,1,C,52,624,52,52,0,100.0,0.0
13,1,Q,52,624,40,40,0,76.92307692307693,0.0
17,0,C,68,1088,68,68,0,100.0,0.0
17,0,Q,68,1088,39,39,0,57.35294117647059,0.0
17,1,C,68,1088,68,68,0,100.0,0.0
17,1,Q,68,1088,42,42,0,61.76470588235294,0.0
20,0,C,80,1520,80,80,0,100.0,0.0
20,0,Q,80,1520,51,51,0,63.74999999999999,0.0
20,1,C,80,1520,80,80,0,100.0,0.0
20,1,Q,80,1520,50,50,0,62.5,0.0
