phi_max,n_tracks,sigma_res,sigma_res_mm,epsilon,repeat,n_true,n_false,true_accepted,false_accepted,segment_efficiency,segment_false_rate
0.02,10,0.03,0.03,0.009457071732672446,9,30,2970,30,29,1.0,0.4915254237288136
0.02,10,0.05,0.05,0.015751537045137484,0,30,2970,30,93,1.0,0.7560975609756098
0.02,10,0.05,0.05,0.015751537045137484,1,30,2970,30,52,1.0,0.6341463414634146
0.02,10,0.05,0.05,0.015751537045137484,2,30,2970,30,109,1.0,0.7841726618705036
0.02,10,0.05,0.05,0.015751537045137484,3,30,2970,30,67,1.0,0.6907216494845361
0.02,10,0.05,0.05,0.015751537045137484,4,30,2970,30,111,1.0,0.7872340425531915
0.02,10,0.05,0.05,0.015751537045137484,5,30,2970,30,62,1.0,0.6739130434782609
0.02,10,0.05,0.05,0.015751537045137484,6,30,2970,30,84,1.0,0.7368421052631579
0.02,10,0.05,0.05,0.015751537045137484,7,30,2970,30,99,1.0,0.7674418604651163
0.02,10,0.05,0.05,0.015751537045137484,8,30,2970,30,92,1.0,0.7540983606557377
0.02,10,0.05,0.05,0.015751537045137484,9,30,2970,30,51,1.0,0.6296296296296297
0.02,20,0.0,0.0,0.0004247940677551889,0,60,23940,60,0,1.0,0.0
0.02,20,0.0,0.0,0.0004247940677551889,1,60,23940,60,0,1.0,0.0
0.02,20,0.0,0.0,0.0004247940677551889,2,60,23940,59,0,0.9833333333333333,0.0
0.02,20,0.0,0.0,0.0004247940677551889,3,60,23940,60,1,1.0,0.01639344262295082
0.02,20,0.0,0.0,0.0004247940677551889,4,60,23940,60,0,1.0,0.0
0.02,20,0.0,0.0,0.0004247940677551889,5,60,23940,60,0,1.0,0.0
0.02,20,0.0,0.0,0.0004247940677551889,6,60,23940,60,0,1.0,0.0
0.02,20,0.0,0.0,0.0004247940677551889,7,60,23940,60,2,1.0,0.03225806451612903
0.02,20,0.0,0.0,0.0004247940677551889,8,60,23940,60,0,1.0,0.0
0.02,20,0.0,0.0,0.0004247940677551889,9,60,23940,60,0,1.0,0.0
0.02,20,0.005,0.005,0.0016308858027061653,0,60,23940,60,5,1.0,0.07692307692307693
0.02,20,0.005,0.005,0.0016308858027061653,1,60,23940,60,10,1.0,0.14285714285714285
0.02,20,0.005,0.005,0.0016308858027061653,2,60,23940,60,3,1.0,0.047619047619047616
0.02,20,0.005,0.005,0.0016308858027061653,3,60,23940,60,2,1.0,0.03225806451612903
0.02,20,0.005,0.005,0.0016308858027061653,4,60,23940,60,3,1.0,0.047619047619047616
0.02,20,0.005,0.005,0.0016308858027061653,5,60,23940,60,9,1.0,0.13043478260869565
0.02,20,0.005,0.005,0.0016308858027061653,6,60,23940,60,2,1.0,0.03225806451612903
0.02,20,0.005,0.005,0.0016308858027061653,7,60,23940,60,3,1.0,0.047619047619047616
0.02,20,0.005,0.005,0.0016308858027061653,8,60,23940,60,2,1.0,0.03225806451612903
0.02,20,0.005,0.005,0.0016308858027061653,9,60,23940,60,6,1.0,0.09090909090909091
0.02,20,0.01,0.01,0.0031777035588293387,0,60,23940,60,24,1.0,0.2857142857142857
0.02,20,0.01,0.01,0.0031777035588293387,1,60,23940,60,33,1.0,0.3548387096774194
0.02,20,0.01,0.01,0.0031777035588293387,2,60,23940,60,18,1.0,0.23076923076923078
0.02,20,0.01,0.01,0.0031777035588293387,3,60,23940,60,40,1.0,0.4
0.02,20,0.01,0.01,0.0031777035588293387,4,60,23940,60,16,1.0,0.21052631578947367
0.02,20,0.01,0.01,0.0031777035588293387,5,60,23940,60,13,1.0,0.1780821917808219
0.02,20,0.01,0.01,0.0031777035588293387,6,60,23940,59,26,0.9833333333333333,0.3058823529411765
0.02,20,0.01,0.01,0.0031777035588293387,7,60,23940,60,18,1.0,0.23076923076923078
0.02,20,0.01,0.01,0.0031777035588293387,8,60,23940,60,12,1.0,0.16666666666666666
0.02,20,0.01,0.01,0.0031777035588293387,9,60,23940,60,26,1.0,0.3023255813953488
0.02,20,0.015,0.015,0.0047428337441630134,0,60,23940,60,52,1.0,0.4642857142857143
