event,n_tracks,angle,sigma_scatt,sigma_res,gamma,delta,epsilon,threshold,n_segments,n_reco,n_truth,n_hits,x_min,x_max,x_median,wall_time_s,t_generate_s,t_build_s,t_solve_s,t_reco_s,efficiency,ghost_rate,clone_fraction,mean_purity,hit_efficiency
25,10,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,400,10,10,50,0.25,0.4545454545454546,0.25,0.01,0.0,0.01,0.0,0.0,1.0,0.0,0.0,1.0,0.5999999999999999
26,10,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,370,10,10,47,0.25,0.4545454545454546,0.25,0.01,0.0,0.01,0.0,0.0,0.7,0.0,0.0,1.0,0.6
27,10,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,400,10,10,50,0.25,0.4545454545454546,0.25,0.01,0.0,0.01,0.0,0.0,1.0,0.0,0.0,1.0,0.5999999999999999
28,10,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,400,10,10,50,0.25,0.4545454545454546,0.25,0.01,0.0,0.01,0.0,0.0,1.0,0.0,0.0,1.0,0.5999999999999999
29,10,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,400,10,10,50,0.25,0.4545454545454546,0.25,0.01,0.0,0.01,0.0,0.0,1.0,0.0,0.0,1.0,0.5999999999999999
30,10,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,400,10,10,50,0.25,0.4545454545454546,0.25,0.01,0.0,0.01,0.0,0.0,1.0,0.0,0.0,1.0,0.5999999999999999
31,10,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,400,10,10,50,0.25,0.4545454545454546,0.25,0.01,0.0,0.01,0.0,0.0,1.0,0.0,0.0,1.0,0.5999999999999999
32,10,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,400,10,10,50,0.25,0.4545454545454546,0.25,0.01,0.0,0.01,0.0,0.0,1.0,0.0,0.0,1.0,0.5999999999999999
33,10,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,400,10,10,50,0.25,0.4545454545454546,0.25,0.01,0.0,0.01,0.0,0.0,1.0,0.0,0.0,1.0,0.5999999999999999
34,10,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,390,10,10,49,0.25,0.4545454545454546,0.25,0.01,0.0,0.01,0.0,0.0,0.9,0.0,0.0,1.0,0.6
35,10,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,370,10,10,47,0.25,0.4545454545454546,0.25,0.01,0.0,0.01,0.0,0.0,0.7,0.0,0.0,1.0,0.6
36,10,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,400,10,10,50,0.25,0.4545454545454546,0.25,0.01,0.0,0.01,0.0,0.0,1.0,0.0,0.0,1.0,0.5999999999999999
37,10,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,344,9,10,45,0.25,0.4545454545454546,0.25,0.01,0.0,0.01,0.0,0.0,0.6,0.0,0.0,1.0,0.6
38,10,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,304,8,10,41,0.25,0.4545454545454546,0.25,0.01,0.0,0.01,0.0,0.0,0.3,0.0,0.0,1.0,0.6
39,10,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,400,10,10,50,0.25,0.5670103092783505,0.25,0.01,0.0,0.01,0.0,0.0,1.0,0.0,0.0,0.9800000000000001,0.6199999999999999
40,10,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,353,9,10,46,0.25,0.45454545454545453,0.25,0.01,0.0,0.01,0.0,0.0,0.7,0.0,0.0,1.0,0.6
41,10,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,400,10,10,50,0.25,0.4545454545454546,0.25,0.01,0.0,0.01,0.0,0.0,1.0,0.0,0.0,1.0,0.5999999999999999
