task,n_tracks,angle,sigma_scatt,sigma_res,gamma,delta,epsilon,threshold,n_events,efficiency_mean,efficiency_se,efficiency_std,ghost_rate_mean,ghost_rate_se,ghost_rate_std,clone_fraction_mean,clone_fraction_se,clone_fraction_std,mean_purity_mean,mean_purity_se,mean_purity_std,hit_efficiency_mean,hit_efficiency_se,hit_efficiency_std,wall_time_total_s,n_segments_mean
reco_large,10,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,50,0.8880000000000001,0.022612981642753573,0.15989792662437968,0.0,0.0,0.0,0.0,0.0,0.0,0.9996,0.0003999999999999981,0.002828427124746177,0.6004,0.00039999999999999937,0.0028284271247461857,1.07,384.54
reco_large,50,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,50,0.9148000000000001,0.017188605623066292,0.12154179595211397,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6000000000000001,8.087212667148109e-18,5.718522917838174e-17,4.26,9685.78
reco_large,100,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,50,0.9358000000000001,0.015646842284288153,0.11063988283376563,0.004772727272727273,0.004168390415729576,0.02947497129595395,0.0,0.0,0.0,0.9993284210526315,0.0006320291270639166,0.004469120816543095,0.6006715789473684,0.0006320291270639187,0.00446912081654311,15.32,39305.76
reco_large,200,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,50,0.8688999999999999,0.02510317078923436,0.17750622294351673,0.010513244879342633,0.00504966219256351,0.03570650379062988,0.0,0.0,0.0,0.9788881652240843,0.01998285490722578,0.14130012212366228,0.5891315392094133,0.01203276840017,0.08508452132207413,68.33,155160.16
reco_large,300,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,50,0.8977333333333333,0.02049001526655319,0.14488628741595644,0.014215174919054514,0.007084343397646561,0.0500938725673003,0.0,0.0,0.0,0.9990894528383152,0.0004301535360569118,0.0030416448229721445,0.600985817226018,0.00044444919143382357,0.003142730371557347,153.05,350415.62
reco_large,500,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,50,0.8911999999999999,0.020513808191815874,0.14505452880393155,0.009050454937233433,0.005161420117504999,0.036496751656404515,0.0,0.0,0.0,0.9993568912901832,0.0002657172909117452,0.0018789049828221362,0.6005196132895981,0.00021819759106941184,0.0015428899628375037,520.01,973904.7
reco_large,700,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,50,0.8750285714285714,0.03060879545191343,0.21643686827999942,0.04071111926937296,0.020482963616494328,0.1448364247202047,0.0,0.0,0.0,0.9785665664210774,0.019974397710227236,0.14124032071018727,0.5888752645565615,0.012023194826858626,0.08501682593598753,894.1,1929593.94
reco_large,1000,0.2,0.0001,0.005,3.0,1.0,0.0016308858027061653,0.375,50,0.84044,0.0315443084552248,0.22305194416529608,0.03260294461612171,0.006754403509766487,0.047760845246261,0.0,0.0,0.0,0.997949198114693,0.0006065830120285539,0.004289189611579516,0.6010820227381783,0.0005757914936346163,0.004071460696985681,2900.62,3920567.68
