threshold,efficiency_mean,efficiency_se,ghost_rate_mean,ghost_rate_se,n_tracks
0.26,0.996,0.003999999999999999,0.0022222222222222222,0.002222222222222222,10
0.2866666666666667,0.996,0.003999999999999999,0.0022222222222222222,0.002222222222222222,10
0.31333333333333335,0.996,0.003999999999999999,0.0022222222222222222,0.002222222222222222,10
0.33999999999999997,0.97,0.01,0.0022222222222222222,0.002222222222222222,10
0.3666666666666667,0.8880000000000001,0.022612981642753573,0.0,0.0,10
0.375,0.8880000000000001,0.022612981642753573,0.0,0.0,10
0.3933333333333333,0.8880000000000001,0.022612981642753573,0.0,0.0,10
0.42,0.8880000000000001,0.022612981642753573,0.0,0.0,10
0.44666666666666666,0.8880000000000001,0.022612981642753573,0.0,0.0,10
0.47333333333333333,0.002,0.002,0.0,0.0,10
0.5,0.0,0.0,0.0,0.0,10
0.26,0.9795999999999999,0.007079490354077007,0.005756728778467907,0.0018157691361471529,50
0.2866666666666667,0.9795999999999999,0.007079490354077007,0.005756728778467907,0.0018157691361471529,50
0.31333333333333335,0.9795999999999999,0.007079490354077007,0.005756728778467907,0.0018157691361471529,50
0.33999999999999997,0.9756,0.008066863437190796,0.0,0.0,50
0.3666666666666667,0.9148000000000001,0.017188605623066292,0.0,0.0,50
0.375,0.9148000000000001,0.017188605623066292,0.0,0.0,50
0.3933333333333333,0.9148000000000001,0.017188605623066292,0.0,0.0,50
0.42,0.9148000000000001,0.017188605623066292,0.0,0.0,50
0.44666666666666666,0.9148000000000001,0.017188605623066292,0.0,0.0,50
0.47333333333333333,0.0,0.0,0.0,0.0,50
0.5,0.0,0.0,0.0,0.0,50
0.26,0.9024,0.014814664549502485,0.034238511967226104,0.006511377875991901,100
0.2866666666666667,0.9024,0.014814664549502485,0.034238511967226104,0.006511377875991901,100
0.31333333333333335,0.9024,0.014814664549502485,0.034238511967226104,0.006511377875991901,100
0.33999999999999997,0.9766000000000001,0.013390858898547783,0.00873911529083943,0.007924201749115522,100
0.3666666666666667,0.9358000000000001,0.015646842284288153,0.004772727272727273,0.004168390415729576,100
0.375,0.9358000000000001,0.015646842284288153,0.004772727272727273,0.004168390415729576,100
0.3933333333333333,0.9418000000000001,0.014092087807543287,0.002,0.002,100
0.42,0.9418000000000001,0.014092087807543287,0.002,0.002,100
0.44666666666666666,0.945,0.013842407482008292,0.0002040816326530612,0.00020408163265306118,100
0.47333333333333333,0.011800000000000001,0.010395014503626834,0.0,0.0,100
0.5,0.0034000000000000002,0.0034000000000000007,0.0,0.0,100
0.26,0.6520999999999999,0.032918913985111715,0.08777465984920937,0.017491723157472782,200
0.2866666666666667,0.652,0.032958848800977776,0.08846431502162316,0.018170665503726362,200
0.31333333333333335,0.6518999999999999,0.03299903832859747,0.08915397019403695,0.018850385651031844,200
0.33999999999999997,0.927,0.024242398345688084,0.012591723825606804,0.005435021434825519,200
0.3666666666666667,0.8688999999999999,0.02510317078923436,0.010513244879342633,0.00504966219256351,200
0.375,0.8688999999999999,0.02510317078923436,0.010513244879342633,0.00504966219256351,200
0.3933333333333333,0.8774999999999998,0.024544108566132983,0.007008896366830286,0.0033551620045035617,200
0.42,0.8786999999999999,0.024575917364072376,0.0063467279951647075,0.0031948202902509965,200
0.44666666666666666,0.8881,0.024707220294761557,0.0014255109180643306,0.0006684896554125785,200
0.47333333333333333,0.018400000000000003,0.0083108485777105,0.02519850746268657,0.020137279145049643,200
0.5,0.0031,0.0013544333855595731,0.047272727272727265,0.02496090532162978,200
0.26,0.45453333333333323,0.025624846219327292,0.08065400168434618,0.003402381280095413,300
0.2866666666666667,0.45453333333333323,0.025624846219327292,0.08065400168434618,0.003402381280095413,300
0.31333333333333335,0.45453333333333323,0.025624846219327292,0.08065400168434618,0.003402381280095413,300
0.33999999999999997,0.9402666666666666,0.019718619261455184,0.011808802220472855,0.005203818820492192,300
0.3666666666666667,0.8977333333333333,0.02049001526655319,0.014215174919054514,0.007084343397646561,300
0.375,0.8977333333333333,0.02049001526655319,0.014215174919054514,0.007084343397646561,300
0.3933333333333333,0.907,0.018462255422440853,0.010469408679933338,0.005463801744120942,300
0.42,0.9076,0.018465642546321697,0.010234213313189409,0.005512406196649234,300
0.44666666666666666,0.9234,0.01672845417659151,0.0017915023470603726,0.0009715240672671489,300
0.47333333333333333,0.021133333333333334,0.010822672933850794,0.08618345705196181,0.03882417351522604,300
0.5,0.005533333333333334,0.0033123283765919727,0.0906376811594203,0.038978710749873254,300
0.26,0.17772000000000002,0.015464826186530252,0.05955080511127649,0.019867799093327684,500
0.2866666666666667,0.17772000000000002,0.015464826186530252,0.05955080511127649,0.019867799093327684,500
0.31333333333333335,0.17772000000000002,0.015464826186530252,0.05955080511127649,0.019867799093327684,500
0.33999999999999997,0.9577199999999998,0.01793949104003539,0.004559367714606711,0.0009971574458843137,500
0.3666666666666667,0.8911999999999999,0.020513808191815874,0.009050454937233433,0.005161420117504999,500
0.375,0.8911999999999999,0.020513808191815874,0.009050454937233433,0.005161420117504999,500
0.3933333333333333,0.89412,0.019993256822422575,0.009240157891085732,0.0063124117900779314,500
0.42,0.8944400000000001,0.019958674856833964,0.009195929407749541,0.006392490134163229,500
0.44666666666666666,0.9105599999999999,0.015491937600321172,0.0019095201347660734,0.0014774877621618633,500
0.47333333333333333,0.009399999999999999,0.0057966211129010835,0.11851319381255687,0.04340128639963167,500
0.5,0.00116,0.0009631411196322845,0.17,0.05270247641627633,500
0.26,0.03277142857142857,0.0053831783281768535,0.236176282783163,0.04758574843689052,700
0.2866666666666667,0.03277142857142857,0.0053831783281768535,0.236176282783163,0.04758574843689052,700
0.31333333333333335,0.03277142857142857,0.0053831783281768535,0.236176282783163,0.04758574843689052,700
0.33999999999999997,0.891257142857143,0.0311392899232831,0.03126972751500356,0.020051673808888077,700
0.3666666666666667,0.8750285714285714,0.030609829564577966,0.040650941586453326,0.020479268096528447,700
0.375,0.8750285714285714,0.03060879545191343,0.04071111926937296,0.020482963616494328,700
0.3933333333333333,0.8798571428571427,0.029994147700730077,0.04161508993334376,0.020726749782346905,700
0.42,0.8815428571428571,0.030029441058385523,0.04283799102111965,0.02109262577509516,700
0.44666666666666666,0.9156571428571428,0.026952654433430364,0.028382734924755723,0.020722737139826714,700
0.47333333333333333,0.01522857142857143,0.005569388876840473,0.2235453847916152,0.03919596477179529,700
0.5,0.003914285714285715,0.00204969903622671,0.44238429406850455,0.05773544240948964,700
0.26,0.00378,0.0010294797576584844,0.6104542213020474,0.05485530898015163,1000
0.2866666666666667,0.00378,0.0010294797576584844,0.6104542213020474,0.05485530898015163,1000
0.31333333333333335,0.00378,0.0010294797576584844,0.6104542213020474,0.05485530898015163,1000
0.33999999999999997,0.85836,0.03246733693032028,0.02839845594786551,0.01376951628679135,1000
0.3666666666666667,0.84038,0.03155036000312089,0.03258351085664561,0.006730076244530493,1000
0.375,0.84044,0.0315443084552248,0.03260294461612171,0.006754403509766487,1000
0.3933333333333333,0.8450799999999998,0.03115029845567376,0.030813775390772232,0.0069591626031809,1000
0.42,0.8461799999999999,0.031189646241229812,0.030390608307352903,0.006989685471430124,1000
0.44666666666666666,0.9033599999999999,0.02684242393020756,0.011010422208617626,0.006012993847406449,1000
0.47333333333333333,0.01528,0.0048505871725356454,0.28742063877107693,0.042409188220351286,1000
0.5,0.0030000000000000005,0.0011259463140136014,0.5620428732252227,0.054111719710866646,1000
