n_trk,n_seg,reps,eff_C_m,eff_C_e,eff_Q_m,eff_Q_e,pur_C_m,pur_C_e,pur_Q_m,pur_Q_e,cos_m,cos_e,P_m,P_e,gamma
2,16,5,1.0,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.9622504486493766,5.551115123125783e-17,0.24999999999998668,0.0,1.0
3,36,5,1.0,0.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,0.9449111825230686,0.0,0.09374999999999603,0.0,1.0
4,64,5,1.0,0.0,1.0,0.0,0.25,0.0,1.0,0.0,0.9284766908852602,0.0,0.12499999999999316,0.0,1.0
5,100,5,1.0,0.0,1.0,0.0,0.2,0.0,1.0,0.0,0.9128709291752786,5.551115123125783e-17,0.07812499999997455,0.0,1.0
6,144,5,1.0,0.0,1.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.8980265101338784,5.551115123125783e-17,0.046874999999967235,0.0,1.0
8,256,5,1.0,0.0,1.0,0.0,0.125,0.0,1.0,0.0,0.8703882797784963,0.0,0.06249999999994281,0.0,1.0
10,400,5,1.0,0.0,1.0,0.0,0.1,0.0,1.0,0.0,0.8451542547285253,0.0,0.03906249999994803,0.0,1.0
15,900,3,1.0,0.0,1.0,0.0,0.06666666666666667,0.0,1.0,0.0,0.790569415042107,0.0,0.029296874999934237,2.4532694666933983e-18,1.0
20,1600,3,1.0,0.0,1.0,0.0,0.05000000000000001,4.906538933386797e-18,1.0,0.0,0.7453559924999552,0.0,0.019531249999934695,0.0,1.0
25,2500,3,1.0,0.0,1.0,0.0,0.04,0.0,1.0,0.0,0.7071067811865769,7.850462293418875e-17,0.012207031249943386,0.0,1.0
30,3600,2,1.0,0.0,1.0,0.0,0.03333333333333333,0.0,1.0,0.0,0.674199862463307,0.0,0.014648437499919459,0.0,1.0
40,6400,2,1.0,0.0,1.0,0.0,0.025,0.0,0.9816320385426076,0.006022282445046656,0.6187847609995768,0.0004518579268085743,0.009948730468669027,6.103515624919942e-05,1.0
50,10000,1,1.0,0.0,1.0,0.0,0.02,0.0,0.9900990099009901,0.0,0.5766676075895107,0.0,0.006164550781182148,0.0,1.0
2,16,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8876479891865092,5.551115123125783e-17,0.20312499999998973,0.0,2.0
3,36,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8165173925216876,0.0,0.07617187499999695,0.0,2.0
4,64,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7601363246056771,0.0,0.10156249999999481,6.938893903907228e-18,2.0
5,100,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7140237465063942,0.0,0.06347656249997981,0.0,2.0
6,144,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6753988482361472,0.0,0.038085937499973785,0.0,2.0
8,256,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.613865460397074,0.0,0.05078124999995402,3.469446951953614e-18,2.0
10,400,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.566572164661726,0.0,0.03173828124995843,0.0,2.0
15,900,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.48398985023353824,0.0,0.023803710937447164,2.4532694666933983e-18,2.0
20,1600,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.4294258532034457,0.0,0.015869140624947514,0.0,2.0
25,2500,3,1.0,0.0,1.0,0.0,0.980643539467069,0.011103601219385502,0.980643539467069,0.011103601219385502,0.3917698489518305,0.0010543889947906963,0.01004028320307816,7.047732778126071e-05,2.0
30,3600,2,1.0,0.0,1.0,0.0,0.9796081567373051,0.003998400639744104,0.9796081567373051,0.003998400639744104,0.3630167188338256,0.0019219565074765352,0.01210784912102666,8.392333984293293e-05,2.0
40,6400,2,1.0,0.0,1.0,0.0,0.9816320385426076,0.006022282445046656,0.9816320385426076,0.006022282445046656,0.31706432337381774,0.0004771471416913642,0.008026123046810172,3.051757812448652e-05,2.0
50,10000,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2846067705268593,0.0,0.004959106445258541,0.0,2.0
