status,n_trk,rep,seed,tag,sigma_res,sigma_scatt,phi_max,hit_ineff,convolution,erf_sigma,epsilon,gamma,delta,tau_default,n_seg,n_pad,A_nnz,n_qubits,quantum_metrics_default,cos_QC,P_anc,t_gen,t_angles,t_classical,t_q,t_total,sol_Q,angle_n_true,angle_n_false,angle_true_accepted,angle_false_accepted,angle_segment_efficiency,angle_segment_false_rate,cls_default_n_true_all,cls_default_n_false_all,cls_default_n_true_active,cls_default_n_false_active,cls_default_n_active,cls_default_segment_efficiency,cls_default_segment_purity,cls_default_segment_false_rate,file,q_default_n_true_all,q_default_n_false_all,q_default_n_true_active,q_default_n_false_active,q_default_n_active,q_default_segment_efficiency,q_default_segment_purity,q_default_segment_false_rate
ok,2.0,10.0,200210.0,seg14e_C,0.005,0.0001,0.2,0.01,False,0.0001,0.0016308858027061653,3.0,1.0,0.35,16.0,16.0,28.0,,,,,0.0005595684051513672,0.2490079402923584,0.0024187564849853516,0.0,0.2523341178894043,,6.0,18.0,6.0,0.0,1.0,0.0,8.0,8.0,8.0,8.0,16.0,1.0,0.5,0.5,/data/bfys/gscriven/Quantum_Track_Reconstruction/Toy_Characterisation/Epsilon_study_2/results/seg14e_calc_eps/classical/seg14e_C_n0002_r010.pkl,,,,,,,,
ok,2.0,11.0,200211.0,seg14e_C,0.005,0.0001,0.2,0.01,False,0.0001,0.0016308858027061653,3.0,1.0,0.35,16.0,16.0,28.0,,,,,0.0005381107330322266,0.21253705024719238,0.0022771358489990234,0.0,0.2156813144683838,,6.0,18.0,6.0,0.0,1.0,0.0,8.0,8.0,8.0,8.0,16.0,1.0,0.5,0.5,/data/bfys/gscriven/Quantum_Track_Reconstruction/Toy_Characterisation/Epsilon_study_2/results/seg14e_calc_eps/classical/seg14e_C_n0002_r011.pkl,,,,,,,,
ok,2.0,12.0,200212.0,seg14e_C,0.005,0.0001,0.2,0.01,False,0.0001,0.0016308858027061653,3.0,1.0,0.35,16.0,16.0,28.0,,,,,0.0004763603210449219,0.23084473609924316,0.002056121826171875,0.0,0.23368310928344727,,6.0,18.0,6.0,0.0,1.0,0.0,8.0,8.0,8.0,8.0,16.0,1.0,0.5,0.5,/data/bfys/gscriven/Quantum_Track_Reconstruction/Toy_Characterisation/Epsilon_study_2/results/seg14e_calc_eps/classical/seg14e_C_n0002_r012.pkl,,,,,,,,
ok,2.0,13.0,200213.0,seg14e_C,0.005,0.0001,0.2,0.01,False,0.0001,0.0016308858027061653,3.0,1.0,0.35,16.0,16.0,28.0,,,,,0.0006127357482910156,0.2585453987121582,0.0027272701263427734,0.0,0.26224732398986816,,6.0,18.0,6.0,0.0,1.0,0.0,8.0,8.0,8.0,8.0,16.0,1.0,0.5,0.5,/data/bfys/gscriven/Quantum_Track_Reconstruction/Toy_Characterisation/Epsilon_study_2/results/seg14e_calc_eps/classical/seg14e_C_n0002_r013.pkl,,,,,,,,
ok,2.0,14.0,200214.0,seg14e_C,0.005,0.0001,0.2,0.01,False,0.0001,0.0016308858027061653,3.0,1.0,0.35,16.0,16.0,28.0,,,,,0.0005350112915039062,0.2239978313446045,0.002318859100341797,0.0,0.22721004486083984,,6.0,18.0,6.0,0.0,1.0,0.0,8.0,8.0,8.0,8.0,16.0,1.0,0.5,0.5,/data/bfys/gscriven/Quantum_Track_Reconstruction/Toy_Characterisation/Epsilon_study_2/results/seg14e_calc_eps/classical/seg14e_C_n0002_r014.pkl,,,,,,,,
ok,2.0,15.0,200215.0,seg14e_C,0.005,0.0001,0.2,0.01,False,0.0001,0.0016308858027061653,3.0,1.0,0.35,16.0,16.0,28.0,,,,,0.0004837512969970703,0.22775769233703613,0.002011537551879883,0.0,0.23051857948303223,,6.0,18.0,6.0,0.0,1.0,0.0,8.0,8.0,8.0,8.0,16.0,1.0,0.5,0.5,/data/bfys/gscriven/Quantum_Track_Reconstruction/Toy_Characterisation/Epsilon_study_2/results/seg14e_calc_eps/classical/seg14e_C_n0002_r015.pkl,,,,,,,,
ok,2.0,16.0,200216.0,seg14e_C,0.005,0.0001,0.2,0.01,False,0.0001,0.0016308858027061653,3.0,1.0,0.35,16.0,16.0,28.0,,,,,0.0006017684936523438,0.24647974967956543,0.002660036087036133,0.0,0.25008344650268555,,6.0,18.0,6.0,0.0,1.0,0.0,8.0,8.0,8.0,8.0,16.0,1.0,0.5,0.5,/data/bfys/gscriven/Quantum_Track_Reconstruction/Toy_Characterisation/Epsilon_study_2/results/seg14e_calc_eps/classical/seg14e_C_n0002_r016.pkl,,,,,,,,
ok,2.0,17.0,200217.0,seg14e_C,0.005,0.0001,0.2,0.01,False,0.0001,0.0016308858027061653,3.0,1.0,0.35,14.0,16.0,24.0,,,,,0.00048732757568359375,0.19492864608764648,0.002123117446899414,0.0,0.19780993461608887,,5.0,15.0,5.0,0.0,1.0,0.0,7.0,7.0,7.0,7.0,14.0,1.0,0.5,0.5,/data/bfys/gscriven/Quantum_Track_Reconstruction/Toy_Characterisation/Epsilon_study_2/results/seg14e_calc_eps/classical/seg14e_C_n0002_r017.pkl,,,,,,,,
ok,2.0,18.0,200218.0,seg14e_C,0.005,0.0001,0.2,0.01,False,0.0001,0.0016308858027061653,3.0,1.0,0.35,16.0,16.0,28.0,,,,,0.0005106925964355469,0.2481250762939453,0.002260446548461914,0.0,0.25121521949768066,,6.0,18.0,6.0,0.0,1.0,0.0,8.0,8.0,8.0,8.0,16.0,1.0,0.5,0.5,/data/bfys/gscriven/Quantum_Track_Reconstruction/Toy_Characterisation/Epsilon_study_2/results/seg14e_calc_eps/classical/seg14e_C_n0002_r018.pkl,,,,,,,,
ok,2.0,19.0,200219.0,seg14e_C,0.005,0.0001,0.2,0.01,False,0.0001,0.0016308858027061653,3.0,1.0,0.35,16.0,16.0,28.0,,,,,0.0004703998565673828,0.20049452781677246,0.0020825862884521484,0.0,0.20331478118896484,,6.0,18.0,6.0,0.0,1.0,0.0,8.0,8.0,8.0,8.0,16.0,1.0,0.5,0.5,/data/bfys/gscriven/Quantum_Track_Reconstruction/Toy_Characterisation/Epsilon_study_2/results/seg14e_calc_eps/classical/seg14e_C_n0002_r019.pkl,,,,,,,,
