tag,n_trk,sigma_res,sigma_scatt,rep_mean,seed_mean,phi_max_mean,hit_ineff_mean,erf_sigma_mean,epsilon_mean,gamma_mean,delta_mean,tau_default_mean,n_seg_mean,n_pad_mean,A_nnz_mean,n_qubits_mean,quantum_metrics_default_mean,cos_QC_mean,P_anc_mean,t_gen_mean,t_angles_mean,t_classical_mean,t_q_mean,t_total_mean,sol_Q_mean,angle_n_true_mean,angle_n_false_mean,angle_true_accepted_mean,angle_false_accepted_mean,angle_segment_efficiency_mean,angle_segment_false_rate_mean,cls_default_n_true_all_mean,cls_default_n_false_all_mean,cls_default_n_true_active_mean,cls_default_n_false_active_mean,cls_default_n_active_mean,cls_default_segment_efficiency_mean,cls_default_segment_purity_mean,cls_default_segment_false_rate_mean,q_default_n_true_all_mean,q_default_n_false_all_mean,q_default_n_true_active_mean,q_default_n_false_active_mean,q_default_n_active_mean,q_default_segment_efficiency_mean,q_default_segment_purity_mean,q_default_segment_false_rate_mean,rep_std,seed_std,phi_max_std,hit_ineff_std,erf_sigma_std,epsilon_std,gamma_std,delta_std,tau_default_std,n_seg_std,n_pad_std,A_nnz_std,n_qubits_std,quantum_metrics_default_std,cos_QC_std,P_anc_std,t_gen_std,t_angles_std,t_classical_std,t_q_std,t_total_std,sol_Q_std,angle_n_true_std,angle_n_false_std,angle_true_accepted_std,angle_false_accepted_std,angle_segment_efficiency_std,angle_segment_false_rate_std,cls_default_n_true_all_std,cls_default_n_false_all_std,cls_default_n_true_active_std,cls_default_n_false_active_std,cls_default_n_active_std,cls_default_segment_efficiency_std,cls_default_segment_purity_std,cls_default_segment_false_rate_std,q_default_n_true_all_std,q_default_n_false_all_std,q_default_n_true_active_std,q_default_n_false_active_std,q_default_n_active_std,q_default_segment_efficiency_std,q_default_segment_purity_std,q_default_segment_false_rate_std,rep_n,seed_n,phi_max_n,hit_ineff_n,erf_sigma_n,epsilon_n,gamma_n,delta_n,tau_default_n,n_seg_n,n_pad_n,A_nnz_n,n_qubits_n,quantum_metrics_default_n,cos_QC_n,P_anc_n,t_gen_n,t_angles_n,t_classical_n,t_q_n,t_total_n,sol_Q_n,angle_n_true_n,angle_n_false_n,angle_true_accepted_n,angle_false_accepted_n,angle_segment_efficiency_n,angle_segment_false_rate_n,cls_default_n_true_all_n,cls_default_n_false_all_n,cls_default_n_true_active_n,cls_default_n_false_active_n,cls_default_n_active_n,cls_default_segment_efficiency_n,cls_default_segment_purity_n,cls_default_segment_false_rate_n,q_default_n_true_all_n,q_default_n_false_all_n,q_default_n_true_active_n,q_default_n_false_active_n,q_default_n_active_n,q_default_segment_efficiency_n,q_default_segment_purity_n,q_default_segment_false_rate_n,rep_sem,seed_sem,phi_max_sem,hit_ineff_sem,erf_sigma_sem,epsilon_sem,gamma_sem,delta_sem,tau_default_sem,n_seg_sem,n_pad_sem,A_nnz_sem,n_qubits_sem,quantum_metrics_default_sem,cos_QC_sem,P_anc_sem,t_gen_sem,t_angles_sem,t_classical_sem,t_q_sem,t_total_sem,sol_Q_sem,angle_n_true_sem,angle_n_false_sem,angle_true_accepted_sem,angle_false_accepted_sem,angle_segment_efficiency_sem,angle_segment_false_rate_sem,cls_default_n_true_all_sem,cls_default_n_false_all_sem,cls_default_n_true_active_sem,cls_default_n_false_active_sem,cls_default_n_active_sem,cls_default_segment_efficiency_sem,cls_default_segment_purity_sem,cls_default_segment_false_rate_sem,q_default_n_true_all_sem,q_default_n_false_all_sem,q_default_n_true_active_sem,q_default_n_false_active_sem,q_default_n_active_sem,q_default_segment_efficiency_sem,q_default_segment_purity_sem,q_default_segment_false_rate_sem
eps2_sr0.01_ss0.0001,10.0,0.01,0.0001,4.5,201004.5,0.2,0.0,0.0001,0.0031777035588293387,3.0,1.0,0.35,400.0,512.0,460.0,11.0,,0.4650838863825082,0.022391535339945333,0.0013944864273071288,0.4569566249847412,0.010266327857971191,3.9158265829086303,4.38486340045929,,30.0,2970.0,30.0,0.0,1.0,0.0,40.0,360.0,40.0,360.0,400.0,1.0,0.1,0.9,40.0,360.0,30.0,0.0,30.0,0.75,1.0,0.0,3.0276503540974917,3.0276503540974917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0004520095234180855,0.18826635943749775,0.011275527439353507,0.911526732692284,1.0900119900045089,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.9574271077563381,0.9574271077563381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.00014293796180883675,0.05953505026104294,0.0035656348528083164,0.2882500623439084,0.3446920565306937,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eps2_sr0.01_ss0.0001,20.0,0.01,0.0001,4.5,202004.5,0.2,0.0,0.0001,0.0031777035588293387,3.0,1.0,0.35,1600.0,2048.0,1720.2,13.0,,0.34185170426306427,0.011210069096649861,0.0017026185989379883,0.6210655689239502,0.005681133270263672,6.237088656425476,6.86596908569336,,60.0,23940.0,60.0,0.1,1.0,0.001639344262295082,80.0,1520.0,80.0,1520.0,1600.0,1.0,0.05,0.95,80.0,1520.0,60.0,0.2,60.2,0.75,0.9967741935483871,0.0032258064516129032,3.0276503540974917,3.0276503540974917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6324555320337325,0.0,,0.0008747554809745825,4.5225082161190586e-05,7.106091869949529e-05,0.023171030950447723,0.0002560102984503178,0.24911006214137962,0.2702321453636093,,0.0,0.0,0.0,0.31622776601683794,0.0,0.00518406173798095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6324555320336759,0.6324555320336751,0.0,0.010200895677962509,0.010200895677962514,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.9574271077563381,0.9574271077563381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20000000000001789,0.0,,0.0002766219715595768,1.4301426699761248e-05,2.247143557144554e-05,0.007327323353767092,8.095756475624793e-05,0.07877551844328415,0.08545490763427156,,0.0,0.0,0.0,0.09999999999999999,0.0,0.001639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.19999999999999973,0.0,0.0032258064516129015,0.0032258064516129032
eps2_sr0.01_ss0.0001,50.0,0.01,0.0001,4.5,205004.5,0.2,0.0,0.0001,0.0031777035588293387,3.0,1.0,0.35,10000.0,16384.0,10308.6,16.0,,0.22485006575259053,0.0035920479750392795,0.0037939071655273436,6.26390163898468,0.0845174789428711,88.40502688884735,94.75770494937896,,150.0,374850.0,150.0,4.3,1.0,0.027671008299103572,200.0,9800.0,200.0,9800.0,10000.0,1.0,0.02,0.9800000000000001,200.0,9800.0,150.2,6.8,157.0,0.751,0.9571381144069473,0.042861885593052616,3.0276503540974917,3.0276503540974917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.62361090250655,0.0,,0.002089710127729746,5.646117787218785e-05,0.00017485632244944286,0.14867500316837862,0.012128453888251723,12.174356752501332,12.18186424922524,,0.0,0.0,0.0,2.3118054512532935,0.0,0.014595776514195823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42163702135578446,3.6453928305312844,3.559026084010439,0.0021081851067789085,0.022216083317724084,0.022216083317724095,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.9574271077563381,0.9574271077563381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.462114146630742,0.0,,0.0006608243653147386,1.7854592145201286e-05,5.529442422210718e-05,0.04701516411448267,0.003835353878320074,3.849869638535502,3.852243717452882,,0.0,0.0,0.0,0.7310570733153768,0.0,0.004615589800365175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1333333333333335,1.1527744310527055,1.125462867742276,0.0006666666666666631,0.007025342397207828,0.007025342397207831
eps2_sr0.01_ss0.0001,100.0,0.01,0.0001,2.0,210002.0,0.2,0.0,0.0001,0.0031777035588293387,3.0,1.0,0.35,40000.0,65536.0,40662.4,18.0,,0.16785367043771043,0.0018955925680610454,0.0073395252227783205,49.74736223220825,0.12763004302978515,1282.323063135147,1332.206076669693,,300.0,2999700.0,300.0,31.2,1.0,0.09329893530782675,400.0,39600.0,322.2,31681.6,32003.8,0.8055,0.12378947368421053,0.8762105263157896,400.0,39600.0,280.2,43.0,323.2,0.7005,0.8751909382725754,0.12480906172742459,1.5811388300841898,1.5811388300841898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.63895090734803,0.0,,0.0069110005994079664,5.8889345555856924e-05,0.00012809296381705422,0.7930298255829746,0.004697750279230307,114.95879686909157,115.73990978707589,,0.0,0.0,0.0,11.819475453673906,0.0,0.03167910257587036,0.0,0.0,173.96608864948365,17706.080673034336,17880.046761683818,0.4349152216237091,0.2544409982818182,0.2544409982818182,0.0,0.0,44.274145954495836,21.89748844045819,64.59256923207188,0.11068536488623962,0.05414062857026833,0.05414062857026832,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.571660229122104,0.0,,0.003090693426563601,2.6336115962674244e-05,5.7284914906870834e-05,0.3546537196376666,0.002100897793135517,51.41113688217575,51.76046119871898,,0.0,0.0,0.0,5.285830114561004,0.0,0.014167325365166962,0.0,0.0,77.8,7918.4,7996.199999999999,0.1945,0.11378947368421054,0.11378947368421054,0.0,0.0,19.8,9.792854537876073,28.886675128854822,0.04950000000000001,0.024212425165537444,0.02421242516553744
eps2_sr0.01_ss0.0001,200.0,0.01,0.0001,2.0,220002.0,0.2,0.0,0.0001,0.0031777035588293387,3.0,1.0,0.35,160000.0,262144.0,161624.8,20.0,,0.13150068343518817,0.0011260164155041487,0.015999460220336915,423.94000964164735,0.5418352127075196,25911.218745708466,26335.718546009062,,600.0,23999400.0,599.8,212.6,0.9996666666666666,0.26158655201882197,800.0,159200.0,799.8,63910.0,64709.8,0.99975,0.4075929861338131,0.5924070138661869,800.0,159200.0,599.6,255.6,855.2,0.7495,0.7450389805580377,0.2549610194419623,1.5811388300841898,1.5811388300841898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.29798197146877,0.0,,0.0006926458042198951,1.1342263496695713e-05,0.0027576636568217563,71.95617303002876,0.08022761200699652,8432.485457739534,8421.25126833074,,0.0,0.0,0.4472135954999611,10.876580344942981,0.0007453559924999394,0.00977099219373901,0.0,0.0,0.4472135954999611,86987.47104899648,86987.65362509785,0.0005590169943749464,0.3675314675501931,0.3675314675501931,0.0,0.0,2.6076809620810604,220.81394883476,222.84680836843953,0.0032596012026013,0.21088560270009338,0.21088560270009335,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.971960689853788,0.0,,0.0003097606205131392,5.0724144394652145e-06,0.0012332646791468197,32.17977885917627,0.03587887882402451,3771.122140556806,3766.098058318771,,0.0,0.0,0.2000000000000014,4.864154602806123,0.00033333333333333755,0.004369720550564044,0.0,0.0,0.2000000000000014,38901.97969127021,38902.06134178496,0.0002499999999999995,0.16436506906249798,0.16436506906249798,0.0,0.0,1.1661903789690604,98.75099999493676,99.66012241613996,0.001457737973711314,0.09431090862268439,0.09431090862268438
eps2_sr0.01_ss0.0003,10.0,0.01,0.0003,4.5,201004.5,0.2,0.0,0.0001,0.003396733711640736,3.0,1.0,0.35,400.0,512.0,460.2,11.0,,0.4657976845631812,0.02244874104674466,0.0012203454971313477,0.3472111225128174,0.00526435375213623,3.374452018737793,3.7286303520202635,,30.0,2970.0,30.0,0.1,1.0,0.0032258064516129032,40.0,360.0,40.0,360.0,400.0,1.0,0.1,0.9,40.0,360.0,30.0,0.2,30.2,0.75,0.99375,0.00625,3.0276503540974917,3.0276503540974917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6324555320336752,0.0,,0.0022572280406112847,0.00018090032864565345,0.0005456927536880166,0.18686663445026114,0.003950393114062459,0.9334428687217925,1.1161333675070655,,0.0,0.0,0.0,0.31622776601683794,0.0,0.010200895677962514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6324555320336759,0.6324555320336758,0.0,0.019764235376052368,0.01976423537605237,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.9574271077563381,0.9574271077563381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999999999999998,0.0,,0.0007137981806730709,5.720570679932678e-05,0.00017256320043033808,0.059092418355291165,0.001249223989348271,0.29518055308024094,0.3529523613836097,,0.0,0.0,0.0,0.09999999999999999,0.0,0.0032258064516129032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19999999999999998,0.19999999999999996,0.0,0.006249999999999999,0.0062499999999999995
eps2_sr0.01_ss0.0003,20.0,0.01,0.0003,4.5,202004.5,0.2,0.0,0.0001,0.003396733711640736,3.0,1.0,0.35,1600.0,2048.0,1720.6,13.0,,0.3424754550435907,0.01125087898129935,0.0017668724060058594,0.6346744537353516,0.006115269660949707,6.352269196510315,6.99535653591156,,60.0,23940.0,60.0,0.3,1.0,0.0049180327868852455,80.0,1520.0,80.0,1520.0,1600.0,1.0,0.05,0.95,80.0,1520.0,60.0,0.5,60.5,0.75,0.9919090428344791,0.008090957165520888,3.0276503540974917,3.0276503540974917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9660917830792535,0.0,,0.0014623828767681647,9.47531465502907e-05,4.903350500805687e-05,0.03240597828862359,0.0005155002869589844,0.3787587195766541,0.408155148487625,,0.0,0.0,0.0,0.48304589153964794,0.0,0.007918785107207345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8498365855987975,0.8498365855987976,0.0,0.013724570566617326,0.01372457056661733,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.9574271077563381,0.9574271077563381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3055050463303759,0.0,,0.0004624460701816735,2.9963575856664478e-05,1.5505755748673255e-05,0.010247670119801591,0.0001630155041260785,0.1197740237511233,0.12906999079451242,,0.0,0.0,0.0,0.15275252316519466,0.0,0.002504139724019585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26874192494328497,0.268741924943285,0.0,0.004340090289821844,0.004340090289821846
eps2_sr0.01_ss0.0003,50.0,0.01,0.0003,4.5,205004.5,0.2,0.0,0.0001,0.003396733711640736,3.0,1.0,0.35,10000.0,16384.0,10307.8,16.0,,0.22431492162555267,0.0035760262465239475,0.004063749313354492,6.3301838636398315,0.10158700942993164,113.40311667919158,119.83949151039124,,150.0,374850.0,150.0,3.9,1.0,0.025312764401948462,200.0,9800.0,200.0,9800.0,10000.0,1.0,0.02,0.9800000000000001,200.0,9800.0,150.0,7.3,157.3,0.75,0.953669276313723,0.04633072368627698,3.0276503540974917,3.0276503540974917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.751190071541923,0.0,,0.0007559462041870261,2.5006540029878553e-05,0.0005768472492521295,0.15904312008388471,0.02580887067370452,35.078603200272525,35.025475557298,,0.0,0.0,0.0,0.8755950357709131,0.0,0.005539834415632537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4944341180973262,1.4944341180973235,0.0,0.009054167586907174,0.00905416758690715,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.9574271077563381,0.9574271077563381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5537749241945689,0.0,,0.00023905117937897166,7.907762289459126e-06,0.00018241511696395898,0.05029385056447455,0.008161481516563063,11.092828325013281,11.076027889161708,,0.0,0.0,0.0,0.27688746209726917,0.0,0.0017518494613586717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4725815626252608,0.47258156262525997,0.0,0.0028631791891497197,0.002863179189149712
eps2_sr0.01_ss0.0003,100.0,0.01,0.0003,2.0,210002.0,0.2,0.0,0.0001,0.003396733711640736,3.0,1.0,0.35,40000.0,65536.0,40658.8,18.0,,0.16690525887034302,0.0019056103180954936,0.007628774642944336,52.71048407554626,0.19788765907287598,1915.9182994842529,1968.8352491378785,,300.0,2999700.0,300.0,29.4,1.0,0.0882818950896993,400.0,39600.0,325.0,31681.6,32006.6,0.8125,0.15951515151515153,0.8404848484848484,400.0,39600.0,299.8,40.4,340.2,0.7495,0.8832015345780512,0.11679846542194867,1.5811388300841898,1.5811388300841898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.314604664686122,0.0,,0.005636676999534377,8.431800490682659e-05,0.0013227966798518085,11.953404132054583,0.06996711072279409,860.4869088880967,870.4149128851163,,0.0,0.0,0.0,12.157302332343306,0.0,0.03290540261063696,0.0,0.0,167.70509831248424,17706.080673034336,17873.78577134682,0.4192627457812106,0.33432604245405945,0.33432604245405945,0.0,0.0,0.44721359549995715,17.686152775547317,18.033302526159762,0.001118033988749868,0.04613306130043994,0.04613306130043995,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.87382177525433,0.0,,0.0025207985876336833,3.7708158139765015e-05,0.000591572659311934,5.345724840360184,0.0312902431530844,384.8214444044904,389.26138276813555,,0.0,0.0,0.0,5.436910887627274,0.0,0.014715743412876656,0.0,0.0,75.0,7918.4,7993.4,0.1875,0.1495151515151515,0.1495151515151515,0.0,0.0,0.19999999999999965,7.909487973314076,8.06473806146238,0.000499999999999988,0.02063133221558971,0.02063133221558971
eps2_sr0.01_ss0.0003,200.0,0.01,0.0003,2.0,220002.0,0.2,0.0,0.0001,0.003396733711640736,3.0,1.0,0.35,160000.0,262144.0,161636.8,20.0,,0.13186140768069893,0.0011328059917903562,0.015086889266967773,385.3678852081299,0.5966906547546387,23680.751772499083,24066.73353857994,,600.0,23999400.0,600.0,218.4,1.0,0.26635594454589906,800.0,159200.0,800.0,95684.0,96484.0,1.0,0.2676365109535047,0.7323634890464952,800.0,159200.0,599.4,260.8,860.2,0.74925,0.7407006666782638,0.25929933332173616,1.5811388300841898,1.5811388300841898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.720016764460944,0.0,,0.0020879924512143613,3.064951812921822e-05,0.0033487288979494128,94.62514893186064,0.18878530489075993,6397.5932957627365,6347.14013655759,,0.0,0.0,0.0,23.860008382228198,0.0,0.02170766289074756,0.0,0.0,0.0,86972.8676686011,86972.8676686011,0.0,0.3598295159154099,0.35982951591540996,0.0,0.0,2.880972058177591,223.5479814268069,226.31990632730475,0.0036012150727220216,0.208982730452164,0.208982730452164,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.341040274552846,0.0,,0.0009337786114843451,1.3706881202908823e-05,0.0014975970908065685,42.317653078536395,0.08442735497775254,2861.090700344479,2838.527361612014,,0.0,0.0,0.0,10.670520137275407,0.0,0.009707961971272227,0.0,0.0,0.0,38895.44886101714,38895.44886101714,0.0,0.1609206515795398,0.16092065157953983,0.0,0.0,1.2884098726725144,99.97369654064012,101.21333904184763,0.0016105123408406577,0.09345991828291081,0.09345991828291081
