solver,n_trk,n_reps,eff_mean,eff_sem,fr_mean,fr_sem,n_seg_mean
classical,2,30,98.88888888888889,1.1111111111111118,0.0,0.0,15.6
classical,4,30,97.14285714285715,1.0611162181545826,0.0,0.0,62.0
classical,6,30,97.81818181818181,0.8778325077460633,0.0,0.0,140.23333333333332
classical,8,30,98.19047619047618,0.6543550011953261,0.0,0.0,251.2
classical,10,30,99.12280701754386,0.36423456076201793,0.0,0.0,395.3333333333333
classical,15,30,98.36772646814994,0.369669123833683,0.0,0.0,878.1666666666666
classical,20,30,97.94419300998248,0.37180972695226455,0.0,0.0,1558.2666666666667
classical,30,20,98.97649447766338,0.22892526859035064,0.0,0.0,3546.1
classical,40,20,98.71783187488691,0.24817614541536118,0.09656741108354011,0.07051205452947247,6294.6
classical,50,20,98.29501783058748,0.3224660500829999,0.09950495049504951,0.06848494544416843,9786.6
classical,60,20,98.54525822015933,0.20866115003881358,0.23184396597994095,0.1475388462616221,14113.4
classical,75,20,98.18785801121012,0.324172565388764,0.24024231585660227,0.11150490060329195,21963.65
classical,100,20,98.3172130438292,0.24867282080786482,0.18193552827079806,0.10887224351917685,39124.55
classical,150,10,98.18470668154974,0.227057048182376,0.3436287856942199,0.18379879695548929,87808.1
classical,200,10,98.34871212514763,0.23504657317250238,0.38951609953416444,0.09075906136422476,156734.8
classical,300,10,98.44734115118682,0.1760293527935194,0.5234143674595124,0.17323140033458106,352301.1
classical,500,5,98.6941436359323,0.17218218528157087,1.7693244070393743,0.38725598197612404,980992.6
classical,750,5,98.49530081548556,0.12553166730212692,5.734480817815686,0.6467000960684939,2203883.6
quantum_sv,2,30,74.80158730158729,0.37028076430582413,0.0,0.0,15.6
quantum_sv,5,30,75.17056530214425,0.3638352577242672,0.0,0.0,98.53333333333333
quantum_sv,10,30,99.64912280701756,0.24379239781742185,0.0,0.0,395.3333333333333
quantum_sv,20,30,99.07114097903572,0.29763673573441063,0.08333333333333333,0.08333333333333333,1558.2666666666667
quantum_sv,50,20,99.35407054064679,0.14090682765656395,1.166538798800306,0.3216075051514069,9786.6
quantum_sv,100,20,99.2945954434147,0.11822613560344122,2.8403542580885492,0.17158852876356784,39124.55
quantum_sv,200,10,99.43623481828476,0.13307216074378833,10.688378957777584,0.4780288064371518,156734.8
