n_trk,rep,solver,sigma_res,sigma_scatt,hit_ineff,epsilon,n_seg,n_true_all,n_false_all,n_true_active,n_false_active,n_active,n_qubits,P_anc,cos_QC,t_classical,t_q
2,0,C,0.005,0.0001,0.01,0.0016308858027061653,16,8,8,8,0,8,,,,0.0030138492584228516,0.0
2,1,C,0.005,0.0001,0.01,0.0016308858027061653,16,8,8,8,0,8,,,,0.003580331802368164,0.0
2,2,C,0.005,0.0001,0.01,0.0016308858027061653,16,8,8,8,0,8,,,,0.003286600112915039,0.0
2,3,C,0.005,0.0001,0.01,0.0016308858027061653,16,8,8,8,0,8,,,,0.002319812774658203,0.0
2,4,C,0.005,0.0001,0.01,0.0016308858027061653,16,8,8,8,0,8,,,,0.002300262451171875,0.0
2,5,C,0.005,0.0001,0.01,0.0016308858027061653,14,7,7,7,0,7,,,,0.0025489330291748047,0.0
2,6,C,0.005,0.0001,0.01,0.0016308858027061653,16,8,8,8,0,8,,,,0.0021822452545166016,0.0
2,7,C,0.005,0.0001,0.01,0.0016308858027061653,16,8,8,8,0,8,,,,0.0022840499877929688,0.0
2,8,C,0.005,0.0001,0.01,0.0016308858027061653,16,8,8,8,0,8,,,,0.0022668838500976562,0.0
2,9,C,0.005,0.0001,0.01,0.0016308858027061653,16,8,8,8,0,8,,,,0.002220630645751953,0.0
2,10,C,0.005,0.0001,0.01,0.0016308858027061653,16,8,8,8,0,8,,,,0.0024187564849853516,0.0
2,11,C,0.005,0.0001,0.01,0.0016308858027061653,16,8,8,8,0,8,,,,0.0022771358489990234,0.0
2,12,C,0.005,0.0001,0.01,0.0016308858027061653,16,8,8,8,0,8,,,,0.002056121826171875,0.0
2,13,C,0.005,0.0001,0.01,0.0016308858027061653,16,8,8,8,0,8,,,,0.0027272701263427734,0.0
2,14,C,0.005,0.0001,0.01,0.0016308858027061653,16,8,8,8,0,8,,,,0.002318859100341797,0.0
2,15,C,0.005,0.0001,0.01,0.0016308858027061653,16,8,8,8,0,8,,,,0.002011537551879883,0.0
2,16,C,0.005,0.0001,0.01,0.0016308858027061653,16,8,8,8,0,8,,,,0.002660036087036133,0.0
2,17,C,0.005,0.0001,0.01,0.0016308858027061653,14,7,7,7,0,7,,,,0.002123117446899414,0.0
2,18,C,0.005,0.0001,0.01,0.0016308858027061653,16,8,8,8,0,8,,,,0.002260446548461914,0.0
2,19,C,0.005,0.0001,0.01,0.0016308858027061653,16,8,8,8,0,8,,,,0.0020825862884521484,0.0
2,20,C,0.005,0.0001,0.01,0.0016308858027061653,16,8,8,8,0,8,,,,0.002523183822631836,0.0
2,21,C,0.005,0.0001,0.01,0.0016308858027061653,16,8,8,8,0,8,,,,0.0021715164184570312,0.0
2,22,C,0.005,0.0001,0.01,0.0016308858027061653,12,6,6,4,0,4,,,,0.0020227432250976562,0.0
2,23,C,0.005,0.0001,0.01,0.0016308858027061653,16,8,8,8,0,8,,,,0.0019974708557128906,0.0
2,24,C,0.005,0.0001,0.01,0.0016308858027061653,16,8,8,8,0,8,,,,0.0020716190338134766,0.0
2,25,C,0.005,0.0001,0.01,0.0016308858027061653,14,7,7,7,0,7,,,,0.0024831295013427734,0.0
2,26,C,0.005,0.0001,0.01,0.0016308858027061653,14,7,7,7,0,7,,,,0.002303600311279297,0.0
2,27,C,0.005,0.0001,0.01,0.0016308858027061653,16,8,8,8,0,8,,,,0.0019507408142089844,0.0
2,28,C,0.005,0.0001,0.01,0.0016308858027061653,16,8,8,8,0,8,,,,0.0023958683013916016,0.0
2,29,C,0.005,0.0001,0.01,0.0016308858027061653,16,8,8,8,0,8,,,,0.0020520687103271484,0.0
4,0,C,0.005,0.0001,0.01,0.0016308858027061653,56,14,42,12,0,12,,,,0.0024368762969970703,0.0
4,1,C,0.005,0.0001,0.01,0.0016308858027061653,64,16,48,16,0,16,,,,0.0022644996643066406,0.0
4,2,C,0.005,0.0001,0.01,0.0016308858027061653,64,16,48,16,0,16,,,,0.0026535987854003906,0.0
4,3,C,0.005,0.0001,0.01,0.0016308858027061653,56,14,42,12,0,12,,,,0.002368927001953125,0.0
4,4,C,0.005,0.0001,0.01,0.0016308858027061653,60,15,45,15,0,15,,,,0.0026366710662841797,0.0
4,5,C,0.005,0.0001,0.01,0.0016308858027061653,56,14,42,12,0,12,,,,0.002931356430053711,0.0
4,6,C,0.005,0.0001,0.01,0.0016308858027061653,64,16,48,16,0,16,,,,0.002501249313354492,0.0
4,7,C,0.005,0.0001,0.01,0.0016308858027061653,64,16,48,16,0,16,,,,0.0022161006927490234,0.0
4,8,C,0.005,0.0001,0.01,0.0016308858027061653,64,16,48,16,0,16,,,,0.002253293991088867,0.0
4,9,C,0.005,0.0001,0.01,0.0016308858027061653,64,16,48,16,0,16,,,,0.002305746078491211,0.0
