family,d,hw,P4 outer,P4 inner,P5 outer,P5 mid,P5 ctr,hub ctr,hub leg,P3 outer,P3 ctr,P2,isolated
LS comb,20,0.06,0.3707495946033274,0.4545,0.26642964187499946,0.4559699522363695,0.5820717667529268,0.5194084480811827,0.3925314563915569,0.20878815642595142,0.2744253560051442,0.05572252897897893,0.0492124830029272
LS comb,20,0.09,0.3709041509576578,0.4545,0.26767059570428453,0.4561125742932238,0.5810511230587374,0.5196160041166503,0.39260914446979833,0.21134852483001826,0.2769253826772171,0.06165527811834016,0.045709931650167554
LS comb,20,0.12,0.37097804194093775,0.45450000000000007,0.2693282361209152,0.45615234536068017,0.5793313314802174,0.5197974684809085,0.3925072222404528,0.21503534104102023,0.2806110832531812,0.06977308482522847,0.040674859238386235
LS comb,20,0.18,0.37086880071422984,0.4545,0.2738218573405272,0.45574985432180276,0.5735515317672643,0.5198761738576175,0.3916235347859889,0.22587471212226778,0.2916746024194828,0.09237504910728159,0.0259078170862092
LS comb,20,0.24,0.37042469740266315,0.45449999999999996,0.27983317815449227,0.4546543077337174,0.5646587113242868,0.5194710337223734,0.3898375817450617,0.2407157555108104,0.30704530776300154,0.12180952851182689,0.004992355015301692
LS comb,30,0.06,0.34989511117892924,0.4545,0.19419952214809547,0.33715233651890847,0.4281894188383127,0.38906806857031856,0.2852366044675007,0.20294057910099716,0.24757040443404288,0.04820882961555633,0.039790374542121365
LS comb,30,0.09,0.3507997287551662,0.4545,0.19666289316260605,0.34128467232873794,0.43328559109365,0.39390553272995904,0.2886638119275191,0.2047836556840373,0.24955978529117312,0.042203811660076,0.0399598047684375
LS comb,30,0.12,0.3519233753354214,0.4545,0.20011013868239363,0.34683941605259105,0.43995270496422656,0.4004554045111546,0.29322342759403003,0.20749202564427485,0.25255364586004786,0.033682429468438184,0.03973242759943882
LS comb,30,0.18,0.354657121382634,0.45450000000000007,0.20983686412963745,0.36123259300070765,0.4563478376375663,0.41751307723492037,0.3049521087664969,0.21604611612061705,0.2622352415001214,0.008698417302380508,0.03667410937829095
LS comb,30,0.24,0.35763945316751733,0.4545,0.22292991757910177,0.37783311852314483,0.4733302168917975,0.4372392210985363,0.31842701594775524,0.22918812192978935,0.2773988075967651,0.026310624670867182,0.027470381733593497
LS comb,40,0.06,0.3637360996298277,0.4545,0.22627949266882347,0.3600976116312147,0.43913190993654067,0.41488143228828195,0.3053137909741505,0.12741275521580767,0.15402218520079067,0.03311187515328737,0.013427075401106606
LS comb,40,0.09,0.3642081665048186,0.4545,0.2268517252406441,0.36285703399078173,0.44341405667805095,0.4183053200536519,0.30740874792791445,0.13650874649407854,0.1648908378637905,0.030407106493824214,0.010289393803237625
LS comb,40,0.12,0.36463386238093476,0.45450000000000007,0.22754458436476951,0.36635095029907966,0.4488040782659617,0.42270418826650946,0.3099977123316528,0.14854022662870442,0.17926904087927245,0.02564188428424094,0.00628509046357773
LS comb,40,0.18,0.365159389312285,0.4545,0.22974283433450654,0.3749159585040913,0.4614458938088097,0.4335591473689591,0.31627276963922585,0.17860583172332622,0.21517326439088832,0.007435599170619055,0.0019602251397961494
LS comb,40,0.24,0.3651914024330313,0.4545,0.23435139370049082,0.38465385645714495,0.47381765096391987,0.44579252470702535,0.3235151882072665,0.21124603310839174,0.2541226275965179,0.024054571818751706,0.005114863562937741
LS comb,60,0.06,0.3608863546165765,0.4545,0.13827222578867746,0.2281847780311672,0.2819540276248539,0.2643280806799733,0.19204147538236638,0.005664264373077528,0.009738057407973505,0.02650113638765547,0.005409576047498659
LS comb,60,0.09,0.3620489858795785,0.4545,0.1500540233086557,0.2463766938019679,0.3035084300564216,0.28556762804082914,0.20718575956311147,0.01577940304741889,0.016556211326782838,0.02348236203291636,0.0034003834391099024
LS comb,60,0.12,0.3630869343351013,0.45449999999999996,0.16451245618177943,0.26884736889495947,0.33019884341184025,0.3118308070912614,0.22586393069866206,0.044035584324677135,0.05110426464921248,0.019125617463807032,0.0011739310482810172
LS comb,60,0.18,0.36420287528788026,0.4545,0.19489891678263155,0.31720637215763775,0.3883768133398716,0.36834338635041214,0.2660693579648669,0.11205061469120768,0.1338243481160214,0.003805990402513165,0.0014210202253919278
LS comb,60,0.24,0.36435956623832,0.4545,0.21981927521296113,0.3579179842532111,0.4381294174119777,0.4158052601346961,0.30003070837172874,0.17795166335505663,0.21341122066760673,0.02468851600123028,0.0015091330139450486
LS comb,80,0.06,0.3598609036030578,0.4545,0.07131223555205783,0.11307570405418825,0.13638686098366848,0.13152801562684205,0.09462339248154059,0.06959225196165247,0.08340703304113835,0.045028488858264125,0.006237610120447276
LS comb,80,0.09,0.3617110137784704,0.4545,0.09799506514882109,0.15784547640950813,0.19209336444370015,0.18344799963600653,0.13224295318301546,0.036777564242311496,0.044057375803902524,0.0304477849236087,0.003896765853942144
LS comb,80,0.12,0.36309914210770244,0.4545,0.1286689394977015,0.20909205368663997,0.2556789572780886,0.24292826428413272,0.1752558430891523,0.005646318241331504,0.006792731953968236,0.016208480388768126,0.0016589217173146335
LS comb,80,0.18,0.3640745671390154,0.4545,0.18313143668879261,0.2989340061737747,0.36639267806944165,0.347277903763092,0.25059010858446107,0.09849322193209206,0.11812171502259299,0.005726564477990425,0.0001298046918560016
LS comb,80,0.24,0.36412258223811234,0.4545,0.21648433309311862,0.353034338316861,0.4325001475491974,0.41011853430826833,0.295950142325456,0.17420561469567808,0.20896004849914035,0.026510626443038775,0.0004685186370403157
LS comb,100,0.06,0.36027072604425403,0.45449999999999996,0.019912748905556773,0.03739946297990978,0.04860266123474002,0.04368297879943568,0.031115947160389276,0.022920405517745226,0.027975487362559507,0.02691168440599318,0.008777163423626416
LS comb,100,0.09,0.3623468823958366,0.4545,0.06550701119579526,0.10942186075884294,0.13556977889106853,0.1271887921896682,0.09165492932802304,0.01108674863880071,0.01350666765777278,0.012819605097986972,0.0045557564994778655
LS comb,100,0.12,0.36353689835881664,0.4545,0.1129577035272191,0.1851592526368147,0.22743642399139527,0.21508363039183287,0.15523487488180174,0.016211367401357493,0.01937484853051475,0.00394029212824809,0.0015210169369567906
LS comb,100,0.18,0.36401196089615434,0.4545,0.18115576444287826,0.2955994227648602,0.36230264350666347,0.34333986034504127,0.2478589851846832,0.09934878429090306,0.11916447365511926,0.0034871586132068943,8.885379093503273e-06
LS comb,100,0.24,0.3640067285108866,0.4545,0.21604274324143122,0.3522178091188737,0.43151533038162865,0.4090953537335626,0.2953402645041872,0.17422310031798008,0.20901850474241118,0.02638344773081986,0.0005701561012342511
LS comb,120,0.06,0.3613142264223358,0.4545,0.0035702877276498814,0.0003989631651135319,0.0028384933814759755,0.00046509514916889697,0.00033283118106201793,0.015377542172759946,0.01864840942314427,0.005508257862106834,0.009979068836775743
LS comb,120,0.09,0.36309399596106384,0.4545,0.05684401211249238,0.09068760292481998,0.10993457134173135,0.10528422532023914,0.07609098052940579,0.004802834074455296,0.005795570777908506,0.001139075867166972,0.003753452883253551
LS comb,120,0.12,0.36380807259301456,0.4545,0.10999604505905744,0.17903879905317313,0.21921628495403306,0.2079040671464318,0.15017353095991942,0.020383396322187143,0.02447200573355452,8.786769871445553e-05,0.0007758051640820637
LS comb,120,0.18,0.3639504685359921,0.4545,0.1806941951807861,0.2948232650086242,0.3613799079520049,0.34239569189308394,0.24725083812416832,0.09960991743508144,0.11955872250521798,0.0037817919246125537,8.482409567769456e-06
LS comb,120,0.24,0.3639425758684155,0.4545,0.2154746608895431,0.35130136972338905,0.4304388724539367,0.40799057582668885,0.29461216362009174,0.1744551010924192,0.20937193480795466,0.02676611784184957,0.0005104493251499232
