config,rep,gamma,mu,n_true,far_cls_e990,far_cls_e985,far_cls_e980,far_cls_e970,far_cls_e950,far_1b_e990,far_1b_e985,far_1b_e980,far_1b_e970,far_1b_e950,far_comb_e990,far_comb_e985,far_comb_e980,far_comb_e970,far_comb_e950,far_opt_e990,far_opt_e985,far_opt_e980,far_opt_e970,far_opt_e950,far_cheb160_e990,far_cheb160_e985,far_cheb160_e980,far_cheb160_e970,far_cheb160_e950,far_chebd40_e985,far_chebd80_e985,far_chebd160_e985,far_chebd240_e985,far_optgate_e990,far_clsgate_e990,far_optgate_e985,far_clsgate_e985,far_optgate_e980,far_clsgate_e980,far_optgate_e970,far_clsgate_e970,far_optgate_e950,far_clsgate_e950,n_true_dead,n_true_leak,floor_frac,far_gen_e990,far_gen_e985,far_gen_e980,far_gen_e970,far_gen_e950
beta0,0,3.0,0.003,788,0.6496872207327972,0.21212121212121213,0.1311659192825112,0.1311659192825112,0.1311659192825112,0.6496872207327972,0.21132457027300303,0.21132457027300303,0.21132457027300303,0.21725571725571727,0.9950317258883249,0.9950303487710187,0.20961145194274028,0.2066115702479339,0.19721329046087888,0.6493738819320215,0.21052631578947367,0.12921348314606743,0.07151515151515152,0.07151515151515152,0.9950002855166901,0.9950002855166901,0.9950002855166901,0.9950002855166901,0.9952022846263684,0.9950002855166901,0.9950002855166901,0.9950002855166901,0.9950618537724771,,,,,,,0.03278688524590164,,0.01576872536136662,,4,18,0.027918781725888325,,,,,
beta0,1,3.0,0.003,783,0.6666666666666666,0.6666666666666666,0.11098265895953757,0.11098265895953757,0.11098265895953757,0.6666666666666666,0.6666666666666666,0.19267015706806281,0.19267015706806281,0.19658119658119658,0.995006672668876,0.9950264141218915,0.9950519608537944,0.9951031558871664,0.1824175824175824,0.6659538066723696,0.6659538066723696,0.056511056511056514,0.056511056511056514,0.03479381443298969,0.9950067045527106,0.9950067045527106,0.9950067045527106,0.6726959517657192,0.6726959517657192,0.9950003511886139,0.9950003511886139,0.9950067045527106,0.6555109326193663,,,0.010256410256410256,,0.010256410256410256,,0.010256410256410256,,0.006675567423230975,0.029831387808041506,2,13,0.019157088122605363,0.9950447315151244,0.9950700222870754,0.669104991394148,0.6696891191709845,0.04358974358974359
beta0,2,3.0,0.6463304070095649,786,0.6272076372315036,0.19814241486068113,0.13077790304396844,0.13077790304396844,0.13077790304396844,0.6270296084049666,0.1935483870967742,0.1935483870967742,0.1935483870967742,0.19850586979722518,0.9950090017362779,0.9950344385711998,0.995040813972859,0.19599578503688092,0.1898047722342733,0.994989203078244,0.1742826780021254,0.10244470314318975,0.05555555555555555,0.05555555555555555,0.9950434887730885,0.9950561511786975,0.9950561511786975,0.9950561511786975,0.9952438255687354,0.9950507646505,0.9950130398829591,0.9950561511786975,0.9950319962342404,,,,,,,0.011597938144329897,,0.010471204188481676,,0,52,0.06615776081424936,0.9950444662145829,0.9950692845054652,0.9950755527278511,0.6263414634146341,0.05436156763590392
b0.5-gstar,0,3.4305831090170913,13.924766500838338,788,0.6341920374707259,0.6164451009354998,0.14757709251101322,0.14757709251101322,0.10406698564593302,0.6998468606431854,0.18769551616266944,0.1871713985278654,0.12684031710079274,0.12684031710079274,0.9949942635927215,0.9950161637931034,0.9565974171813588,0.9568941229503578,0.957460101096155,0.6314057357780912,0.10380622837370242,0.07866507747318235,0.054388133498145856,0.054388133498145856,0.6493039964077234,0.6493039964077234,0.6493039964077234,0.6493039964077234,0.6493039964077234,0.9950566674704606,0.9950433783723749,0.6493039964077234,0.994452525598243,,,,,,,0.020486555697823303,,0.014416775884665793,,0,788,1.0,,,,,
b0.5-gstar,1,3.1298853411510845,30.0,783,0.645367412140575,0.645367412140575,0.645367412140575,0.13112884834663627,0.08374384236453201,0.7272092210967517,0.7272092210967517,0.12128146453089245,0.11852704257767549,0.11852704257767549,0.994982827557925,0.9950105669986492,0.9566566962018173,0.9569004524886878,0.9576358045780663,0.6402579456471672,0.6402579456471672,0.0963572267920094,0.03909205548549811,0.021052631578947368,0.9949998717915844,0.9949998717915844,0.9944365564602591,0.9944765817226388,0.9945703065453938,0.9950278326335231,0.9950109554563283,0.9949998717915844,0.9548379548379549,,,,,,,0.01540436456996149,,0.01303780964797914,0.024675324675324677,0,783,1.0,0.9950226331751479,0.9950217676910791,0.9950217676910791,0.9950986706512778,0.9951755854997038
b0.5-gstar,2,3.253595522667697,3.0000000000000013,786,0.6234896085065249,0.6189773844641101,0.5962343096234309,0.5975802209363493,0.12240184757505773,0.736468200270636,0.17989417989417988,0.12684031710079274,0.12514220705346984,0.12514220705346984,0.9949692745706814,0.9666178497587871,0.9666666666666667,0.9668721778395276,0.967443887557202,0.6305581835383159,0.08165680473372781,0.07966706302021404,0.04505632040050062,0.03816793893129771,0.9949945593035908,0.994242455759773,0.9942527024210119,0.5851005981511691,0.589010989010989,0.9950003180459258,0.9950472587375941,0.994242455759773,0.7006172839506173,,,,,0.012804097311139564,,0.007761966364812419,,0.003963011889035667,,0,9,0.011450381679389313,0.9695306740928823,0.9695306740928823,0.9695306740928823,0.9695306740928823,0.9695306740928823
b1-gstar,0,4.412198397571528,30.0,788,0.6392609699769053,0.6224489795918368,0.6224489795918368,0.6224489795918368,0.6187817258883249,0.9595525402661971,0.9596477596477596,0.6679553264604811,0.668971477960242,0.6610093791871371,0.9944251318766819,0.9944502774861257,0.9944573408092569,0.503242542153048,0.16057585825027684,0.6536930561698363,0.13459399332591768,0.13459399332591768,0.13459399332591768,0.05660377358490566,0.9944393814256828,0.6656626506024096,0.5758904109589041,0.13166855845629966,0.1285878300803674,0.9950109694709709,0.6676646706586826,0.6656626506024096,0.5777173913043478,,,,,,,,,0.03717948717948718,,0,788,1.0,,,,,
b1-gstar,1,4.111041407838291,30.0,783,0.6509221772379667,0.6507004066877542,0.6507004066877542,0.6523330283623056,0.65,0.9602740426402168,0.9602740426402168,0.9602740426402168,0.639297579496915,0.6319138521781693,0.9950003511886139,0.99444955711492,0.994453552109889,0.43661971830985913,0.1368909512761021,0.6613183000867303,0.6613183000867303,0.08343265792610251,0.08343265792610251,0.02349869451697128,0.9944359239576274,0.9944359239576274,0.9944696876957753,0.4986842105263158,0.486652977412731,0.9950079859292453,0.9944249864596497,0.9944359239576274,0.65625,,,,,,,0.01540436456996149,,0.005319148936170213,0.024869109947643978,0,0,0.0,0.7462883536786539,0.7462883536786539,0.7462883536786539,0.7462883536786539,0.7522447622214832
b1-gstar,2,4.248592619195085,30.0,786,0.9941887788975837,0.994196108856529,0.6017561983471075,0.6019668737060041,0.6039029535864979,0.9689629068887207,0.9690421027402732,0.9691945021575835,0.6983813659692065,0.6962179747864986,0.9941731741615055,0.9942025299411277,0.9942307260605063,0.9942598842996235,0.4543462381300219,0.6614651061985263,0.11402508551881414,0.11402508551881414,0.11402508551881414,0.0685785536159601,0.9941792522348843,0.5739417262231996,0.5667040358744395,0.15138121546961325,0.13541666666666666,0.6944553676759733,0.7708456534594914,0.5739417262231996,0.23038728897715988,,,,,,,,,0.02594033722438392,,0,32,0.04071246819338423,0.9244817374136229,0.9244817374136229,0.9244817374136229,0.9244817374136229,0.9244817374136229
