system,rep,lam_min,lam_max,span,n,n_true,far_cls_e990,far_cls_e985,far_cls_e980,far_cls_e970,far_cls_e950,far_fit40_e990,far_fit40_e985,far_fit40_e980,far_fit40_e970,far_fit40_e950,mu_fit40,far_fit80_e990,far_fit80_e985,far_fit80_e980,far_fit80_e970,far_fit80_e950,mu_fit80,far_fit160_e990,far_fit160_e985,far_fit160_e980,far_fit160_e970,far_fit160_e950,mu_fit160,far_fit240_e990,far_fit240_e985,far_fit240_e980,far_fit240_e970,far_fit240_e950,mu_fit240,far_fit480_e990,far_fit480_e985,far_fit480_e980,far_fit480_e970,far_fit480_e950,mu_fit480,far_fit960_e990,far_fit960_e985,far_fit960_e980,far_fit960_e970,far_fit960_e950,mu_fit960
base,0,0.6327818341300504,7.367218165869945,6.734436331739895,157609,788,0.6496872207327972,0.21212121212121213,0.1311659192825112,0.1311659192825112,0.1311659192825112,0.6496872207327972,0.1401766004415011,0.09048178613396005,0.08422301304863583,0.08422301304863583,0.01,0.6493738819320215,0.2073170731707317,0.08293838862559241,0.07151515151515152,0.07151515151515152,0.03162277660168379,0.6493738819320215,0.2073170731707317,0.08402366863905325,0.07151515151515152,0.07151515151515152,0.0031622776601683794,0.6493738819320215,0.2073170731707317,0.08293838862559241,0.07151515151515152,0.07151515151515152,0.0031622776601683794,0.6493738819320215,0.13444444444444445,0.12059158134243458,0.07151515151515152,0.07151515151515152,0.001,0.6493738819320215,0.13444444444444445,0.12059158134243458,0.07151515151515152,0.07151515151515152,0.001
occ_a0.05,0,0.6913005880343785,43.80095006908443,43.10964948105005,157609,788,0.2119071644803229,0.125,0.1235827664399093,0.12471395881006865,0.12703962703962704,0.4974259974259974,0.12696629213483146,0.08736717827626919,0.08052884615384616,0.06608478802992519,0.31622776601683794,0.16470588235294117,0.08264462809917356,0.07866507747318235,0.0783132530120482,0.059045226130653265,0.31622776601683794,0.20549338758901323,0.08695652173913043,0.08194774346793349,0.05555555555555555,0.045859872611464965,3.1622776601683795,0.2030612244897959,0.08480565371024736,0.07866507747318235,0.05672009864364982,0.03354838709677419,1.0,0.22055888223552894,0.05818181818181818,0.05731707317073171,0.053217821782178217,0.04342273307790549,10.0,0.2880583409298086,0.05703883495145631,0.0550122249388753,0.046134663341645885,0.02727272727272727,3.1622776601683795
occ_a0.3,0,0.6991466351280946,242.80015772237323,242.10101108724513,157609,788,0.2103134479271992,0.12401352874859076,0.1235827664399093,0.12471395881006865,0.12703962703962704,0.2119071644803229,0.08156028368794327,0.07976190476190476,0.07720144752714113,0.07644882860665844,100.0,0.2119071644803229,0.12696629213483146,0.1275395033860045,0.1267123287671233,0.1280558789289872,316.22776601683796,0.7427536231884058,0.112,0.08412322274881516,0.0783132530120482,0.07301980198019802,3.1622776601683795,0.739840106595603,0.08372641509433962,0.07866507747318235,0.0783132530120482,0.05667506297229219,0.31622776601683794,0.2119071644803229,0.11098398169336385,0.0830367734282325,0.08163265306122448,0.08098159509202454,10.0,0.24027237354085604,0.07389749702026222,0.06303030303030303,0.053217821782178217,0.040973111395646605,3.1622776601683795
base,1,0.932421783761092,7.067578216238908,6.135156432477816,156611,783,0.6666666666666666,0.6666666666666666,0.11098265895953757,0.11098265895953757,0.11098265895953757,0.6542387927208166,0.6542387927208166,0.1100811123986095,0.05686032138442522,0.03501945525291829,0.01,0.665667808219178,0.665667808219178,0.10372960372960373,0.10372960372960373,0.10372960372960373,316.22776601683796,0.665667808219178,0.665667808219178,0.10372960372960373,0.10372960372960373,0.10372960372960373,316.22776601683796,0.665667808219178,0.665667808219178,0.10372960372960373,0.10372960372960373,0.10372960372960373,316.22776601683796,0.665667808219178,0.665667808219178,0.10372960372960373,0.10372960372960373,0.10372960372960373,316.22776601683796,0.665667808219178,0.665667808219178,0.10372960372960373,0.10372960372960373,0.10372960372960373,316.22776601683796
occ_a0.05,1,0.9843930965544451,43.7031370565184,42.71874395996396,156611,783,0.22322322322322322,0.19246861924686193,0.10801393728222997,0.107981220657277,0.11004784688995216,0.19166666666666668,0.19246861924686193,0.061124694376528114,0.058240396530359353,0.05583756345177665,31.622776601683793,0.08274231678486997,0.07322929171668667,0.06227106227106227,0.05472636815920398,0.03501945525291829,0.1,0.38412698412698415,0.07211538461538461,0.05997552019583843,0.05,0.023622047244094488,1.0,0.11516533637400228,0.07875894988066826,0.06909090909090909,0.05236907730673317,0.028720626631853787,0.01,0.267233238904627,0.06875753920386007,0.05067985166872682,0.0416141235813367,0.008,0.0031622776601683794,0.08165680473372781,0.061968408262454436,0.056511056511056514,0.0379746835443038,0.013262599469496022,0.01
occ_a0.3,1,0.99080513646624,242.20052914207503,241.2097240056088,156611,783,0.2129817444219067,0.19246861924686193,0.10801393728222997,0.107981220657277,0.11004784688995216,0.19334719334719336,0.19246861924686193,0.05997552019583843,0.0594059405940594,0.05822784810126582,1.0,0.2032854209445585,0.19246861924686193,0.06227106227106227,0.06056860321384425,0.05941845764854614,3.1622776601683795,0.19166666666666668,0.19246861924686193,0.061124694376528114,0.06056860321384425,0.06060606060606061,100.0,0.9185045158580131,0.09707602339181287,0.09219858156028368,0.04881101376720901,0.027450980392156862,0.001,0.2041025641025641,0.09495896834701055,0.061124694376528114,0.05236907730673317,0.03626943005181347,3.1622776601683795,0.1565217391304348,0.08422301304863583,0.07581227436823104,0.05236907730673317,0.015873015873015872,0.01
base,2,0.8361882257492781,7.163811774250723,6.327623548501445,157212,786,0.6272076372315036,0.19814241486068113,0.13077790304396844,0.13077790304396844,0.13077790304396844,0.6272076372315036,0.13953488372093023,0.09718969555035128,0.07168894289185905,0.06854345165238677,0.01,0.6234329797492768,0.176033934252386,0.10452961672473868,0.10452961672473868,0.10452961672473868,100.0,0.6230694980694981,0.11301369863013698,0.10348837209302325,0.054388133498145856,0.054388133498145856,3.1622776601683795,0.623795761078998,0.11704545454545455,0.06884057971014493,0.05217391304347826,0.04881101376720901,0.00031622776601683794,0.6230694980694981,0.112,0.10244470314318975,0.05555555555555555,0.05555555555555555,1.0,0.6230694980694981,0.11604095563139932,0.10556844547563805,0.054455445544554455,0.05112219451371571,0.1
occ_a0.05,2,0.8906406063297889,43.901771680201286,43.011131073871496,157212,786,0.4616447823082239,0.12823397075365578,0.1288135593220339,0.12998859749144812,0.13240418118466898,0.19773429454170957,0.12823397075365578,0.089728453364817,0.0829326923076923,0.08455882352941177,31.622776601683793,0.27669452181987003,0.0903755868544601,0.08865248226950355,0.08403361344537816,0.06625,0.31622776601683794,0.2739981360671016,0.06962785114045618,0.06996381182147166,0.0638036809815951,0.037371134020618556,0.31622776601683794,0.2911737943585077,0.06513872135102533,0.06432038834951456,0.06150061500615006,0.06037735849056604,31.622776601683793,0.17740232312565998,0.05024509803921569,0.04579207920792079,0.04025157232704402,0.02225130890052356,1.0,0.13827433628318583,0.04556650246305419,0.03865336658354115,0.031725888324873094,0.015810276679841896,1.0
occ_a0.3,2,0.8975555724166437,243.40029551126167,242.50273993884502,157212,786,0.45902777777777776,0.12823397075365578,0.1288135593220339,0.12998859749144812,0.13240418118466898,0.439568345323741,0.0903755868544601,0.08432304038004751,0.08403361344537816,0.08455882352941177,100.0,0.8681225664465888,0.1252821670428894,0.12585034013605442,0.08622754491017964,0.08118081180811808,1.0,0.20913705583756345,0.12823397075365578,0.089728453364817,0.0829326923076923,0.0834355828220859,31.622776601683793,0.2692307692307692,0.0903755868544601,0.09080188679245282,0.07961399276236429,0.06273525721455459,1.0,0.24221789883268482,0.0729665071770335,0.0733173076923077,0.059186189889025895,0.037371134020618556,1.0,0.2392578125,0.06174334140435835,0.06090133982947625,0.06150061500615006,0.06155778894472362,31.622776601683793
