rep,lam_bin,false_active_formation,true_formation
0,3.0028,1244.0,4.0
0,2.5828,134.782,8.014
0,2.1428,15.326,107.284
0,2.3828,15.155,598.639
0,0.6228,8.238,7.533
0,OVERLAP_COSINE,0.0223,
1,3.0024,1378.0,10.0
1,2.5824,128.225,2.914
1,2.1424,10.785,75.496
1,2.3824,7.578,621.372
1,0.9224,6.751,7.645
1,OVERLAP_COSINE,0.0229,
2,3.0062,1122.0,4.0
2,2.5862,110.837,8.812
2,2.2662,14.928,0.0
2,2.1462,13.656,95.59
2,0.8262,7.165,7.651
2,OVERLAP_COSINE,0.0136,
