rep,notch,root,iso_level,far_e990,far_e985,far_e980,far_e970,far_e950,far_gate_e990,far_gate_e985,far_gate_e980,far_gate_e970,far_gate_e950
0,t=pi/s (standard),4.0,1.5308084989341915e-17,0.6496872207327972,0.21132457027300303,0.21132457027300303,0.21132457027300303,0.21725571725571727,,,,,
0,t=pi/(s-1) (pair-tuned),3.0,0.12499999999999994,0.9950035825784329,0.9950035825784329,0.9950035825784329,0.9950035825784329,0.9950035825784329,,,,,
0,t=pi/lam* (lam*=2.58),2.582781834130054,0.1897740769714446,0.9950002855166901,0.9950002855166901,0.9950002855166901,0.9950002855166901,0.9951707682349507,,,,,
1,t=pi/s (standard),4.0,1.5308084989341915e-17,0.6666666666666666,0.6666666666666666,0.19267015706806281,0.19267015706806281,0.19658119658119658,,,,,
1,t=pi/(s-1) (pair-tuned),3.0,0.12499999999999994,0.9950003511886139,0.9950250679864414,0.9950250679864414,0.9950250679864414,0.9950250679864414,,,,,
1,t=pi/lam* (lam*=2.58),2.5824217837610934,0.18982926550741017,0.9950003511886139,0.9950003511886139,0.9950003511886139,0.9951210789823235,0.9951210789823235,,,,,
2,t=pi/s (standard),4.0,1.5308084989341915e-17,0.6270296084049666,0.1935483870967742,0.1935483870967742,0.1935483870967742,0.19850586979722518,,,,,
2,t=pi/(s-1) (pair-tuned),3.0,0.12499999999999994,0.9950077223293878,0.9950077223293878,0.9950077223293878,0.9950077223293878,0.9950077223293878,,,,,
2,t=pi/lam* (lam*=2.59),2.5861882257492805,0.18925162906632848,0.9950003816502557,0.9950003816502557,0.9950003816502557,0.9950003816502557,0.9950003816502557,,,,,
