event,n_tracks,sigma_scatt,sigma_res,phi_max,epsilon,wall_time_s,efficiency,ghost_rate,clone_fraction,mean_purity,hit_efficiency,n_candidates,n_reconstructible,sigma_scatt_mrad
0,10,5e-05,0.0,0.02,0.0002131900560532,0.05,1.0,0.0,0.0,1.0,1.0,10,10,0.05
1,10,5e-05,0.0,0.02,0.0002131900560532,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.05
2,10,5e-05,0.0,0.02,0.0002131900560532,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.05
3,10,5e-05,0.0,0.02,0.0002131900560532,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.05
4,10,5e-05,0.0,0.02,0.0002131900560532,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.05
5,10,5e-05,0.0,0.02,0.0002131900560532,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.05
6,10,5e-05,0.0,0.02,0.0002131900560532,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.05
7,10,5e-05,0.0,0.02,0.0002131900560532,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.05
8,10,5e-05,0.0,0.02,0.0002131900560532,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.05
9,10,5e-05,0.0,0.02,0.0002131900560532,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.05
10,10,5e-05,0.0,0.02,0.0002131900560532,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.05
11,10,5e-05,0.0,0.02,0.0002131900560532,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.05
12,10,5e-05,0.0,0.02,0.0002131900560532,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.05
13,10,5e-05,0.0,0.02,0.0002131900560532,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.05
14,10,5e-05,0.0,0.02,0.0002131900560532,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.05
15,10,5e-05,0.0,0.02,0.0002131900560532,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.05
16,10,5e-05,0.0,0.02,0.0002131900560532,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.05
17,10,5e-05,0.0,0.02,0.0002131900560532,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.05
18,10,5e-05,0.0,0.02,0.0002131900560532,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.05
19,10,5e-05,0.0,0.02,0.0002131900560532,0.04,1.0,0.0,0.0,1.0,1.0,10,10,0.05
0,20,5e-05,0.0,0.02,0.0002131900560532,0.35,1.0,0.0,0.0,1.0,1.0,20,20,0.05
1,20,5e-05,0.0,0.02,0.0002131900560532,0.34,1.0,0.0,0.0,1.0,1.0,20,20,0.05
2,20,5e-05,0.0,0.02,0.0002131900560532,0.35,1.0,0.0,0.0,1.0,1.0,20,20,0.05
3,20,5e-05,0.0,0.02,0.0002131900560532,0.35,1.0,0.0,0.0,1.0,1.0,20,20,0.05
4,20,5e-05,0.0,0.02,0.0002131900560532,0.35,1.0,0.0,0.0,1.0,1.0,20,20,0.05
5,20,5e-05,0.0,0.02,0.0002131900560532,0.35,1.0,0.0,0.0,1.0,1.0,20,20,0.05
6,20,5e-05,0.0,0.02,0.0002131900560532,0.35,1.0,0.0,0.0,1.0,1.0,20,20,0.05
7,20,5e-05,0.0,0.02,0.0002131900560532,0.35,1.0,0.0,0.0,1.0,1.0,20,20,0.05
8,20,5e-05,0.0,0.02,0.0002131900560532,0.35,1.0,0.0,0.0,1.0,1.0,20,20,0.05
9,20,5e-05,0.0,0.02,0.0002131900560532,0.35,1.0,0.0,0.0,1.0,1.0,20,20,0.05
10,20,5e-05,0.0,0.02,0.0002131900560532,0.35,1.0,0.0,0.0,1.0,1.0,20,20,0.05
11,20,5e-05,0.0,0.02,0.0002131900560532,0.35,1.0,0.0,0.0,1.0,1.0,20,20,0.05
12,20,5e-05,0.0,0.02,0.0002131900560532,0.35,1.0,0.0,0.0,1.0,1.0,20,20,0.05
13,20,5e-05,0.0,0.02,0.0002131900560532,0.3,1.0,0.0,0.0,1.0,1.0,20,20,0.05
14,20,5e-05,0.0,0.02,0.0002131900560532,0.33,1.0,0.0,0.0,1.0,1.0,20,20,0.05
15,20,5e-05,0.0,0.02,0.0002131900560532,0.36,1.0,0.0,0.0,1.0,1.0,20,20,0.05
16,20,5e-05,0.0,0.02,0.0002131900560532,0.35,1.0,0.0,0.0,1.0,1.0,20,20,0.05
17,20,5e-05,0.0,0.02,0.0002131900560532,0.35,1.0,0.0,0.0,1.0,1.0,20,20,0.05
18,20,5e-05,0.0,0.02,0.0002131900560532,0.35,1.0,0.0,0.0,1.0,1.0,20,20,0.05
19,20,5e-05,0.0,0.02,0.0002131900560532,0.35,1.0,0.0,0.0,1.0,1.0,20,20,0.05
0,50,5e-05,0.0,0.02,0.0002131900560532,4.12,1.0,0.0,0.0,1.0,1.0,50,50,0.05
1,50,5e-05,0.0,0.02,0.0002131900560532,4.11,1.0,0.0,0.0,1.0,1.0,50,50,0.05
2,50,5e-05,0.0,0.02,0.0002131900560532,4.13,1.0,0.0,0.0,1.0,1.0,50,50,0.05
3,50,5e-05,0.0,0.02,0.0002131900560532,4.1,1.0,0.0,0.0,1.0,1.0,50,50,0.05
4,50,5e-05,0.0,0.02,0.0002131900560532,4.12,1.0,0.0,0.0,1.0,1.0,50,50,0.05
5,50,5e-05,0.0,0.02,0.0002131900560532,4.1,1.0,0.0,0.0,1.0,1.0,50,50,0.05
6,50,5e-05,0.0,0.02,0.0002131900560532,4.12,0.96,0.0204081632653061,0.0,1.0,1.0,49,50,0.05
7,50,5e-05,0.0,0.02,0.0002131900560532,4.1,0.88,0.0434782608695652,0.0,1.0,1.0,46,50,0.05
8,50,5e-05,0.0,0.02,0.0002131900560532,4.11,1.0,0.0,0.0,1.0,1.0,50,50,0.05
9,50,5e-05,0.0,0.02,0.0002131900560532,4.09,1.0,0.0,0.0,1.0,1.0,50,50,0.05
10,50,5e-05,0.0,0.02,0.0002131900560532,4.11,1.0,0.0,0.0,1.0,1.0,50,50,0.05
11,50,5e-05,0.0,0.02,0.0002131900560532,4.11,0.96,0.0204081632653061,0.0,1.0,1.0,49,50,0.05
12,50,5e-05,0.0,0.02,0.0002131900560532,4.09,1.0,0.0,0.0,1.0,1.0,50,50,0.05
13,50,5e-05,0.0,0.02,0.0002131900560532,4.07,1.0,0.0,0.0,1.0,1.0,50,50,0.05
14,50,5e-05,0.0,0.02,0.0002131900560532,4.12,1.0,0.0,0.0,1.0,1.0,50,50,0.05
15,50,5e-05,0.0,0.02,0.0002131900560532,4.09,1.0,0.0,0.0,1.0,1.0,50,50,0.05
16,50,5e-05,0.0,0.02,0.0002131900560532,4.08,1.0,0.0,0.0,1.0,1.0,50,50,0.05
17,50,5e-05,0.0,0.02,0.0002131900560532,4.1,1.0,0.0,0.0,1.0,1.0,50,50,0.05
