n_tracks,event,efficiency,ghost_rate,clone_fraction,mean_purity,hit_efficiency,n_candidates,n_accepted,n_ghosts,n_clones,n_primary,n_reconstructible,n_matched
10,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
10,1,0.0,0.0,0.0,0.0,0.0,,,,,,,
10,2,0.0,0.0,0.0,0.0,0.0,,,,,,,
10,3,0.0,0.0,0.0,0.0,0.0,,,,,,,
10,4,0.0,0.0,0.0,0.0,0.0,,,,,,,
10,5,0.0,0.0,0.0,0.0,0.0,,,,,,,
10,6,0.0,0.0,0.0,0.0,0.0,,,,,,,
10,7,0.0,0.0,0.0,0.0,0.0,,,,,,,
10,8,0.0,0.0,0.0,0.0,0.0,,,,,,,
10,9,0.0,0.0,0.0,0.0,0.0,,,,,,,
30,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
30,1,0.0,0.0,0.0,0.0,0.0,,,,,,,
30,2,0.0,0.0,0.0,0.0,0.0,,,,,,,
30,3,0.0,0.0,0.0,0.0,0.0,,,,,,,
30,4,0.0,0.0,0.0,0.0,0.0,,,,,,,
30,5,0.0,0.0,0.0,0.0,0.0,,,,,,,
30,6,0.0,0.0,0.0,0.0,0.0,,,,,,,
30,7,0.0,0.0,0.0,0.0,0.0,,,,,,,
30,8,0.0,0.0,0.0,0.0,0.0,,,,,,,
30,9,0.0,0.0,0.0,0.0,0.0,,,,,,,
50,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
50,1,0.0,0.0,0.0,0.0,0.0,,,,,,,
50,2,0.0,0.0,0.0,0.0,0.0,,,,,,,
50,3,0.0,0.0,0.0,0.0,0.0,,,,,,,
50,4,0.0,0.0,0.0,0.0,0.0,,,,,,,
50,5,0.0,0.0,0.0,0.0,0.0,,,,,,,
50,6,0.0,0.0,0.0,0.0,0.0,,,,,,,
50,7,0.0,0.0,0.0,0.0,0.0,,,,,,,
50,8,0.0,0.0,0.0,0.0,0.0,,,,,,,
50,9,0.0,0.0,0.0,0.0,0.0,,,,,,,
70,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
70,1,0.0,0.0,0.0,0.0,0.0,,,,,,,
70,2,0.0,0.0,0.0,0.0,0.0,,,,,,,
70,3,0.0,0.0,0.0,0.0,0.0,,,,,,,
70,4,0.0,0.0,0.0,0.0,0.0,,,,,,,
70,5,0.0,0.0,0.0,0.0,0.0,,,,,,,
70,6,0.0,0.0,0.0,0.0,0.0,,,,,,,
70,7,0.0,0.0,0.0,0.0,0.0,,,,,,,
70,8,0.0,0.0,0.0,0.0,0.0,,,,,,,
70,9,0.0,0.0,0.0,0.0,0.0,,,,,,,
90,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
90,1,0.0,0.0,0.0,0.0,0.0,,,,,,,
90,2,0.0,0.0,0.0,0.0,0.0,,,,,,,
90,3,0.0,0.0,0.0,0.0,0.0,,,,,,,
90,4,0.0,0.0,0.0,0.0,0.0,,,,,,,
90,5,0.0,0.0,0.0,0.0,0.0,,,,,,,
90,6,0.0,0.0,0.0,0.0,0.0,,,,,,,
90,7,0.0,0.0,0.0,0.0,0.0,,,,,,,
90,8,0.0,0.0,0.0,0.0,0.0,,,,,,,
90,9,0.0,0.0,0.0,0.0,0.0,,,,,,,
110,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
110,1,0.0,0.0,0.0,0.0,0.0,,,,,,,
110,2,0.0,0.0,0.0,0.0,0.0,,,,,,,
110,3,0.0,0.0,0.0,0.0,0.0,,,,,,,
110,4,0.0,0.0,0.0,0.0,0.0,,,,,,,
110,5,0.0,0.0,0.0,0.0,0.0,,,,,,,
110,6,0.0,0.0,0.0,0.0,0.0,,,,,,,
110,7,0.0,0.0,0.0,0.0,0.0,,,,,,,
110,8,0.0,0.0,0.0,0.0,0.0,,,,,,,
110,9,0.0,0.0,0.0,0.0,0.0,,,,,,,
130,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
130,1,0.0,0.0,0.0,0.0,0.0,,,,,,,
130,2,0.0,0.0,0.0,0.0,0.0,,,,,,,
130,3,0.0,0.0,0.0,0.0,0.0,,,,,,,
130,4,0.0,0.0,0.0,0.0,0.0,,,,,,,
130,5,0.0,0.0,0.0,0.0,0.0,,,,,,,
130,6,0.0,0.0,0.0,0.0,0.0,,,,,,,
130,7,0.0,0.0,0.0,0.0,0.0,,,,,,,
130,8,0.0,0.0,0.0,0.0,0.0,,,,,,,
130,9,0.0,0.0,0.0,0.0,0.0,,,,,,,
150,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
150,1,0.0,0.0,0.0,0.0,0.0,,,,,,,
150,2,0.0,0.0,0.0,0.0,0.0,,,,,,,
150,3,0.0,0.0,0.0,0.0,0.0,,,,,,,
150,4,0.0,0.0,0.0,0.0,0.0,,,,,,,
150,5,0.0,0.0,0.0,0.0,0.0,,,,,,,
150,6,0.0,0.0,0.0,0.0,0.0,,,,,,,
150,7,0.0,0.0,0.0,0.0,0.0,,,,,,,
150,8,0.0,0.0,0.0,0.0,0.0,,,,,,,
150,9,0.0,0.0,0.0,0.0,0.0,,,,,,,
170,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
170,1,0.0,0.0,0.0,0.0,0.0,,,,,,,
170,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0
170,3,0.0,0.0,0.0,0.0,0.0,,,,,,,
170,4,0.0,0.0,0.0,0.0,0.0,,,,,,,
170,5,0.0,0.0,0.0,0.0,0.0,,,,,,,
170,6,0.0,0.0,0.0,0.0,0.0,,,,,,,
170,7,0.0,0.0,0.0,0.0,0.0,,,,,,,
170,8,0.0,0.0,0.0,0.0,0.0,,,,,,,
170,9,0.0,0.0,0.0,0.0,0.0,,,,,,,
190,0,0.0,0.0,0.0,0.0,0.0,,,,,,,
190,1,0.0,0.0,0.0,0.0,0.0,,,,,,,
190,2,0.0,0.0,0.0,0.0,0.0,,,,,,,
190,3,0.0,0.0,0.0,0.0,0.0,,,,,,,
190,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0
190,5,0.0,0.0,0.0,0.0,0.0,,,,,,,
190,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0
190,7,0.0,0.0,0.0,0.0,0.0,,,,,,,
190,8,0.0,0.0,0.0,0.0,0.0,,,,,,,
190,9,0.0,0.0,0.0,0.0,0.0,,,,,,,
