event,n_tracks,sigma_scatt,sigma_res,phi_max,epsilon,wall_time_s,efficiency,ghost_rate,clone_fraction,mean_purity,hit_efficiency,n_candidates,n_reconstructible,sigma_res_um
10,50,0.0001,0.0,0.02,0.0004247940677551,6.61,1.0,0.0,0.0,1.0,1.0,50,50,0.0
11,50,0.0001,0.0,0.02,0.0004247940677551,6.46,0.96,0.0204081632653061,0.0,1.0,1.0,49,50,0.0
12,50,0.0001,0.0,0.02,0.0004247940677551,5.84,0.96,0.0204081632653061,0.0,1.0,1.0,49,50,0.0
13,50,0.0001,0.0,0.02,0.0004247940677551,5.38,1.0,0.0,0.0,1.0,1.0,50,50,0.0
14,50,0.0001,0.0,0.02,0.0004247940677551,4.99,1.0,0.0,0.0,1.0,1.0,50,50,0.0
15,50,0.0001,0.0,0.02,0.0004247940677551,6.19,1.0,0.0,0.0,1.0,1.0,50,50,0.0
16,50,0.0001,0.0,0.02,0.0004247940677551,6.05,1.0,0.0,0.0,1.0,1.0,50,50,0.0
17,50,0.0001,0.0,0.02,0.0004247940677551,6.36,1.0,0.0,0.0,1.0,1.0,50,50,0.0
18,50,0.0001,0.0,0.02,0.0004247940677551,6.56,0.88,0.0638297872340425,0.0,1.0,1.0,47,50,0.0
19,50,0.0001,0.0,0.02,0.0004247940677551,5.98,1.0,0.0,0.0,1.0,1.0,50,50,0.0
0,100,0.0001,0.0,0.02,0.0004247940677551,50.85,1.0,0.0,0.0,1.0,1.0,100,100,0.0
1,100,0.0001,0.0,0.02,0.0004247940677551,51.51,0.98,0.0,0.0,1.0,1.0,98,100,0.0
2,100,0.0001,0.0,0.02,0.0004247940677551,50.34,1.0,0.0,0.0,1.0,1.0,100,100,0.0
3,100,0.0001,0.0,0.02,0.0004247940677551,51.15,0.96,0.0204081632653061,0.0,1.0,1.0,98,100,0.0
4,100,0.0001,0.0,0.02,0.0004247940677551,51.14,1.0,0.0,0.0,1.0,1.0,100,100,0.0
5,100,0.0001,0.0,0.02,0.0004247940677551,52.15,0.74,0.0975609756097561,0.0,1.0,1.0,82,100,0.0
6,100,0.0001,0.0,0.02,0.0004247940677551,51.7,1.0,0.0,0.0,1.0,1.0,100,100,0.0
7,100,0.0001,0.0,0.02,0.0004247940677551,50.57,0.98,0.0101010101010101,0.0,1.0,1.0,99,100,0.0
8,100,0.0001,0.0,0.02,0.0004247940677551,50.58,1.0,0.0,0.0,1.0,1.0,100,100,0.0
9,100,0.0001,0.0,0.02,0.0004247940677551,51.97,1.0,0.0,0.0,1.0,1.0,100,100,0.0
10,100,0.0001,0.0,0.02,0.0004247940677551,51.47,1.0,0.0,0.0,1.0,1.0,100,100,0.0
11,100,0.0001,0.0,0.02,0.0004247940677551,52.05,1.0,0.0,0.0,1.0,0.998,100,100,0.0
12,100,0.0001,0.0,0.02,0.0004247940677551,51.96,0.98,0.0101010101010101,0.0,1.0,1.0,99,100,0.0
13,100,0.0001,0.0,0.02,0.0004247940677551,51.82,1.0,0.0,0.0,1.0,1.0,100,100,0.0
14,100,0.0001,0.0,0.02,0.0004247940677551,52.2,0.96,0.0204081632653061,0.0,1.0,1.0,98,100,0.0
15,100,0.0001,0.0,0.02,0.0004247940677551,51.82,1.0,0.0,0.0,1.0,1.0,100,100,0.0
16,100,0.0001,0.0,0.02,0.0004247940677551,51.85,1.0,0.0,0.0,1.0,1.0,100,100,0.0
17,100,0.0001,0.0,0.02,0.0004247940677551,51.92,1.0,0.0,0.0,1.0,1.0,100,100,0.0
18,100,0.0001,0.0,0.02,0.0004247940677551,51.75,0.98,0.0101010101010101,0.0,1.0,1.0,99,100,0.0
19,100,0.0001,0.0,0.02,0.0004247940677551,51.58,0.98,0.0,0.0,1.0,1.0,98,100,0.0
0,10,0.0001,0.005,0.02,0.0016308858027061,0.06,1.0,0.0,0.0,1.0,1.0,10,10,5.0
1,10,0.0001,0.005,0.02,0.0016308858027061,0.03,1.0,0.0,0.0,1.0,1.0,10,10,5.0
2,10,0.0001,0.005,0.02,0.0016308858027061,0.03,0.8,0.1111111111111111,0.0,1.0,1.0,9,10,5.0
3,10,0.0001,0.005,0.02,0.0016308858027061,0.03,1.0,0.0,0.0,1.0,1.0,10,10,5.0
4,10,0.0001,0.005,0.02,0.0016308858027061,0.03,1.0,0.0,0.0,1.0,1.0,10,10,5.0
5,10,0.0001,0.005,0.02,0.0016308858027061,0.03,1.0,0.0,0.0,1.0,1.0,10,10,5.0
6,10,0.0001,0.005,0.02,0.0016308858027061,0.03,1.0,0.0,0.0,1.0,1.0,10,10,5.0
7,10,0.0001,0.005,0.02,0.0016308858027061,0.03,1.0,0.0,0.0,1.0,1.0,10,10,5.0
