who,n_trk,eff_m,eff_e,fr_m,fr_e,ntm,ntse,nfm,nfse,tam,tase,fam,fase,n_reps
C,2,100.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,60
C,4,100.0,0.0,0.0,0.0,16.0,0.0,48.0,0.0,16.0,0.0,0.0,0.0,60
C,6,100.0,0.0,0.0,0.0,24.0,0.0,120.0,0.0,24.0,0.0,0.0,0.0,60
C,8,100.0,0.0,0.0,0.0,32.0,0.0,224.0,0.0,32.0,0.0,0.0,0.0,60
C,10,100.0,0.0,0.0,0.0,40.0,0.0,360.0,0.0,40.0,0.0,0.0,0.0,60
Q,2,75.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,6.0,0.0,0.0,0.0,60
Q,4,75.41666666666667,0.20296762518643943,0.0,0.0,16.0,0.0,48.0,0.0,12.066666666666666,0.03247482002983031,0.0,0.0,60
Q,6,80.34722222222221,0.6650438306719294,0.0,0.0,24.0,0.0,120.0,0.0,19.283333333333335,0.15961051936126305,0.0,0.0,60
Q,8,87.8125,0.602068732350864,0.0,0.0,32.0,0.0,224.0,0.0,28.1,0.19266199435227646,0.0,0.0,60
Q,10,89.20833333333333,0.5094158151186827,0.09523809523809525,0.09523809523809522,40.0,0.0,360.0,0.0,35.68333333333333,0.20376632604747316,0.03333333333333333,0.03333333333333333,60
