event,n_seg,n_true,eff,pur,far
velo_event_51.json,2503,241,0.8796680497925311,0.9380530973451328,0.061946902654867256
velo_event_235.json,2524,258,0.8372093023255814,0.9863013698630136,0.0136986301369863
velo_event_844.json,2942,271,0.9003690036900369,0.9959183673469387,0.004081632653061225
velo_event_290.json,3138,288,0.8854166666666666,0.9883720930232558,0.011627906976744186
velo_event_682.json,3573,296,0.8581081081081081,0.9769230769230769,0.023076923076923078
velo_event_747.json,3573,294,0.9217687074829932,0.9713261648745519,0.02867383512544803
velo_event_860.json,3460,304,0.8453947368421053,0.9961240310077519,0.003875968992248062
velo_event_166.json,4236,287,0.8222996515679443,0.944,0.056
velo_event_581.json,4143,324,0.8179012345679012,0.9601449275362319,0.03985507246376811
velo_event_857.json,3991,297,0.8013468013468014,0.99581589958159,0.0041841004184100415
velo_event_413.json,4643,334,0.874251497005988,0.9931972789115646,0.006802721088435374
velo_event_962.json,4888,347,0.8760806916426513,0.9838187702265372,0.016181229773462782
velo_event_96.json,6159,373,0.9115281501340483,0.9686609686609686,0.03133903133903134
velo_event_473.json,5504,388,0.9175257731958762,0.9700272479564033,0.02997275204359673
velo_event_866.json,6533,421,0.8741092636579573,0.9658792650918635,0.03412073490813648
velo_event_744.json,6652,426,0.8098591549295775,0.9773371104815864,0.0226628895184136
velo_event_626.json,8645,451,0.9201773835920177,0.9584295612009238,0.04157043879907621
velo_event_703.json,9375,448,0.875,0.9727047146401985,0.02729528535980149
velo_event_989.json,9327,487,0.9117043121149897,0.9801324503311258,0.019867549668874173
velo_event_224.json,11377,534,0.8782771535580525,0.975051975051975,0.02494802494802495
velo_event_752.json,9646,480,0.8604166666666667,0.9694835680751174,0.03051643192488263
velo_event_353.json,10719,504,0.8313492063492064,0.933184855233853,0.066815144766147
velo_event_681.json,11157,576,0.8836805555555556,0.9826254826254827,0.017374517374517374
velo_event_522.json,10527,535,0.9102803738317757,0.9918533604887984,0.008146639511201629
velo_event_753.json,11649,549,0.8743169398907104,0.995850622406639,0.004149377593360996
velo_event_617.json,11092,517,0.9187620889748549,0.9693877551020408,0.030612244897959183
velo_event_225.json,10444,506,0.8517786561264822,0.9685393258426966,0.03146067415730337
velo_event_55.json,11323,549,0.8870673952641166,0.9401544401544402,0.059845559845559844
velo_event_575.json,10615,513,0.8323586744639376,0.9617117117117117,0.038288288288288286
velo_event_582.json,13153,570,0.9175438596491228,0.9613970588235294,0.03860294117647059
velo_event_656.json,11661,557,0.8922800718132855,0.9726027397260274,0.0273972602739726
velo_event_414.json,12074,565,0.8761061946902655,0.9919839679358717,0.008016032064128256
velo_event_81.json,13453,586,0.8924914675767918,0.9757462686567164,0.024253731343283583
velo_event_693.json,13597,600,0.895,0.9388111888111889,0.06118881118881119
velo_event_211.json,13527,588,0.8741496598639455,0.9465930018416207,0.053406998158379376
velo_event_885.json,12854,548,0.833941605839416,0.9849137931034483,0.015086206896551725
velo_event_515.json,15994,627,0.8692185007974481,0.983754512635379,0.016245487364620937
velo_event_45.json,13833,590,0.8508474576271187,0.984313725490196,0.01568627450980392
velo_event_567.json,14641,619,0.8465266558966075,0.9757914338919925,0.024208566108007448
velo_event_603.json,12886,598,0.8612040133779264,0.9698681732580038,0.030131826741996232
velo_event_392.json,13900,600,0.8816666666666667,0.9796296296296296,0.020370370370370372
velo_event_481.json,15261,671,0.834575260804769,0.9459459459459459,0.05405405405405406
velo_event_834.json,14331,609,0.9064039408866995,0.9735449735449735,0.026455026455026454
velo_event_307.json,14005,591,0.8020304568527918,0.977319587628866,0.02268041237113402
velo_event_833.json,14472,606,0.8267326732673267,0.9634615384615385,0.03653846153846154
velo_event_112.json,14251,624,0.8653846153846154,0.9747292418772563,0.02527075812274368
velo_event_826.json,15095,659,0.8725341426403642,0.9599332220367279,0.04006677796327212
velo_event_454.json,15416,655,0.8946564885496183,0.966996699669967,0.033003300330033
velo_event_585.json,15270,626,0.8753993610223643,0.9733570159857904,0.02664298401420959
velo_event_562.json,15103,640,0.85,0.9855072463768116,0.014492753623188406
velo_event_11.json,15706,621,0.8631239935587761,0.9727767695099818,0.02722323049001815
velo_event_808.json,15649,669,0.8056801195814649,0.9390243902439024,0.06097560975609756
velo_event_739.json,17355,687,0.8704512372634643,0.9707792207792207,0.02922077922077922
velo_event_574.json,15808,668,0.8682634730538922,0.9830508474576272,0.01694915254237288
velo_event_389.json,19413,671,0.8688524590163934,0.9357945425361156,0.06420545746388442
velo_event_196.json,15504,648,0.8410493827160493,0.9784560143626571,0.02154398563734291
velo_event_206.json,17087,652,0.8895705521472392,0.9880749574105622,0.01192504258943782
velo_event_315.json,18136,672,0.9047619047619048,0.977491961414791,0.022508038585209004
velo_event_721.json,17956,711,0.8720112517580872,0.9582689335394127,0.04173106646058733
velo_event_658.json,21585,727,0.8844566712517193,0.9654654654654654,0.03453453453453453
velo_event_706.json,16808,678,0.8569321533923304,0.9540229885057471,0.04597701149425287
velo_event_350.json,18395,719,0.8845618915159944,0.9906542056074766,0.009345794392523364
velo_event_751.json,17478,648,0.8117283950617284,0.9598540145985401,0.040145985401459854
velo_event_63.json,18658,658,0.8662613981762918,0.976027397260274,0.023972602739726026
velo_event_521.json,18458,710,0.8577464788732394,0.96513470681458,0.03486529318541997
velo_event_888.json,18938,712,0.8693820224719101,0.9732704402515723,0.026729559748427674
velo_event_423.json,18692,702,0.8846153846153846,0.9841521394611727,0.01584786053882726
velo_event_699.json,19984,681,0.882525697503671,0.9693548387096774,0.03064516129032258
velo_event_223.json,21817,774,0.9082687338501292,0.9750346740638003,0.024965325936199722
velo_event_972.json,18808,729,0.8751714677640604,0.9845679012345679,0.015432098765432098
velo_event_527.json,19332,733,0.859481582537517,0.963302752293578,0.03669724770642202
velo_event_938.json,20347,713,0.8415147265077139,0.9554140127388535,0.044585987261146494
velo_event_374.json,20537,738,0.8075880758807588,0.9818780889621087,0.018121911037891267
velo_event_86.json,19280,722,0.8656509695290858,0.9571209800918836,0.042879019908116385
velo_event_268.json,19680,709,0.846262341325811,0.96,0.04
velo_event_348.json,20086,712,0.8890449438202247,0.9768518518518519,0.023148148148148147
velo_event_83.json,20014,731,0.8768809849521204,0.9816232771822359,0.018376722817764167
