event,n_seg,P_anc,cos_QC,effC,purC,farC,effQ,purQ,farQ
velo_event_51.json,2503,0.017480839217092575,0.9735324356172445,0.8796680497925311,0.9380530973451328,0.061946902654867256,0.7261410788381742,0.9668508287292817,0.03314917127071823
velo_event_235.json,2524,0.016461233944062424,0.9772986284354569,0.8372093023255814,0.9863013698630136,0.0136986301369863,0.6782945736434108,0.9943181818181818,0.005681818181818182
velo_event_844.json,2942,0.018192843380957103,0.9780108075913441,0.9003690036900369,0.9959183673469387,0.004081632653061225,0.7416974169741697,1.0,0.0
velo_event_290.json,3138,0.019585077974870538,0.9819019008002755,0.8854166666666666,0.9883720930232558,0.011627906976744186,0.7465277777777778,0.9907834101382489,0.009216589861751152
velo_event_682.json,3573,0.019662328758342545,0.976515050414876,0.8581081081081081,0.9769230769230769,0.023076923076923078,0.7162162162162162,0.9814814814814815,0.018518518518518517
velo_event_747.json,3573,0.020499708617806194,0.9736680976145754,0.9217687074829932,0.9713261648745519,0.02867383512544803,0.7414965986394558,0.9819819819819819,0.018018018018018018
velo_event_860.json,3460,0.020068591679692722,0.9793723390308008,0.8453947368421053,0.9961240310077519,0.003875968992248062,0.7006578947368421,0.9953271028037384,0.004672897196261682
velo_event_166.json,4236,0.009637558517308582,0.9777240695513486,0.8222996515679443,0.944,0.056,0.6794425087108014,0.9512195121951219,0.04878048780487805
velo_event_581.json,4143,0.010655436169144402,0.9766699983136964,0.8179012345679012,0.9601449275362319,0.03985507246376811,0.6851851851851852,0.9736842105263158,0.02631578947368421
velo_event_857.json,3991,0.01796331035207699,0.9742553349374302,0.8013468013468014,0.99581589958159,0.0041841004184100415,0.632996632996633,0.9947089947089947,0.005291005291005291
velo_event_413.json,4643,0.011079579864120101,0.9783183560658917,0.874251497005988,0.9931972789115646,0.006802721088435374,0.7275449101796407,0.9959016393442623,0.004098360655737705
velo_event_962.json,4888,0.011425487722124912,0.9729447569794134,0.8760806916426513,0.9838187702265372,0.016181229773462782,0.6974063400576369,0.983739837398374,0.016260162601626018
