angle,n_tracks,σ_res,σ_scatt,k,theta_d,ε,Eff,Ghost,score
0.04,10,0.0,0.0004,1,0.001,0.0005660830327787,1.0,0.0,1.0
0.04,10,0.01,5e-05,2,0.01,0.0021043199422362,1.0,0.0,1.0
0.04,10,0.01,0.0001,1,0.01,0.0010594235730799,1.0,0.0,1.0
0.04,10,0.01,0.0004,2,0.01,0.0023849868803188,1.0,0.0,1.0
0.04,10,0.05,5e-05,1,0.001,0.0052491539513659,0.4333333333333333,0.0,0.4333333333333333
0.04,10,0.05,0.0001,1,0.01,0.0052505825586444,0.6,0.3333333333333333,0.4
0.04,10,0.05,0.0004,1,0.01,0.0052790735176866,0.7666666666666666,0.0892857142857142,0.6982142857142858
0.04,50,0.0,5e-05,1,0.0001,7.3824115301167e-05,1.0,0.0,1.0
0.04,50,0.0,0.0001,1,0.001,0.0001430034964607,0.9866666666666668,0.0068027210884353,0.9799546485260774
0.04,50,0.0,0.0004,2,0.001,0.0011315697062046,0.7466666666666667,0.0433152664859982,0.714324601023788
0.04,50,0.01,5e-05,1,0.001,0.0010523204394088,0.7466666666666666,0.0802365390600684,0.6867567175018154
0.04,50,0.01,0.0001,1,0.001,0.0010594235730799,0.8466666666666667,0.0313852813852813,0.8200937950937952
0.04,50,0.01,0.0004,1,0.001,0.0011926350268198,0.5133333333333333,0.1754208754208754,0.42328395061728397
0.04,50,0.05,5e-05,1,0.0001,0.0052491539513659,0.1133333333333333,0.5332244008714597,0.05290123456790122
0.04,50,0.05,0.0001,1,0.001,0.0052505825586444,0.1133333333333333,0.6037037037037037,0.04491358024691356
0.04,50,0.05,0.0004,1,0.0001,0.0052790735176866,0.06,0.5317460317460317,0.028095238095238093
0.04,100,0.0,5e-05,1,0.001,7.3824115301167e-05,1.0,0.0,1.0
0.04,100,0.0,0.0001,1,0.001,0.0001430034964607,1.0,0.0,1.0
0.04,100,0.0,0.0004,1,0.001,0.0005660830327787,0.8966666666666666,0.0358886346300533,0.8644865242817188
0.04,100,0.01,5e-05,1,0.001,0.0010523204394088,0.4866666666666666,0.1245421245421245,0.426056166056166
0.04,100,0.01,0.0001,1,0.001,0.0010594235730799,0.6266666666666666,0.1062169312169312,0.5601040564373897
0.04,100,0.01,0.0004,1,0.001,0.0011926350268198,0.5033333333333333,0.1428890159687383,0.43141252862906837
0.04,100,0.05,5e-05,1,0.0001,0.0052491539513659,0.0166666666666666,0.8333333333333334,0.002777777777777766
0.04,100,0.05,0.0001,1,0.0001,0.0052505825586444,0.0,1.0,0.0
0.04,100,0.05,0.0004,1,0.0001,0.0052790735176866,0.0,1.0,0.0
