n_trk,eff_E1_matched,fr_E1_matched,reps_E1,eff_E2sm_matched,fr_E2sm_matched,reps_E2sm,eff_E2hi_matched,fr_E2hi_matched,reps_E2hi,fr_C_matched,eff_C_matched
50,98.225,1.5521197487712015,20,86.725,1.1537067447907996,20,97.93333333333332,0.8754751107335503,30,0.02551020408163265,97.22500000000001
100,97.98750000000001,4.638742933761052,20,86.22500000000001,3.6295961988002903,20,98.11666666666666,4.414617973728221,30,0.037758168680861945,96.9375
200,97.89999999999999,15.576335287209611,10,86.02499999999999,16.426891727472178,10,97.92500000000001,15.698444894836902,30,0.03786448164388823,96.89999999999999
500,98.00999999999999,54.52617543376183,5,91.64999999999999,54.912562776296234,5,98.02333333333333,53.75262213114546,30,2.4065738469541764,98.00999999999999
1000,97.72500000000001,82.5689181062812,3,92.35000000000001,82.75135440182865,3,97.84166666666665,82.08686286456329,9,21.740793130441595,97.72500000000001
