n_trk,n_false_Q_mean,frac_neg,frac_pos_sub,frac_pos_above,mean_abs_sC_neg,mean_sC_pos_sub,reps
50,3.3043478260869565,0.0,0.5434782608695652,0.45652173913043476,,0.3333314129939446,23
100,15.129032258064516,0.0,0.4153528983749697,0.5846471016250303,,0.3333288545791919,31
200,7891.7,0.042647289319749135,0.3483984200119242,0.6089542906683267,376890115513626.9,0.31251551264631416,40
1000,15064.392857142857,0.0006360422885491492,0.4087961765901447,0.5905677811213061,9.056143586225751,0.26579651341404154,28
