n_trk,n_tact_C,n_tact_Q,n_fact_C,n_fact_Q,fr_C,fr_Q,reps
50,194.45,196.45,0.05,3.15,0.025510204081632654,1.5521197487712015,20
100,387.75,391.95,0.15,19.15,0.037758168680861945,4.638742933761053,20
200,775.2,783.2,0.3,144.7,0.037864481643888226,15.576335287209611,10
500,1960.2,1960.2,48.4,2352.4,2.406573846954177,54.52617543376182,5
1000,3909.0,3909.0,1086.0,18520.666666666668,21.7407931304416,82.5689181062812,3
