n_trk,n_events,eff,eff_sem,ghost,ghost_sem,clone,t_ms
10,20,0.99,0.010000000000000004,0.005555555555555555,0.005555555555555556,0.0,9.037530422210693
20,20,0.9974999999999999,0.002500000000000002,0.0,0.0,0.0,7.6691389083862305
50,20,0.9890000000000001,0.0044662476891740655,0.0020620748299319726,0.0014193010265957534,0.0,13.021707534790039
100,20,0.9754999999999999,0.004945758416642447,0.004677206408879342,0.0015967817274178493,0.0,21.27554416656494
200,20,0.9502499999999999,0.005262516408275453,0.00816193354195641,0.0017498475724141889,0.0,37.354207038879395
400,20,0.9012499999999999,0.006444346767761473,0.018435566839755252,0.003421847055185384,0.0,69.23278570175171
700,20,0.8150000000000001,0.00990800867356316,0.03791423613534266,0.005756909040699393,0.0,110.24913787841797
1000,20,0.77175,0.01179783097817026,0.036978054920688015,0.007838296066085215,0.0,150.00224113464355
