T,rep,beta,alpha,epsilon,n_seg,tau,A0_nnz,Bfork_nnz,Ball_nnz,A_nnz,lam_min,lam_max,eff_C,far_C,auc_C,max_abs_x,t_classical,eff_Q,far_Q,eff_Qwp,far_Qwp,auc_Q,cos_QC,P_anc
50,0,0.0,0.0,0.0031777035588293387,9900,0.35,10198,0,0,10198,2.3819660112501033,5.618033988749894,1.0,0.0,1.0,0.4545454545454546,0.002518892288208008,0.7474747474747475,0.0,1.0,0.01,0.9999479436708874,0.22174059702745177,0.0034733958073707902
50,0,0.5,0.0,0.0031777035588293387,9900,0.35,10198,0,0,10198,2.3819660112501,5.618033988749894,1.0,0.0,1.0,0.4545454545454546,0.0015208721160888672,0.7474747474747475,0.0,1.0,0.01,0.9999479436708874,0.22174059702745177,0.0034733958073707902
50,0,1.0,0.0,0.0031777035588293387,9900,0.35,10198,0,0,10198,2.3819660112501015,5.618033988749895,1.0,0.0,1.0,0.4545454545454546,0.0012929439544677734,0.7474747474747475,0.0,1.0,0.01,0.9999479436708874,0.22174059702745177,0.0034733958073707902
50,0,2.0,0.0,0.0031777035588293387,9900,0.35,10198,0,0,10198,2.3819660112501024,5.6180339887498985,1.0,0.0,1.0,0.4545454545454546,0.0026912689208984375,0.7474747474747475,0.0,1.0,0.01,0.9999479436708874,0.22174059702745177,0.0034733958073707902
50,0,0.0,0.1,0.0031777035588293387,9900,0.4181818181818181,10198,0,965300,975498,2.412898407300479,24.02409384750376,0.0,0.0,1.0,0.10492521749206542,0.04088568687438965,0.0,0.0,1.0,0.98,0.49977407553165126,0.0,0.30261817246273937
50,0,0.0,0.3,0.0031777035588293387,9900,0.5230769230769231,10198,0,965300,975498,2.4145770517561167,64.02133221450802,0.0,0.0,1.0,0.06174741362779893,0.04897570610046387,0.0,0.0,1.0,0.98,0.49977407553165126,0.0,0.3028877152663507
50,0,0.0,1.0,0.0031777035588293387,9900,0.725,10198,0,965300,975498,2.4152086889587805,204.0203964663515,0.0,0.0,1.0,0.04400212930848286,0.05677938461303711,0.0,0.0,1.0,0.98,0.49977407553165126,0.0,0.302691536995104
50,0,1.0,0.3,0.0031777035588293387,9900,0.5230769230769231,10198,0,965300,975498,2.4145770517561136,64.02133221450806,0.0,0.0,1.0,0.06174741362779893,0.04689621925354004,0.0,0.0,1.0,0.98,0.49977407553165126,0.0,0.3028877152663507
50,1,0.0,0.0,0.0031777035588293387,9900,0.35,10200,0,0,10200,2.3819660112501038,5.618033988749896,0.98989898989899,0.0,0.9999979177468354,0.45454545454545464,0.0008909702301025391,0.7424242424242424,0.0,1.0,0.019801980198019802,0.9998958873417748,0.22249548734794425,0.0034823341990582123
50,1,0.5,0.0,0.0031777035588293387,9900,0.35,10200,0,0,10200,2.3819660112501047,5.6180339887498985,0.98989898989899,0.0,0.9999979177468354,0.45454545454545464,0.00087738037109375,0.7424242424242424,0.0,1.0,0.019801980198019802,0.9998958873417748,0.22249548734794425,0.0034823341990582123
50,1,1.0,0.0,0.0031777035588293387,9900,0.35,10200,0,0,10200,2.381966011250104,5.618033988749897,0.98989898989899,0.0,0.9999979177468354,0.45454545454545464,0.0008451938629150391,0.7424242424242424,0.0,1.0,0.019801980198019802,0.9998958873417748,0.22249548734794425,0.0034823341990582123
50,1,2.0,0.0,0.0031777035588293387,9900,0.35,10200,0,0,10200,2.3819660112501033,5.618033988749896,0.98989898989899,0.0,0.9999979177468354,0.45454545454545464,0.0008294582366943359,0.7424242424242424,0.0,1.0,0.019801980198019802,0.9998958873417748,0.22249548734794425,0.0034823341990582123
50,1,0.0,0.1,0.0031777035588293387,9900,0.4181818181818181,10200,0,965300,975500,2.412444401756283,24.022727474640476,0.0,0.0,1.0,0.105449907217973,0.04193544387817383,0.0,0.0,1.0,0.98,0.49949245079115207,0.0,0.3026568529777694
50,1,0.0,0.3,0.0031777035588293387,9900,0.5230769230769231,10200,0,965300,975500,2.4140626787755735,64.0208651792269,0.0,0.0,1.0,0.06209607353401964,0.04656720161437988,0.0,0.0,1.0,0.98,0.49949245079115207,0.0,0.3028836464974932
50,1,0.0,1.0,0.0031777035588293387,9900,0.725,10200,0,965300,975500,2.414670512061946,204.02025571818814,0.0,0.0,1.0,0.04426239456675667,0.0476987361907959,0.0,0.0,1.0,0.98,0.49949245079115207,0.0,0.30272862875576
50,1,1.0,0.3,0.0031777035588293387,9900,0.5230769230769231,10200,0,965300,975500,2.414062678775562,64.02086517922693,0.0,0.0,1.0,0.06209607353401964,0.04913687705993652,0.0,0.0,1.0,0.98,0.49949245079115207,0.0,0.3028836464974932
50,2,0.0,0.0,0.0031777035588293387,9800,0.35,10092,0,0,10092,2.381966011250104,5.6180339887498985,0.9795918367346939,0.0,1.0,0.4545454545454551,0.0037305355072021484,0.7346938775510204,0.0,1.0,0.0,1.0,0.22065867748434626,0.003394483867745946
50,2,0.5,0.0,0.0031777035588293387,9800,0.35,10092,0,0,10092,2.3819660112501047,5.618033988749895,0.9795918367346939,0.0,1.0,0.4545454545454551,0.0008616447448730469,0.7346938775510204,0.0,1.0,0.0,1.0,0.22065867748434626,0.003394483867745946
50,2,1.0,0.0,0.0031777035588293387,9800,0.35,10092,0,0,10092,2.381966011250104,5.618033988749898,0.9795918367346939,0.0,1.0,0.4545454545454551,0.0008451938629150391,0.7346938775510204,0.0,1.0,0.0,1.0,0.22065867748434626,0.003394483867745946
