T,config,n_seg,A_nnz,fill,pairs,pairs_vs_base,sparse_invariant,Bfork_nnz,Ball_nnz,n_qubits,cx,total_ops,t_transpile,cx_per_pair
10,base,400,462,1.155,31,1.0,True,0,0,11.0,7763.0,22509.0,0.24335718154907227,250.41935483870967
10,fork,400,462,1.155,31,1.0,True,0,0,11.0,7763.0,22509.0,0.11356997489929199,250.41935483870967
10,occ,400,7662,19.155,3631,117.12903225806451,False,0,7200,11.0,901921.0,2610927.0,15.992006301879883,248.3946571192509
10,both,400,7662,19.155,3631,117.12903225806451,False,0,7200,11.0,901921.0,2610927.0,15.30826187133789,248.3946571192509
20,base,1540,1656,1.0753246753246752,58,1.0,True,0,0,13.0,18517.0,53673.0,0.2552621364593506,319.2586206896552
20,fork,1540,1656,1.0753246753246752,58,1.0,True,0,0,13.0,18517.0,53673.0,0.24614238739013672,319.2586206896552
20,occ,1540,59036,38.335064935064935,28748,495.6551724137931,False,0,57380,,,,,
20,both,1540,59036,38.335064935064935,28748,495.6551724137931,False,0,57380,,,,,
50,base,9900,10198,1.0301010101010102,149,1.0,True,0,0,,,,,
50,fork,9900,10198,1.0301010101010102,149,1.0,True,0,0,,,,,
50,occ,9900,975498,98.53515151515151,482799,3240.261744966443,False,0,965300,,,,,
50,both,9900,975498,98.53515151515151,482799,3240.261744966443,False,0,965300,,,,,
100,base,39800,40440,1.0160804020100502,320,1.0,True,0,0,,,,,
100,fork,39800,40440,1.0160804020100502,320,1.0,True,0,0,,,,,
100,occ,39800,7901040,198.5185929648241,3930620,12283.1875,False,0,7860600,,,,,
100,both,39800,7901040,198.5185929648241,3930620,12283.1875,False,0,7860600,,,,,
200,base,157012,158542,1.00974447812906,765,1.0,True,0,0,,,,,
200,fork,157012,162638,1.0358316561791456,2813,3.6771241830065358,True,4096,0,,,,,
200,occ,157012,62060672,395.26069345018215,30951830,40459.90849673202,False,0,61902130,,,,,
200,both,157012,62060672,395.26069345018215,30951830,40459.90849673202,False,4096,61902130,,,,,
