noise,T,n_seg,beta,alpha,epsilon,A0_nnz,Bfork_nnz,Ball_nnz,A_nnz,lam_min,lam_max,width,s_prime_g3,gamma_pd,gamma_win,gamma_star,ok_at_g3,f_lo_g3,f_hi_g3,f_lo_star,f_hi_star,contrast_g3,contrast_star,t_wall
moderate,50,9900,0.0,0.0,0.0031777035588293387,10198,0,0,10198,2.3819660112501047,5.618033988749897,3.236067977499792,4.0,0.6180339887498953,0.6180339887498967,0.6180339887498967,True,0.5934998670343254,0.5934998670343258,0.5934998670343254,0.5934998670343258,-3.3306690738754696e-16,-3.3306690738754696e-16,0.009418725967407227
moderate,50,9900,0.5,0.0,0.0031777035588293387,10198,0,0,10198,2.381966011250104,5.618033988749897,3.2360679774997925,4.0,0.6180339887498958,0.6180339887498967,0.6180339887498967,True,0.5934998670343256,0.5934998670343258,0.5934998670343256,0.5934998670343258,-2.220446049250313e-16,-2.220446049250313e-16,0.04961514472961426
moderate,50,9900,1.0,0.0,0.0031777035588293387,10198,0,0,10198,2.3819660112501038,5.618033988749896,3.236067977499792,4.0,0.6180339887498962,0.6180339887498958,0.6180339887498962,True,0.5934998670343258,0.5934998670343254,0.5934998670343258,0.5934998670343254,3.3306690738754696e-16,3.3306690738754696e-16,0.04931330680847168
moderate,50,9900,2.0,0.0,0.0031777035588293387,10198,0,0,10198,2.381966011250105,5.618033988749894,3.236067977499789,4.0,0.6180339887498949,0.618033988749894,0.6180339887498949,True,0.5934998670343252,0.5934998670343251,0.5934998670343252,0.5934998670343251,1.1102230246251565e-16,1.1102230246251565e-16,0.049506187438964844
moderate,50,9900,4.0,0.0,0.0031777035588293387,10198,0,0,10198,2.3819660112501047,5.618033988749895,3.2360679774997902,4.0,0.6180339887498953,0.6180339887498949,0.6180339887498953,True,0.5934998670343254,0.5934998670343251,0.5934998670343254,0.5934998670343251,3.3306690738754696e-16,3.3306690738754696e-16,0.04949450492858887
moderate,50,9900,0.0,0.03,0.0031777035588293387,10198,0,965300,975498,2.4081788520545717,10.035237843803202,7.62705899174863,4.12,0.5918211479454283,4.795237843803202,4.795237843803202,False,0.6072947433140499,0.7747639827368573,0.43908098836614545,1.0,-0.16746923942280745,-0.5609190116338545,0.3573417663574219
moderate,50,9900,0.0,0.1,0.0031777035588293387,10198,0,965300,975498,2.412898407301229,24.02409384750374,21.61119544020251,4.4,0.587101592698771,18.224093847503738,18.224093847503738,False,0.6513737879387581,0.661336996284077,0.15838629443139288,1.0,-0.009963208345318941,-0.8416137055686072,0.3163738250732422
moderate,50,9900,0.0,0.3,0.0031777035588293387,10198,0,965300,975498,2.4145770517561083,64.021332214508,61.606755162751895,5.2,0.5854229482438917,56.62133221450801,56.62133221450801,False,0.7455835194182546,0.8824430073133841,0.07431485107656227,1.0,-0.13685948789512947,-0.9256851489234377,0.3923327922821045
moderate,50,9900,0.0,1.0,0.0031777035588293387,10198,0,965300,975498,2.4152086889587845,204.02039646635157,201.60518777739279,8.0,0.5847913110412155,191.02039646635157,191.02039646635157,False,0.8896468383301106,0.7099329503422046,0.0447384137240512,1.0,0.179713887987906,-0.9552615862759488,0.3913543224334717
moderate,50,9900,1.0,0.3,0.0031777035588293387,10198,0,965300,975498,2.4145770517561282,64.02133221450802,61.606755162751895,5.2,0.5854229482438718,56.62133221450802,56.62133221450802,False,0.7455835194182506,0.8824430073133808,0.07431485107656183,1.0,-0.13685948789513014,-0.9256851489234381,0.39142727851867676
moderate,100,39800,0.0,0.0,0.0031777035588293387,40440,0,0,40440,2.3819660112501047,5.618033988749897,3.236067977499792,4.0,0.6180339887498953,0.6180339887498967,0.6180339887498967,True,0.5934998670343254,0.5934998670343258,0.5934998670343254,0.5934998670343258,-3.3306690738754696e-16,-3.3306690738754696e-16,0.037812232971191406
moderate,100,39800,0.5,0.0,0.0031777035588293387,40440,0,0,40440,2.3819660112501047,5.618033988749895,3.2360679774997902,4.0,0.6180339887498953,0.6180339887498949,0.6180339887498953,True,0.5934998670343254,0.5934998670343251,0.5934998670343254,0.5934998670343251,3.3306690738754696e-16,3.3306690738754696e-16,0.16249847412109375
moderate,100,39800,1.0,0.0,0.0031777035588293387,40440,0,0,40440,2.381966011250104,5.618033988749897,3.2360679774997925,4.0,0.6180339887498958,0.6180339887498967,0.6180339887498967,True,0.5934998670343256,0.5934998670343258,0.5934998670343256,0.5934998670343258,-2.220446049250313e-16,-2.220446049250313e-16,0.1753079891204834
moderate,100,39800,2.0,0.0,0.0031777035588293387,40440,0,0,40440,2.3819660112501047,5.618033988749896,3.236067977499791,4.0,0.6180339887498953,0.6180339887498958,0.6180339887498958,True,0.5934998670343254,0.5934998670343254,0.5934998670343254,0.5934998670343254,0.0,0.0,0.16462993621826172
moderate,100,39800,4.0,0.0,0.0031777035588293387,40440,0,0,40440,2.381966011250104,5.618033988749895,3.2360679774997907,4.0,0.6180339887498958,0.6180339887498949,0.6180339887498958,True,0.5934998670343256,0.5934998670343251,0.5934998670343256,0.5934998670343251,4.440892098500626e-16,4.440892098500626e-16,0.16552495956420898
moderate,100,39800,0.0,0.03,0.0031777035588293387,40440,0,7860600,7901040,2.3963322838809513,16.012801559802483,13.616469275921531,4.12,0.6036677161190487,10.772801559802483,10.772801559802483,False,0.6108768994541747,0.9841777041065932,0.22569980930267688,1.0,-0.37330080465241855,-0.7743001906973231,2.9104983806610107
moderate,100,39800,0.0,0.1,0.0031777035588293387,40440,0,7860600,7901040,2.397641678169015,44.010978597161994,41.61333691899298,4.4,0.6023583218309851,38.210978597162,38.210978597162,False,0.6554967816476152,0.9999923193575359,0.07932126427572851,1.0,-0.3444955377099207,-0.9206787357242715,3.1597986221313477
moderate,100,39800,0.0,0.3,0.0031777035588293387,40440,0,7860600,7901040,2.398060879087698,124.0105211834166,121.6124603043289,5.2,0.6019391209123022,116.6105211834166,116.6105211834166,False,0.748899051994702,0.9716975053043394,0.03703602225761449,1.0,-0.22279845330963743,-0.9629639777423855,3.4826276302337646
moderate,100,39800,0.0,1.0,0.0031777035588293387,40440,0,7860600,7901040,2.3982129620504544,404.0103658859073,401.6121529238568,8.0,0.6017870379495456,391.0103658859073,391.0103658859073,False,0.8911657673741257,0.705666117000568,0.022217959977023305,1.0,0.18549965037355765,-0.9777820400229766,3.890120267868042
moderate,100,39800,1.0,0.3,0.0031777035588293387,40440,0,7860600,7901040,2.3980608790876463,124.01052118341659,121.61246030432893,5.2,0.6019391209123537,116.61052118341658,116.61052118341658,False,0.7488990519947123,0.9716975053043394,0.03703602225761493,1.0,-0.2227984533096271,-0.9629639777423851,3.935140609741211
moderate,200,157012,0.0,0.0,0.0031777035588293387,158542,0,0,158542,1.9999999999999996,6.0,4.0,4.0,1.0000000000000004,1.0,1.0000000000000004,True,0.7071067811865477,0.7071067811865475,0.7071067811865477,0.7071067811865475,2.220446049250313e-16,2.220446049250313e-16,0.21570825576782227
moderate,200,157012,0.5,0.0,0.0031777035588293387,158542,4096,0,162638,2.0663217121777726,6.421836884983887,4.355515172806115,4.0,0.9336782878222274,1.421836884983887,1.421836884983887,True,0.6884528309917178,0.8140276361471971,0.6884528309917178,0.8140276361471971,-0.12557480515547925,-0.12557480515547925,1.0184381008148193
moderate,200,157012,1.0,0.0,0.0031777035588293387,158542,4096,0,162638,1.9999999999999996,7.02663839463813,5.02663839463813,4.0,1.0000000000000004,2.0266383946381303,2.0266383946381303,True,0.7071067811865477,0.9278321127823115,0.7071067811865477,0.9278321127823115,-0.2207253315957638,-0.2207253315957638,0.9906084537506104
moderate,200,157012,2.0,0.0,0.0031777035588293387,158542,4096,0,162638,-2.6201338992737655e-15,8.614265676707152,8.614265676707154,4.0,3.0000000000000027,3.614265676707152,3.614265676707152,False,1.0,0.9710468804735335,0.9782161838443798,1.0,0.02895311952646651,-0.021783816155620195,2.122232675552368
