T,rep,config,beta,alpha,n_seg,auc,eff_att,far_att,far_eff99,far_eff95,eff_youden,far_youden,peaks_true,peaks_false,peaks_all
100,0,base,0.0,0.0,39800,0.9999961101890346,0.9949748743718593,0.0,0.0,0.0,1.0,0.08083140877598152,,,
100,0,fork b=0.5,0.5,0.0,39800,0.9999961101890346,0.9949748743718593,0.0,0.0,0.0,1.0,0.08083140877598152,,,
100,0,fork b=1,1.0,0.0,39800,0.9999961101890346,0.9949748743718593,0.0,0.0,0.0,1.0,0.08083140877598152,,,
100,0,occ a=0.1,0.0,0.1,39800,0.9999998724652143,0.0,0.0,0.0,0.0,1.0,0.002506265664160401,,,
100,0,occ a=0.3,0.0,0.3,39800,0.9999999362326071,0.0,0.0,0.0,0.0,1.0,0.002506265664160401,,,
100,0,both,1.0,0.3,39800,0.9999999362326071,0.0,0.0,0.0,0.0,1.0,0.002506265664160401,,,
100,1,base,0.0,0.0,39800,0.9999745568102428,1.0,0.005,0.005037783375314861,0.005249343832020997,1.0,0.005,,,
100,1,fork b=0.5,0.5,0.0,39800,0.9999998086978213,0.9949748743718593,0.0,0.0,0.0,1.0,0.005,,,
100,1,fork b=1,1.0,0.0,39800,0.9999948986085699,0.9949748743718593,0.0,0.0,0.0,1.0,0.091324200913242,,,
100,1,occ a=0.1,0.0,0.1,39800,0.9999747481124214,0.0,0.0,0.005037783375314861,0.005249343832020997,1.0,0.005,,,
100,1,occ a=0.3,0.0,0.3,39800,0.9999746843450286,0.0,0.0,0.005037783375314861,0.005249343832020997,1.0,0.005,,,
100,1,both,1.0,0.3,39800,0.9999747481124214,0.0,0.0,0.005037783375314861,0.005249343832020997,1.0,0.005,,,
100,2,base,0.0,0.0,38808,0.999918293199955,0.979381443298969,0.020618556701030927,0.07894736842105263,0.013368983957219251,1.0,0.1141552511415525,,,
