noise,T,rep,config,beta,alpha,n_seg,epsilon,valid,tau_att,p_anc,emu_cos_dense,solver,cls,n,frac_wp,frac_e1,med,q99,mx,auc,tau_wp,eff_wp,far_wp,pur_wp,tau_e1,far_e1,gap
moderate,50,1,fork,1.0,0.0,9900,0.0031777035588293387,True,0.35,0.004081502770433568,,1bqf_emu,cohit-true,9702,0.00041228612657184083,0.00041228612657184083,4.783776559169349e-19,4.783776559169349e-19,0.0029897143153522644,0.9999984383101266,0.0029897133153522644,,,,0.0029897143143522644,,
moderate,50,1,fork,1.0,0.0,9900,0.0031777035588293387,True,0.35,0.004081502770433568,,1bqf_emu,TRUE-coupled,198,1.0,1.0,0.0030500140997596114,0.005638985101417881,0.005638985101417881,,0.0029897133153522644,,,,0.0029897143143522644,,
moderate,50,1,occ,0.0,0.3,9900,0.0031777035588293387,True,0.5230769230769231,,,classical,ALL,9900,0.0198989898989899,0.02,0.03414451438991212,0.0499276732316273,0.06209607353401964,,0.045857868233542445,0.9949494949494949,0.0,1.0,0.04568868953518889,0.0,0.0007358028732350058
moderate,50,1,occ,0.0,0.3,9900,0.0031777035588293387,True,0.5230769230769231,,,classical,cohit-true,9702,0.0,0.0,0.03408535177904216,0.034676081838108,0.044952886662953884,1.0,0.045857868233542445,,,,0.04568868953518889,,
moderate,50,1,occ,0.0,0.3,9900,0.0031777035588293387,True,0.5230769230769231,,,classical,TRUE-coupled,198,0.9949494949494949,1.0,0.049927673231627306,0.062096073534019545,0.06209607353401964,,0.045857868233542445,,,,0.04568868953518889,,
moderate,50,1,occ,0.0,0.3,9900,0.0031777035588293387,True,0.5230769230769231,0.5155934584339722,,1bqf_emu,ALL,9900,1.0,1.0,0.006955157123027134,0.007496205921633853,0.007496348879925641,,0.006894326747431149,1.0,0.98,0.02,0.006894327746413248,0.98,-0.0006020211325123929
moderate,50,1,occ,0.0,0.3,9900,0.0031777035588293387,True,0.5230769230769231,0.5155934584339722,,1bqf_emu,cohit-true,9702,1.0,1.0,0.006955157123027406,0.007496205921634017,0.007496348879925641,0.2500775639303778,0.006894326747431149,,,,0.006894327746413248,,
moderate,50,1,occ,0.0,0.3,9900,0.0031777035588293387,True,0.5230769230769231,0.5155934584339722,,1bqf_emu,TRUE-coupled,198,1.0,1.0,0.006931872254703892,0.007449408329640534,0.007449408329644401,,0.006894326747431149,,,,0.006894327746413248,,
moderate,50,1,both,1.0,0.3,9900,0.0031777035588293387,True,0.5230769230769231,,,classical,ALL,9900,0.0198989898989899,0.02,0.03414451438991212,0.0499276732316273,0.06209607353401964,,0.045857868233542445,0.9949494949494949,0.0,1.0,0.04568868953518889,0.0,0.0007358028732350058
moderate,50,1,both,1.0,0.3,9900,0.0031777035588293387,True,0.5230769230769231,,,classical,cohit-true,9702,0.0,0.0,0.03408535177904216,0.034676081838108,0.044952886662953884,1.0,0.045857868233542445,,,,0.04568868953518889,,
moderate,50,1,both,1.0,0.3,9900,0.0031777035588293387,True,0.5230769230769231,,,classical,TRUE-coupled,198,0.9949494949494949,1.0,0.049927673231627306,0.062096073534019545,0.06209607353401964,,0.045857868233542445,,,,0.04568868953518889,,
moderate,50,1,both,1.0,0.3,9900,0.0031777035588293387,True,0.5230769230769231,0.5155934584339722,,1bqf_emu,ALL,9900,1.0,1.0,0.006955157123027134,0.007496205921633853,0.007496348879925641,,0.006894326747431149,1.0,0.98,0.02,0.006894327746413248,0.98,-0.0006020211325123929
moderate,50,1,both,1.0,0.3,9900,0.0031777035588293387,True,0.5230769230769231,0.5155934584339722,,1bqf_emu,cohit-true,9702,1.0,1.0,0.006955157123027406,0.007496205921634017,0.007496348879925641,0.2500775639303778,0.006894326747431149,,,,0.006894327746413248,,
moderate,50,1,both,1.0,0.3,9900,0.0031777035588293387,True,0.5230769230769231,0.5155934584339722,,1bqf_emu,TRUE-coupled,198,1.0,1.0,0.006931872254703892,0.007449408329640534,0.007449408329644401,,0.006894326747431149,,,,0.006894327746413248,,
moderate,50,2,base,0.0,0.0,9800,0.0031777035588293387,True,0.35,,,classical,ALL,9800,0.02,0.02,0.24999999999999992,0.3636363636363641,0.4545454545454551,,0.33333333233333334,1.0,0.0,1.0,0.3333333333323334,0.0,0.08333333333333345
moderate,50,2,base,0.0,0.0,9800,0.0031777035588293387,True,0.35,,,classical,cohit-true,9604,0.0,0.0,0.24999999999999992,0.24999999999999992,0.24999999999999992,1.0,0.33333333233333334,,,,0.3333333333323334,,
moderate,50,2,base,0.0,0.0,9800,0.0031777035588293387,True,0.35,,,classical,TRUE-coupled,196,1.0,1.0,0.3636363636363641,0.4545454545454551,0.4545454545454551,,0.33333333233333334,,,,0.3333333333323334,,
moderate,50,2,base,0.0,0.0,9800,0.0031777035588293387,True,0.35,0.003981424509093234,,1bqf_emu,ALL,9800,0.02,0.02,4.783776559169349e-19,0.0030500140997596114,0.005638985101417881,,0.0029897133153522644,1.0,0.0,1.0,0.0029897143143522644,0.0,0.002989714315352264
moderate,50,2,base,0.0,0.0,9800,0.0031777035588293387,True,0.35,0.003981424509093234,,1bqf_emu,cohit-true,9604,0.0,0.0,4.783776559169349e-19,4.783776559169349e-19,4.783776559169349e-19,1.0,0.0029897133153522644,,,,0.0029897143143522644,,
moderate,50,2,base,0.0,0.0,9800,0.0031777035588293387,True,0.35,0.003981424509093234,,1bqf_emu,TRUE-coupled,196,1.0,1.0,0.0030500140997596114,0.005638985101417881,0.005638985101417881,,0.0029897133153522644,,,,0.0029897143143522644,,
moderate,50,2,fork,1.0,0.0,9800,0.0031777035588293387,True,0.35,,,classical,ALL,9800,0.02,0.02,0.24999999999999992,0.3636363636363641,0.4545454545454551,,0.33333333233333334,1.0,0.0,1.0,0.3333333333323334,0.0,0.08333333333333345
moderate,50,2,fork,1.0,0.0,9800,0.0031777035588293387,True,0.35,,,classical,cohit-true,9604,0.0,0.0,0.24999999999999992,0.24999999999999992,0.24999999999999992,1.0,0.33333333233333334,,,,0.3333333333323334,,
moderate,50,2,fork,1.0,0.0,9800,0.0031777035588293387,True,0.35,,,classical,TRUE-coupled,196,1.0,1.0,0.3636363636363641,0.4545454545454551,0.4545454545454551,,0.33333333233333334,,,,0.3333333333323334,,
moderate,50,2,fork,1.0,0.0,9800,0.0031777035588293387,True,0.35,0.003981424509093234,,1bqf_emu,ALL,9800,0.02,0.02,4.783776559169349e-19,0.0030500140997596114,0.005638985101417881,,0.0029897133153522644,1.0,0.0,1.0,0.0029897143143522644,0.0,0.002989714315352264
moderate,50,2,fork,1.0,0.0,9800,0.0031777035588293387,True,0.35,0.003981424509093234,,1bqf_emu,cohit-true,9604,0.0,0.0,4.783776559169349e-19,4.783776559169349e-19,4.783776559169349e-19,1.0,0.0029897133153522644,,,,0.0029897143143522644,,
moderate,50,2,fork,1.0,0.0,9800,0.0031777035588293387,True,0.35,0.003981424509093234,,1bqf_emu,TRUE-coupled,196,1.0,1.0,0.0030500140997596114,0.005638985101417881,0.005638985101417881,,0.0029897133153522644,,,,0.0029897143143522644,,
moderate,50,2,occ,0.0,0.3,9800,0.0031777035588293387,True,0.5230769230769231,,,classical,ALL,9800,0.02,0.02,0.03440202709106736,0.04995105525759632,0.06219611247703865,,0.046112594567822,1.0,0.0,1.0,0.04611259556682175,0.0,0.011158291166533822
moderate,50,2,occ,0.0,0.3,9800,0.0031777035588293387,True,0.5230769230769231,,,classical,cohit-true,9604,0.0,0.0,0.03440202709106736,0.03468135090711013,0.034954304401287925,1.0,0.046112594567822,,,,0.04611259556682175,,
moderate,50,2,occ,0.0,0.3,9800,0.0031777035588293387,True,0.5230769230769231,,,classical,TRUE-coupled,196,1.0,1.0,0.04995105525759633,0.062196112477038636,0.06219611247703865,,0.046112594567822,,,,0.04611259556682175,,
moderate,50,2,occ,0.0,0.3,9800,0.0031777035588293387,True,0.5230769230769231,0.548135615990049,,1bqf_emu,ALL,9800,1.0,1.0,0.007473047400596662,0.0074878771956392145,0.0074894139745271026,,0.007406717714117421,1.0,0.98,0.02,0.007406718713114339,0.98,-8.269526041276322e-05
moderate,50,2,occ,0.0,0.3,9800,0.0031777035588293387,True,0.5230769230769231,0.548135615990049,,1bqf_emu,cohit-true,9604,1.0,1.0,0.007480419610422444,0.007488723375832065,0.0074894139745271026,0.0,0.007406717714117421,,,,0.007406718713114339,,
moderate,50,2,occ,0.0,0.3,9800,0.0031777035588293387,True,0.5230769230769231,0.548135615990049,,1bqf_emu,TRUE-coupled,196,1.0,1.0,0.007422559635272534,0.007450145388372112,0.007450145388373338,,0.007406717714117421,,,,0.007406718713114339,,
moderate,50,2,both,1.0,0.3,9800,0.0031777035588293387,True,0.5230769230769231,,,classical,ALL,9800,0.02,0.02,0.03440202709106736,0.04995105525759632,0.06219611247703865,,0.046112594567822,1.0,0.0,1.0,0.04611259556682175,0.0,0.011158291166533822
moderate,50,2,both,1.0,0.3,9800,0.0031777035588293387,True,0.5230769230769231,,,classical,cohit-true,9604,0.0,0.0,0.03440202709106736,0.03468135090711013,0.034954304401287925,1.0,0.046112594567822,,,,0.04611259556682175,,
moderate,50,2,both,1.0,0.3,9800,0.0031777035588293387,True,0.5230769230769231,,,classical,TRUE-coupled,196,1.0,1.0,0.04995105525759633,0.062196112477038636,0.06219611247703865,,0.046112594567822,,,,0.04611259556682175,,
moderate,50,2,both,1.0,0.3,9800,0.0031777035588293387,True,0.5230769230769231,0.548135615990049,,1bqf_emu,ALL,9800,1.0,1.0,0.007473047400596662,0.0074878771956392145,0.0074894139745271026,,0.007406717714117421,1.0,0.98,0.02,0.007406718713114339,0.98,-8.269526041276322e-05
moderate,50,2,both,1.0,0.3,9800,0.0031777035588293387,True,0.5230769230769231,0.548135615990049,,1bqf_emu,cohit-true,9604,1.0,1.0,0.007480419610422444,0.007488723375832065,0.0074894139745271026,0.0,0.007406717714117421,,,,0.007406718713114339,,
moderate,50,2,both,1.0,0.3,9800,0.0031777035588293387,True,0.5230769230769231,0.548135615990049,,1bqf_emu,TRUE-coupled,196,1.0,1.0,0.007422559635272534,0.007450145388372112,0.007450145388373338,,0.007406717714117421,,,,0.007406718713114339,,
moderate,100,0,base,0.0,0.0,39800,0.0031777035588293387,True,0.35,,,classical,ALL,39800,0.009949748743718593,0.011105527638190955,0.25000000000000006,0.33333333333333337,0.45454545454545464,,0.3636363626363637,0.9949748743718593,0.0,1.0,0.3333333333323334,0.09954751131221719,0.0
moderate,100,0,base,0.0,0.0,39800,0.0031777035588293387,True,0.35,,,classical,cohit-true,39402,0.0,0.0011166945840312675,0.25000000000000006,0.25000000000000006,0.33333333333333337,0.9999944522368198,0.3636363626363637,,,,0.3333333333323334,,
moderate,100,0,base,0.0,0.0,39800,0.0031777035588293387,True,0.35,,,classical,TRUE-coupled,398,0.9949748743718593,1.0,0.3636363636363637,0.45454545454545464,0.45454545454545464,,0.3636363626363637,,,,0.3333333333323334,,
moderate,100,0,base,0.0,0.0,39800,0.0031777035588293387,True,0.35,0.0021372780840512467,,1bqf_emu,ALL,39800,0.009949748743718593,0.011105527638190955,2.391888279584674e-19,0.0014948571576761322,0.002819492550708941,,0.001525006049879806,0.9949748743718593,0.0,1.0,0.0014948571566761322,0.09954751131221719,0.0
moderate,100,0,base,0.0,0.0,39800,0.0031777035588293387,True,0.35,0.0021372780840512467,,1bqf_emu,cohit-true,39402,0.0,0.0011166945840312675,2.391888279584674e-19,2.391888279584674e-19,0.0014948571576761322,0.9999944522368198,0.001525006049879806,,,,0.0014948571566761322,,
moderate,100,0,base,0.0,0.0,39800,0.0031777035588293387,True,0.35,0.0021372780840512467,,1bqf_emu,TRUE-coupled,398,0.9949748743718593,1.0,0.001525007049879806,0.002819492550708941,0.002819492550708941,,0.001525006049879806,,,,0.0014948571566761322,,
moderate,100,0,fork,1.0,0.0,39800,0.0031777035588293387,True,0.35,,,classical,ALL,39800,0.009949748743718593,0.011105527638190955,0.25000000000000006,0.33333333333333337,0.45454545454545464,,0.3636363626363637,0.9949748743718593,0.0,1.0,0.3333333333323334,0.09954751131221719,0.0
moderate,100,0,fork,1.0,0.0,39800,0.0031777035588293387,True,0.35,,,classical,cohit-true,39402,0.0,0.0011166945840312675,0.25000000000000006,0.25000000000000006,0.33333333333333337,0.9999944522368198,0.3636363626363637,,,,0.3333333333323334,,
moderate,100,0,fork,1.0,0.0,39800,0.0031777035588293387,True,0.35,,,classical,TRUE-coupled,398,0.9949748743718593,1.0,0.3636363636363637,0.45454545454545464,0.45454545454545464,,0.3636363626363637,,,,0.3333333333323334,,
moderate,100,0,fork,1.0,0.0,39800,0.0031777035588293387,True,0.35,0.0021372780840512467,,1bqf_emu,ALL,39800,0.009949748743718593,0.011105527638190955,2.391888279584674e-19,0.0014948571576761322,0.002819492550708941,,0.001525006049879806,0.9949748743718593,0.0,1.0,0.0014948571566761322,0.09954751131221719,0.0
moderate,100,0,fork,1.0,0.0,39800,0.0031777035588293387,True,0.35,0.0021372780840512467,,1bqf_emu,cohit-true,39402,0.0,0.0011166945840312675,2.391888279584674e-19,2.391888279584674e-19,0.0014948571576761322,0.9999944522368198,0.001525006049879806,,,,0.0014948571566761322,,
moderate,100,0,fork,1.0,0.0,39800,0.0031777035588293387,True,0.35,0.0021372780840512467,,1bqf_emu,TRUE-coupled,398,0.9949748743718593,1.0,0.001525007049879806,0.002819492550708941,0.002819492550708941,,0.001525006049879806,,,,0.0014948571566761322,,
moderate,100,0,occ,0.0,0.3,39800,0.0031777035588293387,True,0.5230769230769231,,,classical,ALL,39800,0.00992462311557789,0.010025125628140704,0.017665783101991506,0.02360840756516519,0.03216316540936846,,0.02560436048322372,0.992462311557789,0.0,1.0,0.023608385312323902,0.002506265664160401,-2.2251841285056417e-06
moderate,100,0,occ,0.0,0.3,39800,0.0031777035588293387,True,0.5230769230769231,,,classical,cohit-true,39402,0.0,2.5379422364346987e-05,0.017665761452122092,0.01775754183775952,0.023610610497452406,0.9999999362326071,0.02560436048322372,,,,0.023608385312323902,,
moderate,100,0,occ,0.0,0.3,39800,0.0031777035588293387,True,0.5230769230769231,,,classical,TRUE-coupled,398,0.992462311557789,1.0,0.025797867970496012,0.03216316540936839,0.03216316540936846,,0.02560436048322372,,,,0.023608385312323902,,
moderate,100,0,occ,0.0,0.3,39800,0.0031777035588293387,True,0.5230769230769231,0.5371349568196794,,1bqf_emu,ALL,39800,0.9999246231155778,1.0,0.0037617660612394533,0.0037900356662472256,0.0037901607722118542,,0.003512525461169569,0.992462311557789,0.9900746287408598,0.009925371259140137,0.0035124129688974813,0.99,-0.000277747802314373
moderate,100,0,occ,0.0,0.3,39800,0.0031777035588293387,True,0.5230769230769231,0.5371349568196794,,1bqf_emu,cohit-true,39402,1.0,1.0,0.0037852155232105085,0.0037900357053362948,0.0037901607722118542,0.25027235053497016,0.003512525461169569,,,,0.0035124129688974813,,
moderate,100,0,occ,0.0,0.3,39800,0.0031777035588293387,True,0.5230769230769231,0.5371349568196794,,1bqf_emu,TRUE-coupled,398,0.992462311557789,1.0,0.003750894755364594,0.003775062861954647,0.003775083420411401,,0.003512525461169569,,,,0.0035124129688974813,,
moderate,100,0,both,1.0,0.3,39800,0.0031777035588293387,True,0.5230769230769231,,,classical,ALL,39800,0.00992462311557789,0.010025125628140704,0.017665783101991506,0.02360840756516519,0.03216316540936846,,0.02560436048322372,0.992462311557789,0.0,1.0,0.023608385312323902,0.002506265664160401,-2.2251841285056417e-06
moderate,100,0,both,1.0,0.3,39800,0.0031777035588293387,True,0.5230769230769231,,,classical,cohit-true,39402,0.0,2.5379422364346987e-05,0.017665761452122092,0.01775754183775952,0.023610610497452406,0.9999999362326071,0.02560436048322372,,,,0.023608385312323902,,
moderate,100,0,both,1.0,0.3,39800,0.0031777035588293387,True,0.5230769230769231,,,classical,TRUE-coupled,398,0.992462311557789,1.0,0.025797867970496012,0.03216316540936839,0.03216316540936846,,0.02560436048322372,,,,0.023608385312323902,,
moderate,100,0,both,1.0,0.3,39800,0.0031777035588293387,True,0.5230769230769231,0.5371349568196794,,1bqf_emu,ALL,39800,0.9999246231155778,1.0,0.0037617660612394533,0.0037900356662472256,0.0037901607722118542,,0.003512525461169569,0.992462311557789,0.9900746287408598,0.009925371259140137,0.0035124129688974813,0.99,-0.000277747802314373
moderate,100,0,both,1.0,0.3,39800,0.0031777035588293387,True,0.5230769230769231,0.5371349568196794,,1bqf_emu,cohit-true,39402,1.0,1.0,0.0037852155232105085,0.0037900357053362948,0.0037901607722118542,0.25027235053497016,0.003512525461169569,,,,0.0035124129688974813,,
moderate,100,0,both,1.0,0.3,39800,0.0031777035588293387,True,0.5230769230769231,0.5371349568196794,,1bqf_emu,TRUE-coupled,398,0.992462311557789,1.0,0.003750894755364594,0.003775062861954647,0.003775083420411401,,0.003512525461169569,,,,0.0035124129688974813,,
moderate,100,1,base,0.0,0.0,39800,0.0031777035588293387,True,0.35,,,classical,ALL,39800,0.010050251256281407,0.010050251256281407,0.24999999989193153,0.35713954718923996,0.5670115395538149,,0.35713954618923993,1.0,0.005,0.995,0.35713954718824,0.005,-0.034610239547597954
moderate,100,1,base,0.0,0.0,39800,0.0031777035588293387,True,0.35,,,classical,C-true,2,1.0,1.0,0.3917497867368379,0.3917497867368379,0.3917497867368379,0.49748743718592964,0.35713954618923993,,,,0.35713954718824,,
moderate,100,1,base,0.0,0.0,39800,0.0031777035588293387,True,0.35,,,classical,cohit-true,39400,0.0,0.0,0.24999999989193153,0.24999999989193153,0.33333359236898524,1.0,0.35713954618923993,,,,0.35713954718824,,
moderate,100,1,base,0.0,0.0,39800,0.0031777035588293387,True,0.35,,,classical,TRUE-coupled,398,1.0,1.0,0.3917497867368379,0.4554452334794434,0.5670115395538149,,0.35713954618923993,,,,0.35713954718824,,
moderate,100,1,base,0.0,0.0,39800,0.0031777035588293387,True,0.35,0.0021463182993766844,,1bqf_emu,ALL,39800,0.01,0.011005025125628141,2.391888279584674e-19,0.0014951586565982303,0.0037614440799735452,,0.001525006049879806,0.9949748743718593,0.005025125628140704,0.9949748743718593,0.0014143454114517238,0.091324200913242,-0.00038630484335973195
moderate,100,1,base,0.0,0.0,39800,0.0031777035588293387,True,0.35,0.0021463182993766844,,1bqf_emu,C-true,2,1.0,1.0,0.0018006502558114558,0.0018006502558114558,0.0018006502558114558,0.49748743718592964,0.001525006049879806,,,,0.0014143454114517238,,
