noise,T,rep,config,beta,alpha,n_seg,epsilon,valid,tau_att,p_anc,emu_cos_dense,solver,cls,n,frac_wp,frac_e1,med,q99,mx,auc,tau_wp,eff_wp,far_wp,pur_wp,tau_e1,far_e1,gap
moderate,50,0,base,0.0,0.0,9900,0.0031777035588293387,True,0.35,,,classical,ALL,9900,0.02,0.02,0.2500000000000001,0.36363636363636376,0.4545454545454546,,0.3571428561428572,1.0,0.0,1.0,0.35714285714185723,0.0,0.02380952380952378
moderate,50,0,base,0.0,0.0,9900,0.0031777035588293387,True,0.35,,,classical,cohit-true,9702,0.0,0.0,0.2500000000000001,0.2500000000000001,0.3333333333333334,1.0,0.3571428561428572,,,,0.35714285714185723,,
moderate,50,0,base,0.0,0.0,9900,0.0031777035588293387,True,0.35,,,classical,TRUE-coupled,198,1.0,1.0,0.36363636363636376,0.4545454545454546,0.4545454545454546,,0.3571428561428572,,,,0.35714285714185723,,
moderate,50,0,base,0.0,0.0,9900,0.0031777035588293387,True,0.35,0.0040653514658930325,1.0,1bqf_emu,ALL,9900,0.02,0.02,4.783776559169349e-19,0.003292723969109358,0.005638985101417881,,0.0030500130997596115,1.0,0.0,1.0,0.0030500140987596114,0.0,6.0299784407347005e-05
moderate,50,0,base,0.0,0.0,9900,0.0031777035588293387,True,0.35,0.0040653514658930325,1.0,1bqf_emu,cohit-true,9702,0.0,0.0,4.783776559169349e-19,4.783776559169349e-19,0.0029897143153522644,1.0,0.0030500130997596115,,,,0.0030500140987596114,,
moderate,50,0,base,0.0,0.0,9900,0.0031777035588293387,True,0.35,0.0040653514658930325,1.0,1bqf_emu,TRUE-coupled,198,1.0,1.0,0.003292723969109358,0.005638985101417881,0.005638985101417881,,0.0030500130997596115,,,,0.0030500140987596114,,
moderate,50,0,fork,1.0,0.0,9900,0.0031777035588293387,True,0.35,,,classical,ALL,9900,0.02,0.02,0.2500000000000001,0.36363636363636376,0.4545454545454546,,0.3571428561428572,1.0,0.0,1.0,0.35714285714185723,0.0,0.02380952380952378
moderate,50,0,fork,1.0,0.0,9900,0.0031777035588293387,True,0.35,,,classical,cohit-true,9702,0.0,0.0,0.2500000000000001,0.2500000000000001,0.3333333333333334,1.0,0.3571428561428572,,,,0.35714285714185723,,
moderate,50,0,fork,1.0,0.0,9900,0.0031777035588293387,True,0.35,,,classical,TRUE-coupled,198,1.0,1.0,0.36363636363636376,0.4545454545454546,0.4545454545454546,,0.3571428561428572,,,,0.35714285714185723,,
moderate,50,0,fork,1.0,0.0,9900,0.0031777035588293387,True,0.35,0.0040653514658930325,,1bqf_emu,ALL,9900,0.02,0.02,4.783776559169349e-19,0.003292723969109358,0.005638985101417881,,0.0030500130997596115,1.0,0.0,1.0,0.0030500140987596114,0.0,6.0299784407347005e-05
moderate,50,0,fork,1.0,0.0,9900,0.0031777035588293387,True,0.35,0.0040653514658930325,,1bqf_emu,cohit-true,9702,0.0,0.0,4.783776559169349e-19,4.783776559169349e-19,0.0029897143153522644,1.0,0.0030500130997596115,,,,0.0030500140987596114,,
moderate,50,0,fork,1.0,0.0,9900,0.0031777035588293387,True,0.35,0.0040653514658930325,,1bqf_emu,TRUE-coupled,198,1.0,1.0,0.003292723969109358,0.005638985101417881,0.005638985101417881,,0.0030500130997596115,,,,0.0030500140987596114,,
moderate,50,0,occ,0.0,0.3,9900,0.0031777035588293387,True,0.5230769230769231,,,classical,ALL,9900,0.0198989898989899,0.02,0.03421175646730519,0.049845807984178855,0.06174741362779893,,0.04893449781413439,0.9949494949494949,0.0,1.0,0.04893178432562108,0.0,0.003731499434775784
moderate,50,0,occ,0.0,0.3,9900,0.0031777035588293387,True,0.5230769230769231,,,classical,cohit-true,9702,0.0,0.0,0.03408447079213343,0.03468253301377727,0.04520028489184529,1.0,0.04893449781413439,,,,0.04893178432562108,,
moderate,50,0,occ,0.0,0.3,9900,0.0031777035588293387,True,0.5230769230769231,,,classical,TRUE-coupled,198,0.9949494949494949,1.0,0.049845807984178876,0.06174741362779882,0.06174741362779893,,0.04893449781413439,,,,0.04893178432562108,,
moderate,50,0,occ,0.0,0.3,9900,0.0031777035588293387,True,0.5230769230769231,0.5158116610479089,,1bqf_emu,ALL,9900,0.99989898989899,1.0,0.006954192148993764,0.0074803595039351295,0.0074808125794373955,,0.0068640155472099165,0.9949494949494949,0.9800989998989798,0.019901000101020305,0.006863701639907294,0.98,-0.0006171109385301014
moderate,50,0,occ,0.0,0.3,9900,0.0031777035588293387,True,0.5230769230769231,0.5158116610479089,,1bqf_emu,cohit-true,9702,1.0,1.0,0.0069541921489960235,0.007480360201155996,0.0074808125794373955,0.2500265487278474,0.0068640155472099165,,,,0.006863701639907294,,
moderate,50,0,occ,0.0,0.3,9900,0.0031777035588293387,True,0.5230769230769231,0.5158116610479089,,1bqf_emu,TRUE-coupled,198,0.9949494949494949,1.0,0.006946424648096101,0.00746908338919369,0.007469083389195756,,0.0068640155472099165,,,,0.006863701639907294,,
moderate,50,0,both,1.0,0.3,9900,0.0031777035588293387,True,0.5230769230769231,,,classical,ALL,9900,0.0198989898989899,0.02,0.03421175646730519,0.049845807984178855,0.06174741362779893,,0.04893449781413439,0.9949494949494949,0.0,1.0,0.04893178432562108,0.0,0.003731499434775784
moderate,50,0,both,1.0,0.3,9900,0.0031777035588293387,True,0.5230769230769231,,,classical,cohit-true,9702,0.0,0.0,0.03408447079213343,0.03468253301377727,0.04520028489184529,1.0,0.04893449781413439,,,,0.04893178432562108,,
moderate,50,0,both,1.0,0.3,9900,0.0031777035588293387,True,0.5230769230769231,,,classical,TRUE-coupled,198,0.9949494949494949,1.0,0.049845807984178876,0.06174741362779882,0.06174741362779893,,0.04893449781413439,,,,0.04893178432562108,,
moderate,50,0,both,1.0,0.3,9900,0.0031777035588293387,True,0.5230769230769231,0.5158116610479089,,1bqf_emu,ALL,9900,0.99989898989899,1.0,0.006954192148993764,0.0074803595039351295,0.0074808125794373955,,0.0068640155472099165,0.9949494949494949,0.9800989998989798,0.019901000101020305,0.006863701639907294,0.98,-0.0006171109385301014
moderate,50,0,both,1.0,0.3,9900,0.0031777035588293387,True,0.5230769230769231,0.5158116610479089,,1bqf_emu,cohit-true,9702,1.0,1.0,0.0069541921489960235,0.007480360201155996,0.0074808125794373955,0.2500265487278474,0.0068640155472099165,,,,0.006863701639907294,,
moderate,50,0,both,1.0,0.3,9900,0.0031777035588293387,True,0.5230769230769231,0.5158116610479089,,1bqf_emu,TRUE-coupled,198,0.9949494949494949,1.0,0.006946424648096101,0.00746908338919369,0.007469083389195756,,0.0068640155472099165,,,,0.006863701639907294,,
moderate,50,1,base,0.0,0.0,9900,0.0031777035588293387,True,0.35,,,classical,ALL,9900,0.020404040404040404,0.020404040404040404,0.24999999999999994,0.3636363636363637,0.45454545454545464,,0.33333333233333323,1.0,0.019801980198019802,0.9801980198019802,0.3333333333323333,0.019801980198019802,0.0
moderate,50,1,base,0.0,0.0,9900,0.0031777035588293387,True,0.35,,,classical,cohit-true,9702,0.00041228612657184083,0.00041228612657184083,0.24999999999999994,0.24999999999999994,0.33333333333333326,0.9999984383101266,0.33333333233333323,,,,0.3333333333323333,,
moderate,50,1,base,0.0,0.0,9900,0.0031777035588293387,True,0.35,,,classical,TRUE-coupled,198,1.0,1.0,0.3636363636363637,0.45454545454545464,0.45454545454545464,,0.33333333233333323,,,,0.3333333333323333,,
moderate,50,1,base,0.0,0.0,9900,0.0031777035588293387,True,0.35,0.004081502770433568,,1bqf_emu,ALL,9900,0.020404040404040404,0.020404040404040404,4.783776559169349e-19,0.0030500140997596114,0.005638985101417881,,0.0029897133153522644,1.0,0.019801980198019802,0.9801980198019802,0.0029897143143522644,0.019801980198019802,0.0
moderate,50,1,base,0.0,0.0,9900,0.0031777035588293387,True,0.35,0.004081502770433568,,1bqf_emu,cohit-true,9702,0.00041228612657184083,0.00041228612657184083,4.783776559169349e-19,4.783776559169349e-19,0.0029897143153522644,0.9999984383101266,0.0029897133153522644,,,,0.0029897143143522644,,
moderate,50,1,base,0.0,0.0,9900,0.0031777035588293387,True,0.35,0.004081502770433568,,1bqf_emu,TRUE-coupled,198,1.0,1.0,0.0030500140997596114,0.005638985101417881,0.005638985101417881,,0.0029897133153522644,,,,0.0029897143143522644,,
moderate,50,1,fork,1.0,0.0,9900,0.0031777035588293387,True,0.35,,,classical,ALL,9900,0.020404040404040404,0.020404040404040404,0.24999999999999994,0.3636363636363637,0.45454545454545464,,0.33333333233333323,1.0,0.019801980198019802,0.9801980198019802,0.3333333333323333,0.019801980198019802,0.0
moderate,50,1,fork,1.0,0.0,9900,0.0031777035588293387,True,0.35,,,classical,cohit-true,9702,0.00041228612657184083,0.00041228612657184083,0.24999999999999994,0.24999999999999994,0.33333333333333326,0.9999984383101266,0.33333333233333323,,,,0.3333333333323333,,
moderate,50,1,fork,1.0,0.0,9900,0.0031777035588293387,True,0.35,,,classical,TRUE-coupled,198,1.0,1.0,0.3636363636363637,0.45454545454545464,0.45454545454545464,,0.33333333233333323,,,,0.3333333333323333,,
moderate,50,1,fork,1.0,0.0,9900,0.0031777035588293387,True,0.35,0.004081502770433568,,1bqf_emu,ALL,9900,0.020404040404040404,0.020404040404040404,4.783776559169349e-19,0.0030500140997596114,0.005638985101417881,,0.0029897133153522644,1.0,0.019801980198019802,0.9801980198019802,0.0029897143143522644,0.019801980198019802,0.0
