beta,alpha,exact,A0_nnz,Bfork_nnz,Ball_nnz,A_nnz,lam_min,lam_max,lam_wq001,lam_wq01,lam_wq50,frac_w_in_dom,frac_t_in_dom,tau_attractor,tau_youden,eff_att,far_att,eff_youden,far_youden,auc,true_med,false_q99,t_spectral,T,n_seg,epsilon
0.0,0.0,True,10198,0,0,10198,2.381966011250104,5.618033988749895,2.381966011250104,2.381966011250104,4.0,0.9999999999999998,1.0,0.35,0.345238095238095,1.0,0.0,1.0,0.0,1.0,0.3636363636363642,0.25,122.461838722229,50,9900,0.0031777035588293387
0.5,0.0,True,10198,0,0,10198,2.381966011250104,5.618033988749895,2.381966011250104,2.381966011250104,4.0,0.9999999999999998,1.0,0.35,0.345238095238095,1.0,0.0,1.0,0.0,1.0,0.3636363636363642,0.25,112.9808931350708,50,9900,0.0031777035588293387
1.0,0.0,True,10198,0,0,10198,2.381966011250104,5.618033988749895,2.381966011250104,2.381966011250104,4.0,0.9999999999999998,1.0,0.35,0.345238095238095,1.0,0.0,1.0,0.0,1.0,0.3636363636363642,0.25,75.59941816329956,50,9900,0.0031777035588293387
2.0,0.0,True,10198,0,0,10198,2.381966011250104,5.618033988749895,2.381966011250104,2.381966011250104,4.0,0.9999999999999998,1.0,0.35,0.345238095238095,1.0,0.0,1.0,0.0,1.0,0.3636363636363642,0.25,80.34513306617737,50,9900,0.0031777035588293387
0.0,0.1,True,10198,0,965300,975498,2.4128984073004824,24.024093847503902,2.4128984073004824,2.6349644054606367,23.798952486633848,0.01016810556867815,0.9824458341768392,0.4181818181818181,0.07994490357649123,0.0,0.0,1.0,0.0,1.0,0.08461499532285668,0.05875928506536544,1151.443414926529,50,9900,0.0031777035588293387
0.0,0.3,True,10198,0,965300,975498,2.414577051756184,64.02133221450795,2.414577051756184,63.39965583710098,63.399678929158654,0.008866314832204904,0.9807518358569487,0.5230769230769231,0.0470660721959474,0.0,0.0,1.0,0.0,1.0,0.0498458112086574,0.034682532184829896,1073.9989800453186,50,9900,0.0031777035588293387
0.0,1.0,True,10198,0,965300,975498,2.415208688958751,204.02039646634995,2.415208688958751,201.9998970625757,201.99990316677906,0.00840201097186891,0.9800923059894101,0.725,0.033545717125691446,0.0,0.0,1.0,0.0,1.0,0.035535837389596404,0.024747970449517445,1303.7247915267944,50,9900,0.0031777035588293387
1.0,0.3,True,10198,0,965300,975498,2.414577051756184,64.02133221450795,2.414577051756184,63.39965583710098,63.399678929158654,0.008866314832204904,0.9807518358569487,0.5230769230769231,0.0470660721959474,0.0,0.0,1.0,0.0,1.0,0.0498458112086574,0.034682532184829896,1733.9686336517334,50,9900,0.0031777035588293387
0.0,0.0,False,40440,0,0,40440,2.3819660112501038,5.618033988749898,2.38196601125009,2.38196601125009,3.999999999999998,1.0000000000000002,1.0,0.35,0.33333333333333337,0.9949748743718593,0.0,0.9949748743718593,0.0,0.9999961101890346,0.36363636363636365,0.2500000000000001,0.15625548362731934,100,39800,0.0031777035588293387
0.5,0.0,False,40440,0,0,40440,2.381966011250103,5.6180339887498985,2.38196601125009,2.38196601125009,3.999999999999998,1.0000000000000002,1.0,0.35,0.33333333333333337,0.9949748743718593,0.0,0.9949748743718593,0.0,0.9999961101890346,0.36363636363636365,0.2500000000000001,0.10672855377197266,100,39800,0.0031777035588293387
1.0,0.0,False,40440,0,0,40440,2.3819660112501007,5.618033988749901,2.38196601125009,2.38196601125009,3.999999999999998,1.0000000000000002,1.0,0.35,0.33333333333333337,0.9949748743718593,0.0,0.9949748743718593,0.0,0.9999961101890346,0.36363636363636365,0.2500000000000001,0.11156368255615234,100,39800,0.0031777035588293387
2.0,0.0,False,40440,0,0,40440,2.3819660112500998,5.618033988749899,2.38196601125009,2.38196601125009,3.999999999999998,1.0000000000000002,1.0,0.35,0.33333333333333337,0.9949748743718593,0.0,0.9949748743718593,0.0,0.9999961101890346,0.36363636363636365,0.2500000000000001,0.08712410926818848,100,39800,0.0031777035588293387
0.0,0.1,False,40440,0,7860600,7901040,2.3976416781689993,44.01097859716198,2.3976416781689665,43.788740501009045,43.788740501009045,0.0048761119166349075,0.9906556618234315,0.4181818181818181,0.04229492253709341,0.0,0.0,1.0,0.002506265664160401,0.9999998724652143,0.04626454436121474,0.03184301453658649,16.58535075187683,100,39800,0.0031777035588293387
0.0,0.3,False,40440,0,7860600,7901040,2.398060879087637,124.0105211834166,2.398060879087606,123.38863465678897,123.38863465678897,0.004527867916693076,0.9901946973581569,0.5230769230769231,0.023578739025997213,0.0,0.0,1.0,0.002506265664160401,0.9999999362326071,0.025797867970495898,0.01775754183775954,17.0194354057312,100,39800,0.0031777035588293387
0.0,1.0,False,40440,0,7860600,7901040,2.398212962050426,404.0103658859071,2.3982129620503794,401.98860017701054,401.98860017701054,0.004404913689216815,0.990024294293719,0.725,0.01644644124679777,0.0,0.0,1.0,0.002506265664160401,0.9999999362326071,0.017996069271351195,0.01238762595784238,18.826934099197388,100,39800,0.0031777035588293387
1.0,0.3,False,40440,0,7860600,7901040,2.398060879087649,124.01052118341659,2.398060879087606,123.38863465678897,123.38863465678897,0.004527867916693076,0.9901946973581569,0.5230769230769231,0.023578739025997213,0.0,0.0,1.0,0.002506265664160401,0.9999999362326071,0.025797867970495898,0.01775754183775954,17.15901470184326,100,39800,0.0031777035588293387
0.0,0.0,False,158542,0,0,158542,1.9999999999999958,6.0,2.3819660112501033,2.3819660112501033,4.000000000000129,1.0,1.0,0.35,0.33333367055494634,0.9847133757961783,0.02644836272040302,0.9847133757961783,0.02644836272040302,0.9987036501964172,0.3936514365544733,0.24999999957507538,0.6339874267578125,200,157012,0.0031777035588293387
0.5,0.0,False,158542,4096,0,162638,2.066321712177771,6.421836884983926,2.381966011250105,2.381966011250105,4.000000000000123,1.0,1.0,0.35,0.2994404121500356,0.9745222929936306,0.014175257731958763,0.9949044585987261,0.3026785714285714,0.9988238655991308,0.37113467932702204,0.24999999954970759,1.4098150730133057,200,157012,0.0031777035588293387
1.0,0.0,False,158542,4096,0,162638,1.9999999999999858,7.026638394638148,2.3819660112500975,2.3819660112500975,4.000000000000117,0.9999999999999997,1.0,0.35,0.30400107199418025,0.9745222929936306,0.014175257731958763,0.9923566878980892,0.2981981981981982,0.9963321214895572,0.37113516972897576,0.2499999997329625,1.7903552055358887,200,157012,0.0031777035588293387
2.0,0.0,False,158542,4096,0,162638,-1.3326992206527501e-15,8.614265676707147,2.3819660112501206,2.3819660112501206,4.000000000000124,0.9999663410044196,0.9984196293305435,0.35,0.25175860110645754,0.9745222929936306,0.014175257731958763,0.9910828025477707,0.2990990990990991,0.9926219070657392,0.36601549384219134,0.2500000003962449,2.58384370803833,200,157012,0.0031777035588293387
0.0,0.1,False,158542,0,61902130,62060672,2.0191689460468933,83.4004962022164,2.390533318237116,83.19234317766815,83.19234317766815,0.0026292066238377443,0.9950939918268116,0.4181818181818181,0.01684841371702691,0.0,0.0,1.0,0.3191673894189072,0.9999467376374872,0.02625658511550234,0.016827750505803023,132.48927688598633,200,157012,0.0031777035588293387
0.0,0.3,False,158542,0,61902130,62060672,2.019795380333699,242.20016533164596,2.3906645176381636,241.59231152729757,241.59231152729757,0.0025280318393856387,0.9949692819381714,0.5230769230769231,0.009119228044344672,0.0,0.0,1.0,0.32152117545375974,0.999947438887208,0.014203504045886908,0.009107117891835876,135.99696493148804,200,157012,0.0031777035588293387
0.0,1.0,False,158542,0,61902130,62060672,2.0200243181692934,798.0000495971345,2.390711482621206,795.9923009552854,795.9923009552854,0.0024924878357852126,0.9949243277788024,0.725,0.006291003758317258,0.0,0.0,1.0,0.32152117545375974,0.9999476182766714,0.009796084473588538,0.0062823998753102316,152.76577234268188,200,157012,0.0031777035588293387
1.0,0.3,False,158542,4096,61902130,62060672,1.9999999999999747,242.21575397190088,2.3907568584683894,241.60705254758494,241.62453432405118,0.0027943121101293594,0.9949697471036765,0.5230769230769231,0.012104004927049297,0.0,0.0,0.9974522292993631,0.04975728155339806,0.9998437110069991,0.014287317443263146,0.009342068710210413,270.17073249816895,200,157012,0.0031777035588293387
