T,rep,beta,solver,deg,eff_fix,far_fix,eff_wp,far_wp,tau_wp
100,0,0.0,classical,40,0.9949748743718593,0.0,0.9949748743718593,0.0,0.3636363626363641
100,0,0.0,onebqf,40,0.49748743718592964,0.0,1.0,0.09954751131221719,0.2575219929938342
100,0,0.0,comb,40,0.9949748743718593,0.0,0.9949748743718593,0.0,0.3632415814343714
100,0,0.5,classical,40,0.9949748743718593,0.0,0.9949748743718593,0.0,0.3636363626363641
100,0,0.5,onebqf,40,0.49748743718592964,0.0,1.0,0.09954751131221719,0.2575219929938342
100,0,0.5,comb,40,0.9949748743718593,0.0,0.9949748743718593,0.0,0.3632415814343714
100,0,1.0,classical,40,0.9949748743718593,0.0,0.9949748743718593,0.0,0.3636363626363641
100,0,1.0,onebqf,40,0.49748743718592964,0.0,1.0,0.09954751131221719,0.2575219929938342
100,0,1.0,comb,40,0.9949748743718593,0.0,0.9949748743718593,0.0,0.3632415814343714
100,1,0.0,classical,40,1.0,0.005,1.0,0.005,0.35714285614285723
100,1,0.0,onebqf,40,0.49748743718592964,0.0,1.0,0.091324200913242,0.2506120964036586
100,1,0.0,comb,40,0.964824120603015,0.0,0.9949748743718593,0.0,0.11116871147008994
100,1,0.5,classical,40,0.9949748743718593,0.0,0.9949748743718593,0.0,0.3571428561428568
100,1,0.5,onebqf,40,0.49748743718592964,0.0,0.9949748743718593,0.08755760368663594,0.2497288636065647
100,1,0.5,comb,40,0.9748743718592965,0.0,1.0,0.5711206896551724,0.14059141430260508
100,1,1.0,classical,40,0.9949748743718593,0.0,0.9949748743718593,0.0,0.3571428561428568
100,1,1.0,onebqf,40,0.49748743718592964,0.0,0.9949748743718593,0.5883575883575883,0.24964369694246374
100,1,1.0,comb,40,0.9748743718592965,0.0,1.0,0.005,0.1400031477001792
100,2,0.0,classical,40,0.979381443298969,0.020618556701030927,1.0,0.11818181818181818,0.33333333233333323
100,2,0.0,onebqf,40,0.48711340206185566,0.005263157894736842,0.9948453608247423,0.11467889908256881,0.25062382888805323
100,2,0.0,comb,40,0.9278350515463918,0.0,1.0,0.9900020614306329,0.006495796932227539
100,2,0.5,classical,40,0.9690721649484536,0.002652519893899204,0.9922680412371134,0.10256410256410256,0.33333333233333323
100,2,0.5,onebqf,40,0.48711340206185566,0.005263157894736842,0.9922680412371134,0.6927374301675978,0.13723886840279295
100,2,0.5,comb,40,0.9432989690721649,0.0,1.0,0.9900020614306329,0.007352920760470701
100,2,1.0,classical,40,0.9690721649484536,0.002652519893899204,0.9922680412371134,0.10256410256410256,0.3039999989999999
100,2,1.0,onebqf,40,0.48711340206185566,0.02577319587628866,0.9922680412371134,0.6929824561403509,0.23015198012454038
100,2,1.0,comb,40,0.9381443298969072,0.0,0.9948453608247423,0.9898367561874671,0.011321107833695561
200,0,0.0,classical,40,0.9847133757961783,0.02644836272040302,0.9974522292993631,0.3070796460176991,0.33333333233333323
200,0,0.0,onebqf,40,0.49171974522292994,0.007712082262210797,0.9974522292993631,0.3070796460176991,0.24375913618680123
200,0,0.0,comb,40,0.932484076433121,0.0,1.0,0.9950003821363972,0.0065372570561835165
200,0,0.5,classical,40,0.9745222929936306,0.014175257731958763,0.9949044585987261,0.2976618705035971,0.33333333233333323
200,0,0.5,onebqf,40,0.49171974522292994,0.007712082262210797,0.9910828025477707,0.8493415956622773,0.1268544040358512
200,0,0.5,comb,40,0.9401273885350319,0.0,1.0,0.9950003184510541,0.0074318795866127815
200,0,1.0,classical,40,0.9745222929936306,0.014175257731958763,0.9910828025477707,0.29783393501805056,0.3103448265862072
200,0,1.0,onebqf,40,0.49171974522292994,0.05623471882640587,0.9923566878980892,0.8488552580519985,0.013769701562957514
200,0,1.0,comb,40,0.9375796178343949,0.0,1.0,0.9948684761008263,0.011443791774659429
200,1,0.0,classical,40,0.9742599742599742,0.01303780964797914,1.0,0.9950010293890575,0.249999999
200,1,0.0,onebqf,40,0.4864864864864865,0.002638522427440633,1.0,0.9950010293890575,-9.9999995654868e-10
200,1,0.0,comb,40,0.9266409266409267,0.0,0.9987129987129987,0.9950074309500678,0.006494688465551695
200,1,0.5,classical,40,0.9626769626769627,0.0026666666666666666,1.0,0.9948567570429994,0.249999999
200,1,0.5,onebqf,40,0.4851994851994852,0.0026455026455026454,1.0,0.9950010293890575,-9.999999568916632e-10
200,1,0.5,comb,40,0.9382239382239382,0.0,1.0,0.9950009329018394,0.007375081851017456
200,1,1.0,classical,40,0.9626769626769627,0.0013351134846461949,0.9987129987129987,0.9948632743977918,0.249999999
200,1,1.0,onebqf,40,0.4851994851994852,0.07598039215686274,1.0,0.9950010293890575,-9.999999569264337e-10
200,1,1.0,comb,40,0.9305019305019305,0.0,0.9987129987129987,0.994863920364291,0.011322758909700692
200,2,0.0,classical,40,0.9924337957124842,0.028395061728395062,0.9924337957124842,0.028395061728395062,0.35714285614285723
200,2,0.0,onebqf,40,0.49558638083228246,0.010075566750629723,0.9924337957124842,0.2998220640569395,0.25051121921448466
200,2,0.0,comb,40,0.9482976040353089,0.0,0.9924337957124842,0.9950276731784983,0.016812393823561127
200,2,0.5,classical,40,0.9823455233291298,0.011421319796954314,0.9974779319041615,0.2956366874443455,0.33333333233333323
200,2,0.5,onebqf,40,0.49558638083228246,0.010075566750629723,0.9936948297604036,0.8439912888536923,0.12675670833282798
200,2,0.5,comb,40,0.9596469104665826,0.0,0.9924337957124842,0.9950267305334732,0.014928152509572686
200,2,1.0,classical,40,0.9823455233291298,0.011421319796954314,0.9911727616645649,0.29443447037701975,0.3179487169487179
200,2,1.0,onebqf,40,0.49558638083228246,0.0665083135391924,0.9911727616645649,0.844047619047619,0.22971280825799112
200,2,1.0,comb,40,0.9533417402269861,0.0,0.9911727616645649,0.018726591760299626,0.08313157326648815
