T,rep,beta,solver,eff,eff_nonfrag,far
100,1,1.0,comb @0.35,0.9748743718592965,0.9897959183673469,0.0
100,1,1.0,comb @0.18,0.9849246231155779,1.0,0.005076142131979695
100,1,1.0,comb @0.18 + gate,1.0,1.0,0.005
100,1,1.0,comb wp99(non-frag),0.9798994974874372,0.9948979591836735,0.0
100,1,1.0,1BQF wp99,0.9949748743718593,0.9948979591836735,0.5883575883575883
100,2,0.0,classical @0.35,0.979381443298969,1.0,0.020618556701030927
100,2,0.0,comb @0.35,0.9278350515463918,0.9625668449197861,0.0
100,2,0.0,comb @0.18,0.9278350515463918,0.9625668449197861,0.0
100,2,0.0,comb @0.18 + gate,0.9690721649484536,0.9679144385026738,0.002652519893899204
100,2,0.0,comb wp99(non-frag),0.9742268041237113,0.9946524064171123,0.015625
100,2,0.0,1BQF wp99,0.9948453608247423,0.9946524064171123,0.11467889908256881
100,2,0.5,classical @0.35,0.9690721649484536,0.9893048128342246,0.002652519893899204
100,2,0.5,comb @0.35,0.9432989690721649,0.9786096256684492,0.0
100,2,0.5,comb @0.18,0.9690721649484536,0.9893048128342246,0.002652519893899204
100,2,0.5,comb @0.18 + gate,0.9948453608247423,0.9946524064171123,0.005154639175257732
100,2,0.5,comb wp99(non-frag),0.9716494845360825,0.9919786096256684,0.6853088480801336
100,2,0.5,1BQF wp99,0.9922680412371134,0.9919786096256684,0.6927374301675978
100,2,1.0,classical @0.35,0.9690721649484536,0.9893048128342246,0.002652519893899204
100,2,1.0,comb @0.35,0.9381443298969072,0.9732620320855615,0.0
100,2,1.0,comb @0.18,0.9716494845360825,0.9919786096256684,0.010498687664041995
100,2,1.0,comb @0.18 + gate,0.9948453608247423,0.9946524064171123,0.010256410256410256
100,2,1.0,comb wp99(non-frag),0.9716494845360825,0.9919786096256684,0.010498687664041995
100,2,1.0,1BQF wp99,0.9922680412371134,0.9919786096256684,0.6929824561403509
200,0,0.0,classical @0.35,0.9847133757961783,1.0,0.02644836272040302
200,0,0.0,comb @0.35,0.932484076433121,0.9581151832460733,0.0
200,0,0.0,comb @0.18,0.932484076433121,0.9581151832460733,0.0
200,0,0.0,comb @0.18 + gate,0.956687898089172,0.9581151832460733,0.003978779840848806
200,0,0.0,comb wp99(non-frag),0.975796178343949,0.9908376963350786,0.017948717948717947
200,0,0.0,1BQF wp99,0.9974522292993631,1.0,0.3070796460176991
200,0,0.5,classical @0.35,0.9745222929936306,0.9895287958115183,0.014175257731958763
200,0,0.5,comb @0.35,0.9401273885350319,0.9659685863874345,0.0
200,0,0.5,comb @0.18,0.9707006369426752,0.9856020942408377,0.01038961038961039
200,0,0.5,comb @0.18 + gate,0.9834394904458599,0.9856020942408377,0.016560509554140127
200,0,0.5,comb wp99(non-frag),0.975796178343949,0.9908376963350786,0.8401502504173622
200,0,0.5,1BQF wp99,0.9910828025477707,0.993455497382199,0.8493415956622773
200,0,1.0,classical @0.35,0.9745222929936306,0.9895287958115183,0.014175257731958763
200,0,1.0,comb @0.35,0.9375796178343949,0.9633507853403142,0.0
200,0,1.0,comb @0.18,0.9719745222929936,0.9869109947643979,0.023047375160051217
200,0,1.0,comb @0.18 + gate,0.9859872611464968,0.9895287958115183,0.02395964691046658
200,0,1.0,comb wp99(non-frag),0.9770700636942675,0.9921465968586387,0.03400503778337532
200,0,1.0,1BQF wp99,0.9923566878980892,0.9947643979057592,0.8488552580519985
200,1,0.0,classical @0.35,0.9742599742599742,1.0,0.01303780964797914
200,1,0.0,comb @0.35,0.9266409266409267,0.9625668449197861,0.0
200,1,0.0,comb @0.18,0.9266409266409267,0.9625668449197861,0.0
200,1,0.0,comb @0.18 + gate,0.9510939510939511,0.9625668449197861,0.005383580080753701
200,1,0.0,comb wp99(non-frag),0.9652509652509652,0.9906417112299465,0.007936507936507936
200,1,0.0,1BQF wp99,1.0,1.0,0.9950010293890575
200,1,0.5,classical @0.35,0.9626769626769627,0.9879679144385026,0.0026666666666666666
200,1,0.5,comb @0.35,0.9382239382239382,0.9745989304812834,0.0
200,1,0.5,comb @0.18,0.9678249678249679,0.9933155080213903,0.01699346405228758
200,1,0.5,comb @0.18 + gate,0.9832689832689833,0.9959893048128342,0.01673101673101673
200,1,0.5,comb wp99(non-frag),0.9601029601029601,0.9933155080213903,0.009296148738379814
200,1,0.5,1BQF wp99,1.0,1.0,0.9950010293890575
200,1,1.0,classical @0.35,0.9626769626769627,0.9879679144385026,0.0013351134846461949
200,1,1.0,comb @0.35,0.9305019305019305,0.9665775401069518,0.0
200,1,1.0,comb @0.18,0.9691119691119691,0.9946524064171123,0.02080624187256177
200,1,1.0,comb @0.18 + gate,0.9858429858429858,0.9986631016042781,0.020460358056265986
200,1,1.0,comb wp99(non-frag),0.9678249678249679,0.9933155080213903,0.013123359580052493
200,1,1.0,1BQF wp99,1.0,1.0,0.9950010293890575
200,2,0.0,classical @0.35,0.9924337957124842,1.0,0.028395061728395062
200,2,0.0,comb @0.35,0.9482976040353089,0.9591836734693877,0.0
200,2,0.0,comb @0.18,0.9482976040353089,0.9591836734693877,0.0
200,2,0.0,comb @0.18 + gate,0.9596469104665826,0.9591836734693877,0.0
200,2,0.0,comb wp99(non-frag),0.9848675914249685,0.9923469387755102,0.021303258145363407
200,2,0.0,1BQF wp99,0.9924337957124842,0.9923469387755102,0.2998220640569395
200,2,0.5,classical @0.35,0.9823455233291298,0.9897959183673469,0.011421319796954314
200,2,0.5,comb @0.35,0.9596469104665826,0.9706632653061225,0.0
200,2,0.5,comb @0.18,0.9773013871374527,0.9846938775510204,0.0076824583866837385
200,2,0.5,comb @0.18 + gate,0.9848675914249685,0.985969387755102,0.01139240506329114
200,2,0.5,comb wp99(non-frag),0.9848675914249685,0.9923469387755102,0.8335819305348391
200,2,0.5,1BQF wp99,0.9936948297604036,0.9936224489795918,0.8439912888536923
200,2,1.0,classical @0.35,0.9823455233291298,0.9897959183673469,0.011421319796954314
200,2,1.0,comb @0.35,0.9533417402269861,0.9642857142857143,0.0
200,2,1.0,comb @0.18,0.9798234552332913,0.9872448979591837,0.01019108280254777
200,2,1.0,comb @0.18 + gate,0.987389659520807,0.9885204081632653,0.010113780025284451
200,2,1.0,comb wp99(non-frag),0.9836065573770492,0.9910714285714286,0.012658227848101266
200,2,1.0,1BQF wp99,0.9911727616645649,0.9910714285714286,0.844047619047619
