T,rep,beta,solver,eff,eff_nonfrag,far
100,0,0.0,classical @0.35,0.9949748743718593,1.0,0.0
100,0,0.0,comb @0.35,0.9949748743718593,1.0,0.0
100,0,0.0,comb @0.18,0.9949748743718593,1.0,0.0
100,0,0.0,comb @0.18 + gate,1.0,1.0,0.0
100,0,0.0,comb wp99(non-frag),0.9949748743718593,1.0,0.0
100,0,0.0,1BQF wp99,1.0,1.0,0.09954751131221719
100,0,0.5,classical @0.35,0.9949748743718593,1.0,0.0
100,0,0.5,comb @0.35,0.9949748743718593,1.0,0.0
100,0,0.5,comb @0.18,0.9949748743718593,1.0,0.0
100,0,0.5,comb @0.18 + gate,1.0,1.0,0.0
100,0,0.5,comb wp99(non-frag),0.9949748743718593,1.0,0.0
100,0,0.5,1BQF wp99,1.0,1.0,0.09954751131221719
100,0,1.0,classical @0.35,0.9949748743718593,1.0,0.0
100,0,1.0,comb @0.35,0.9949748743718593,1.0,0.0
100,0,1.0,comb @0.18,0.9949748743718593,1.0,0.0
100,0,1.0,comb @0.18 + gate,1.0,1.0,0.0
100,0,1.0,comb wp99(non-frag),0.9949748743718593,1.0,0.0
100,0,1.0,1BQF wp99,1.0,1.0,0.09954751131221719
100,1,0.0,classical @0.35,1.0,1.0,0.005
100,1,0.0,comb @0.35,0.964824120603015,0.9795918367346939,0.0
100,1,0.0,comb @0.18,0.964824120603015,0.9795918367346939,0.0
100,1,0.0,comb @0.18 + gate,0.9798994974874372,0.9795918367346939,0.0
100,1,0.0,comb wp99(non-frag),0.9949748743718593,0.9948979591836735,0.0
100,1,0.0,1BQF wp99,1.0,1.0,0.091324200913242
100,1,0.5,classical @0.35,0.9949748743718593,0.9948979591836735,0.0
100,1,0.5,comb @0.35,0.9748743718592965,0.9897959183673469,0.0
100,1,0.5,comb @0.18,0.9849246231155779,1.0,0.005076142131979695
100,1,0.5,comb @0.18 + gate,1.0,1.0,0.005
100,1,0.5,comb wp99(non-frag),0.9798994974874372,0.9948979591836735,0.0
100,1,0.5,1BQF wp99,0.9949748743718593,0.9948979591836735,0.08755760368663594
100,1,1.0,classical @0.35,0.9949748743718593,0.9948979591836735,0.0
