family,beta,true_capture,false_leak,w_true,w_false,min_dist
contaminated (true+false),0.0,0.01058201726941164,0.0,32.799051532747946,0.042295787266247,0.6180339887498931
contaminated (true+false),0.5,0.667586859406158,0.0013580305383468143,31.51248063340984,0.5548222958769248,0.03735433214311534
contaminated (true+false),1.0,0.6867301996919111,0.0469324851878743,28.278592441302006,0.5815434663151718,0.014696305067206872
false chain P3+,0.0,,0.0,0.0,3.5102040816326503,0.20382042637679998
false chain P3+,0.5,,0.009642340900973162,0.0,3.118084343112244,0.06810667288461048
false chain P3+,1.0,,0.0,0.0,2.844104308390021,0.20382042637679998
false pair P2,0.0,,0.0,0.0,123.77777777777771,0.3819660112501051
false pair P2,0.5,,0.0,0.0,123.4037854043321,0.3819660112501051
false pair P2,1.0,,0.005238690780386629,0.0,123.05137413091953,0.0
isolated false,0.0,,0.0,0.0,36546.0625,0.6180339887498949
isolated false,0.5,,0.018437945501432518,0.0,36365.28258209591,0.08907279243665167
isolated false,1.0,,1.778932299687044e-05,0.0,36236.7977290062,8.881784197001252e-16
true P4,0.0,1.0,,566.5454545454554,0.0,
true P4,0.5,1.0,,562.4793388429761,0.0,
true P4,1.0,1.0,,562.4793388429761,0.0,
true fragment (P1-P3),0.0,0.0,,9.576530612244891,0.0,
true fragment (P1-P3),0.5,0.0,,9.576530612244891,0.0,
true fragment (P1-P3),1.0,0.0,,9.576530612244891,0.0,
